,id,query,answers
0,0,"CONSTRUCT {
<http://dbpedia.org/resource/Berlin>rdf:type?value.
}WHERE{
<http://dbpedia.org/resource/Berlin>rdf:type?value.
} LIMIT 1000",http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://schema.org/Place http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Place http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/AdministrativeRegion http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2004/02/skos/core#Concept http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.opengis.net/gml/_Feature http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Region http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2002/07/owl#Thing http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://schema.org/AdministrativeArea
1,1,"CONSTRUCT {
<http://dbpedia.org/resource/Berlin>rdf:type?value.
}WHERE{
<http://dbpedia.org/resource/Berlin>rdf:type?value.
} LIMIT 1000",http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2002/07/owl#Thing http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://schema.org/Place http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.opengis.net/gml/_Feature http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Region http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Place http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/AdministrativeRegion http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://schema.org/AdministrativeArea http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2004/02/skos/core#Concept
2,2,"CONSTRUCT {
<http://dbpedia.org/resource/Berlin>rdf:type?value.
}WHERE{
<http://dbpedia.org/resource/Berlin>rdf:type?value.
} LIMIT 1000",http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2004/02/skos/core#Concept http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Place http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2002/07/owl#Thing http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Region http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://schema.org/Place http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.opengis.net/gml/_Feature http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://schema.org/AdministrativeArea http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/AdministrativeRegion
3,3,"CONSTRUCT {
<http://dbpedia.org/resource/Berlin>rdf:type?value.
}WHERE{
<http://dbpedia.org/resource/Berlin>rdf:type?value.
} LIMIT 1000",http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2004/02/skos/core#Concept http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://schema.org/AdministrativeArea http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2002/07/owl#Thing http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.opengis.net/gml/_Feature http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Region http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://schema.org/Place http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Place http://dbpedia.org/resource/Berlin http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/AdministrativeRegion
