,query
0,"SELECT distinct ?subject ?fnavn ?aar ?sted ?category WHERE {
?subject rdf:type <http://dbpedia.org/ontology/Person>.
?subject <http://dbpedia.org/ontology/birthDate> ?aar.
?subject <http://dbpedia.org/ontology/birthPlace> ?sted.
?subject <http://xmlns.com/foaf/0.1/givenName> ?fnavn.
?subject <http://purl.org/dc/elements/1.1/description> ?category.
FILTER(str(?sted) = ""http://dbpedia.org/resource/Puerto Rico"").
}
ORDER BY ASC(?fnavn)
LIMIT 1000
"
1,"SELECT distinct ?subject ?fnavn ?aar ?sted ?category WHERE {
?subject rdf:type <http://dbpedia.org/ontology/Person>.
?subject <http://dbpedia.org/ontology/birthDate> ?aar.
?subject <http://dbpedia.org/ontology/birthPlace> ?sted.
?subject <http://xmlns.com/foaf/0.1/givenName> ?fnavn.
?subject <http://purl.org/dc/elements/1.1/description> ?category.
FILTER(str(?sted) = ""http://dbpedia.org/resource/Puerto_Rico"").
}
ORDER BY ASC(?fnavn)
LIMIT 1000
"
2,"SELECT distinct ?subject ?fnavn ?aar ?sted ?category WHERE {
?subject rdf:type <http://dbpedia.org/ontology/Person>.
?subject <http://dbpedia.org/ontology/birthDate> ?aar.
?subject <http://dbpedia.org/ontology/birthPlace> ?sted.
?subject <http://xmlns.com/foaf/0.1/givenName> ?fnavn.
?subject <http://purl.org/dc/elements/1.1/description> ?category.
FILTER(str(?sted) = ""http://dbpedia.org/resource/Syria"").
}
ORDER BY ASC(?fnavn)
LIMIT 1000
"
3,"SELECT distinct ?subject ?fnavn ?aar ?sted ?category WHERE {
?subject rdf:type <http://dbpedia.org/ontology/Person>.
?subject <http://dbpedia.org/ontology/birthDate> ?aar.
?subject <http://dbpedia.org/ontology/birthPlace> ?sted.
?subject <http://xmlns.com/foaf/0.1/givenName> ?fnavn.
?subject <http://purl.org/dc/elements/1.1/description> ?category.
FILTER(str(?sted) = ""http://dbpedia.org/resource/Trinidad_and_Tobago"").
}
ORDER BY ASC(?fnavn)
LIMIT 1000
"
4,"SELECT distinct ?subject ?fnavn ?aar ?sted ?category WHERE {
?subject rdf:type <http://dbpedia.org/ontology/Person>.
?subject <http://dbpedia.org/ontology/birthDate> ?aar.
?subject <http://dbpedia.org/ontology/birthPlace> ?sted.
?subject <http://xmlns.com/foaf/0.1/givenName> ?fnavn.
?subject <http://purl.org/dc/elements/1.1/description> ?category.
FILTER(str(?sted) = ""http://dbpedia.org/resource/Costa_Rica"").
}
ORDER BY ASC(?fnavn)
LIMIT 1000
"
5,"SELECT distinct ?subject ?fnavn ?aar ?sted ?category WHERE {
?subject rdf:type <http://dbpedia.org/ontology/Person>.
?subject <http://dbpedia.org/ontology/birthDate> ?aar.
?subject <http://dbpedia.org/ontology/birthPlace> ?sted.
?subject <http://xmlns.com/foaf/0.1/givenName> ?fnavn.
?subject <http://purl.org/dc/elements/1.1/description> ?category.
FILTER(str(?sted) = ""http://dbpedia.org/resource/Iraq"").
}
ORDER BY ASC(?fnavn)
LIMIT 1000
"
6,"SELECT distinct ?subject ?fnavn ?aar ?sted ?category WHERE {
?subject rdf:type <http://dbpedia.org/ontology/Person>.
?subject <http://dbpedia.org/ontology/birthDate> ?aar.
?subject <http://dbpedia.org/ontology/birthPlace> ?sted.
?subject <http://xmlns.com/foaf/0.1/givenName> ?fnavn.
?subject <http://purl.org/dc/elements/1.1/description> ?category.
FILTER(str(?sted) = ""http://dbpedia.org/resource/Bangladesh"").
}
ORDER BY ASC(?fnavn)
LIMIT 1000
"
7,"SELECT distinct ?subject ?fnavn ?aar ?sted ?category WHERE {
?subject rdf:type <http://dbpedia.org/ontology/Person>.
?subject <http://dbpedia.org/ontology/birthDate> ?aar.
?subject <http://dbpedia.org/ontology/birthPlace> ?sted.
?subject <http://xmlns.com/foaf/0.1/givenName> ?fnavn.
?subject <http://purl.org/dc/elements/1.1/description> ?category.
FILTER(str(?sted) = ""http://dbpedia.org/resource/Hong_Kong"").
}
ORDER BY ASC(?fnavn)
LIMIT 1000
"
8,"SELECT distinct ?subject ?fnavn ?aar ?sted ?category WHERE {
?subject rdf:type <http://dbpedia.org/ontology/Person>.
?subject <http://dbpedia.org/ontology/birthDate> ?aar.
?subject <http://dbpedia.org/ontology/birthPlace> ?sted.
?subject <http://xmlns.com/foaf/0.1/givenName> ?fnavn.
?subject <http://purl.org/dc/elements/1.1/description> ?category.
FILTER(str(?sted) = ""http://dbpedia.org/resource/Jamaica"").
}
ORDER BY ASC(?fnavn)
LIMIT 1000
"
9,"SELECT distinct ?subject ?fnavn ?aar ?sted ?category WHERE {
?subject rdf:type <http://dbpedia.org/ontology/Person>.
?subject <http://dbpedia.org/ontology/birthDate> ?aar.
?subject <http://dbpedia.org/ontology/birthPlace> ?sted.
?subject <http://xmlns.com/foaf/0.1/givenName> ?fnavn.
?subject <http://purl.org/dc/elements/1.1/description> ?category.
FILTER(str(?sted) = ""http://dbpedia.org/resource/Albania"").
}
ORDER BY ASC(?fnavn)
LIMIT 1000
"
