,id,query,answers
0,0,CONSTRUCT {?object ?property <http://dbpedia.org/resource/Category:German_people>}WHERE{?object ?property <http://dbpedia.org/resource/Category:German_people>} LIMIT 1000,http://dbpedia.org/resource/Mercedes_Bunz http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Stephan_Noller http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Ulrich_Mohrhoff http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/LeVar_Burton http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Marcel_Reif http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Bernd_H%C3%BCttemann http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Gerda_Warko http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Arthur_Engelbert http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Otto_Armster http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Markus_Hofmann http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Armin_Gr%C3%BCn http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Josef_Naus http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Isabel_Varell http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Gunther_Karsten http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Niko_Paech http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Spierig_brothers http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Klaus_Koschorke http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Christian_Schumann http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Christian_Friedrich_von_Otto http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Siriusmo http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Lorentz_Lossius http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Volker_Kempe http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Emanuel_Felke http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Ewald_Kienle http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Adolf_Just http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Karl_Friedrich_Louis_Dobermann http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Gerd_Rubenbauer http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Stefan_Richarz http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Inge_Druckrey http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Klaus_Hesse http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Horst_Heinrich_Streckenbach http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Norbert_Denef http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Ahmed_Siddiqui_(German) http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Leopold_Hoesch http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Peter_Winter_(philately) http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Marcus_Kretzer http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/List_of_terms_used_for_Germans http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Wilfried_Telk%C3%A4mper http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Friedrich_Michael_Ziegenhagen http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Harm_Osmers http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Helen_Sensburg http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Wolfgang_Hirschbach http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Maifest http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Heinrich_Feisthauer http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people http://dbpedia.org/resource/Germans http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_people
1,1,CONSTRUCT {?object ?property <http://dbpedia.org/resource/Category:German_entertainers>}WHERE{?object ?property <http://dbpedia.org/resource/Category:German_entertainers>} LIMIT 1000,http://dbpedia.org/resource/Johannes_B._Kerner http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_entertainers http://dbpedia.org/resource/Hagen_Rether http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_entertainers http://dbpedia.org/resource/Martin_Laurello http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_entertainers http://dbpedia.org/resource/Stermann_&_Grissemann http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_entertainers http://dbpedia.org/resource/Christoph_S%C3%BC%C3%9F http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_entertainers http://dbpedia.org/resource/Anastasia_Zampounidis http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_entertainers http://dbpedia.org/resource/Marc-Uwe_Kling http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_entertainers
2,2,CONSTRUCT {?object ?property <http://dbpedia.org/resource/Category:German_emperors>}WHERE{?object ?property <http://dbpedia.org/resource/Category:German_emperors>} LIMIT 1000,"http://dbpedia.org/resource/Wilhelm_II,_German_Emperor http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_emperors http://dbpedia.org/resource/List_of_German_monarchs_in_1918 http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_emperors http://dbpedia.org/resource/William_I,_German_Emperor http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_emperors http://dbpedia.org/resource/Frederick_III,_German_Emperor http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_emperors http://dbpedia.org/resource/German_Emperor http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_emperors"
3,3,CONSTRUCT {?object ?property <http://dbpedia.org/resource/Category:German_sailors>}WHERE{?object ?property <http://dbpedia.org/resource/Category:German_sailors>} LIMIT 1000,http://dbpedia.org/resource/Felix_von_Luckner http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_sailors http://dbpedia.org/resource/Edgar_Gold http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_sailors http://dbpedia.org/resource/Albin_K%C3%B6bis http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_sailors http://dbpedia.org/resource/Alfred_von_Niezychowski http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_sailors http://dbpedia.org/resource/Heinrich_Zimmermann http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_sailors http://dbpedia.org/resource/Hannes_Baumann http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_sailors http://dbpedia.org/resource/Fritz_Kopperschmidt http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_sailors http://dbpedia.org/resource/Bruno_Splieth http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_sailors http://dbpedia.org/resource/Simon_Grotel%C3%BCschen http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_sailors http://dbpedia.org/resource/Eckart_Wagner http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_sailors http://dbpedia.org/resource/Tobias_Schadewaldt http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_sailors http://dbpedia.org/resource/Wilfried_Erdmann http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_sailors http://dbpedia.org/resource/Herbert_Reich_(sailor) http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_sailors http://dbpedia.org/resource/Kathrin_Kadelbach http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_sailors http://dbpedia.org/resource/Rollo_Gebhard http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_sailors http://dbpedia.org/resource/Hans_L%C3%BCdemann http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_sailors http://dbpedia.org/resource/Franziska_Goltz http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_sailors http://dbpedia.org/resource/Hannes_Lindemann http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_sailors http://dbpedia.org/resource/Gustav_Schr%C3%B6der http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_sailors http://dbpedia.org/resource/Max_Reichpietsch http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_sailors http://dbpedia.org/resource/Emil_St%C3%BCrtz http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_sailors http://dbpedia.org/resource/Fritz_Sauckel http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_sailors http://dbpedia.org/resource/Willy_Messerschmitt http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_sailors http://dbpedia.org/resource/Moana_Delle http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_sailors http://dbpedia.org/resource/Friederike_Belcher http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_sailors http://dbpedia.org/resource/Laura_Dekker http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_sailors http://dbpedia.org/resource/Christian_Nissen http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_sailors
4,4,CONSTRUCT {?object ?property <http://dbpedia.org/resource/Category:German_royalty>}WHERE{?object ?property <http://dbpedia.org/resource/Category:German_royalty>} LIMIT 1000,"http://dbpedia.org/resource/Prinzenerlass http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_royalty http://dbpedia.org/resource/Heinrich_Donatus,_Hereditary_Prince_of_Schaumburg-Lippe http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_royalty http://dbpedia.org/resource/Donatus,_Hereditary_Prince_of_Hesse http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_royalty http://dbpedia.org/resource/Archduchess_Maria_Anna_Josepha_of_Austria http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_royalty http://dbpedia.org/resource/Magdalena_Sibylla_of_Hesse-Darmstadt http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_royalty http://dbpedia.org/resource/Countess_Palatine_Maria_Franziska_of_Sulzbach http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_royalty http://dbpedia.org/resource/Anne_Eleonore_of_Hesse-Darmstadt http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_royalty http://dbpedia.org/resource/Wilhelm_Graf_von_Hohenau http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_royalty http://dbpedia.org/resource/Princess_Charlotte_Wilhelmine_of_Saxe-Coburg-Saalfeld http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_royalty http://dbpedia.org/resource/House_of_Lippe http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_royalty http://dbpedia.org/resource/Christopher_of_Baden-Durlach http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_royalty http://dbpedia.org/resource/Thankmar http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_royalty http://dbpedia.org/resource/Duchess_Maria_Anna_Josepha_of_Bavaria http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_royalty http://dbpedia.org/resource/Richard_Graf_von_Schaesberg-Tannheim http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_royalty http://dbpedia.org/resource/Duchess_Sibylle_of_Saxe-Lauenburg http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_royalty http://dbpedia.org/resource/Joachim_Ernst,_Duke_of_Anhalt http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_royalty http://dbpedia.org/resource/Prince_Christian_of_Hanover_(born_1985) http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_royalty http://dbpedia.org/resource/Philipp-Ernst,_Prince_of_Schaumburg-Lippe http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_royalty http://dbpedia.org/resource/Eduard,_Prince_of_Anhalt http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_royalty http://dbpedia.org/resource/Prince_Joachim_of_Prussia http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_royalty http://dbpedia.org/resource/Prince_Wilhelm_of_Prussia_(1906%E2%80%931940) http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_royalty http://dbpedia.org/resource/Alexander,_Prince_of_Schaumburg-Lippe http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_royalty"
5,5,CONSTRUCT {?object ?property <http://dbpedia.org/resource/Category:German_outlaws>}WHERE{?object ?property <http://dbpedia.org/resource/Category:German_outlaws>} LIMIT 1000,http://dbpedia.org/resource/Xaver_Hohenleiter http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_outlaws http://dbpedia.org/resource/Hans_Kohlhase http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_outlaws http://dbpedia.org/resource/Matthias_Klostermayr http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_outlaws http://dbpedia.org/resource/Hannikel http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_outlaws http://dbpedia.org/resource/Frederick_of_Isenberg http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_outlaws http://dbpedia.org/resource/Mathias_Knei%C3%9Fl http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_outlaws http://dbpedia.org/resource/Schinderhannes http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_outlaws http://dbpedia.org/resource/Eppelein_von_Gailingen http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_outlaws http://dbpedia.org/resource/Otto_von_Pack http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_outlaws
6,6,CONSTRUCT {?object ?property <http://dbpedia.org/resource/Category:German_military_personnel>}WHERE{?object ?property <http://dbpedia.org/resource/Category:German_military_personnel>} LIMIT 1000,"http://dbpedia.org/resource/Hans_Tappenbeck http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Otto_von_Feldmann http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Prince_Paul_of_Thurn_and_Taxis http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Herbert_Olbrich http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Wilhelm_von_Rath http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Ferdinand_Maria_Innocenz_of_Bavaria http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Micha%C5%82_Radziwi%C5%82%C5%82_Rudy http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Axel_von_Blomberg http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Jacob_Heinrich_von_Flemming http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Friedrich_von_Arnauld_de_la_Peri%C3%A8re http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Hans_Kahle http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Albert_Wolfgang_of_Brandenburg-Bayreuth http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Hermann_Baranowski http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Friedrich_Robert_von_Beringe http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Hans_Dominik http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Franz_Boluminski http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Otto_von_Etzel http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Ernst_Fr%C3%B6mming http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Richard_Abegg http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Josias_II,_Count_of_Waldeck-Wildungen http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Charles_August,_Prince_of_Nassau-Weilburg http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Wilhelm_Bergholtz http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Wolfgang_F%C3%BCrstner http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Johannes_Eppler http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Baltzar_von_Dahlheim http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Max_Liebermann_von_Sonnenberg http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Hermann_of_Baden-Baden http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Friedrich_Josef_Rauch http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/August_von_Kruse http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Martin-Paul_Samba http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Christian_Wilhelm_von_Faber_du_Faur http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Wilhelm_Frickart http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/August_Keim http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Fritz_Bronsart_von_Schellendorf http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Alexander_Scotland http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Prince_Hermann_of_Saxe-Weimar-Eisenach_(1825%E2%80%931901) http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Ferdinand_von_Malais%C3%A9 http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Sven_H%C3%BCber http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Werner_Rahn http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Carl_Wilhelm_von_Heideck http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Erhard_Kroeger http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Frederick_Charles_Ferdinand,_Duke_of_Brunswick-L%C3%BCneburg http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Ernest_Ferdinand,_Duke_of_Brunswick-L%C3%BCneburg http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Erhard_B%C3%BChler http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Florian_Geyer http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel http://dbpedia.org/resource/Gaston_Thierry http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_military_personnel"
7,7,CONSTRUCT {?object ?property <http://dbpedia.org/resource/Category:German_executioners>}WHERE{?object ?property <http://dbpedia.org/resource/Category:German_executioners>} LIMIT 1000,http://dbpedia.org/resource/Johann_Reichhart http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_executioners http://dbpedia.org/resource/Scharfrichter http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_executioners http://dbpedia.org/resource/Alois_Weiss http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_executioners http://dbpedia.org/resource/Franz_Schmidt_(executioner) http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_executioners http://dbpedia.org/resource/Lorenz_Schwietz http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_executioners
8,8,CONSTRUCT {?object ?property <http://dbpedia.org/resource/Category:German_criminologists>}WHERE{?object ?property <http://dbpedia.org/resource/Category:German_criminologists>} LIMIT 1000,http://dbpedia.org/resource/Ernst_Gennat http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_criminologists http://dbpedia.org/resource/Erich_Marks http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_criminologists http://dbpedia.org/resource/Wolfgang_Heinz_(criminologist) http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_criminologists http://dbpedia.org/resource/Julius_Friedrich_Heinrich_Abegg http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_criminologists
9,9,CONSTRUCT {?object ?property <http://dbpedia.org/resource/Category:German_civil_servants>}WHERE{?object ?property <http://dbpedia.org/resource/Category:German_civil_servants>} LIMIT 1000,http://dbpedia.org/resource/Heino_Hankewitz http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_civil_servants http://dbpedia.org/resource/J%C3%BCrgen_Schade http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_civil_servants http://dbpedia.org/resource/Cornelia_Rudloff-Sch%C3%A4ffer http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_civil_servants http://dbpedia.org/resource/Louis_Nels http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_civil_servants http://dbpedia.org/resource/Heinz_Fromm http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_civil_servants http://dbpedia.org/resource/Adolf_Friedrich_von_Reinhard http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_civil_servants http://dbpedia.org/resource/Hermann_Lutz http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_civil_servants http://dbpedia.org/resource/Klaus_Tscheuschner http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_civil_servants http://dbpedia.org/resource/Eggert_Reeder http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_civil_servants http://dbpedia.org/resource/Heinrich_Deubel http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_civil_servants http://dbpedia.org/resource/Hans-J%C3%BCrgen_Weber http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_civil_servants http://dbpedia.org/resource/Ernst_Christian_Wilhelm_Ackermann http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_civil_servants http://dbpedia.org/resource/Paulus_Hector_Mair http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_civil_servants http://dbpedia.org/resource/Carmen_Everts http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_civil_servants http://dbpedia.org/resource/Werner_Ungerer http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_civil_servants
