,query
0,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 9.061499834060667 AND ?lng < 9.071906805038452 AND ?lat > 39.28003847406376 AND ?lat < 39.284024651075505) AND  LANG(?label)='it' AND LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
1,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 9.064251780509948 AND ?lng < 9.06945526599884 AND ?lat > 39.28143366182128 AND ?lat < 39.28342673898507) AND  !(?lng > 9.061499834060667 AND ?lng < 9.071906805038452 AND ?lat > 39.28003847406376 AND ?lat < 39.284024651075505) AND  LANG(?label)='it' AND LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
2,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 9.064573645591735 AND ?lng < 9.069777131080627 AND ?lat > 39.282583840354945 AND ?lat < 39.28457688479161) AND  !(?lng > 9.061499834060667 AND ?lng < 9.071906805038452 AND ?lat > 39.28003847406376 AND ?lat < 39.284024651075505) AND  !(?lng > 9.064251780509948 AND ?lng < 9.06945526599884 AND ?lat > 39.28143366182128 AND ?lat < 39.28342673898507) AND  LANG(?label)='it' AND LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
3,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 9.065914750099182 AND ?lng < 9.071118235588072 AND ?lat > 39.283053041336664 AND ?lat < 39.28504607242245) AND  !(?lng > 9.061499834060667 AND ?lng < 9.071906805038452 AND ?lat > 39.28003847406376 AND ?lat < 39.284024651075505) AND  !(?lng > 9.064251780509948 AND ?lng < 9.06945526599884 AND ?lat > 39.28143366182128 AND ?lat < 39.28342673898507) AND  !(?lng > 9.064573645591735 AND ?lng < 9.069777131080627 AND ?lat > 39.282583840354945 AND ?lat < 39.28457688479161) AND  LANG(?label)='it' AND LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
4,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 9.06692862510681 AND ?lng < 9.072132110595703 AND ?lat > 39.28334784742531 AND ?lat < 39.2853408701225) AND  !(?lng > 9.061499834060667 AND ?lng < 9.071906805038452 AND ?lat > 39.28003847406376 AND ?lat < 39.284024651075505) AND  !(?lng > 9.064251780509948 AND ?lng < 9.06945526599884 AND ?lat > 39.28143366182128 AND ?lat < 39.28342673898507) AND  !(?lng > 9.064573645591735 AND ?lng < 9.069777131080627 AND ?lat > 39.282583840354945 AND ?lat < 39.28457688479161) AND  !(?lng > 9.065914750099182 AND ?lng < 9.071118235588072 AND ?lat > 39.283053041336664 AND ?lat < 39.28504607242245) AND  LANG(?label)='it' AND LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
5,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 9.070013165473938 AND ?lng < 9.07521665096283 AND ?lat > 39.283140237632956 AND ?lat < 39.28513326623761) AND  !(?lng > 9.061499834060667 AND ?lng < 9.071906805038452 AND ?lat > 39.28003847406376 AND ?lat < 39.284024651075505) AND  !(?lng > 9.065914750099182 AND ?lng < 9.071118235588072 AND ?lat > 39.283053041336664 AND ?lat < 39.28504607242245) AND  !(?lng > 9.06692862510681 AND ?lng < 9.072132110595703 AND ?lat > 39.28334784742531 AND ?lat < 39.2853408701225) AND  LANG(?label)='it' AND LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
6,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 9.068065881729126 AND ?lng < 9.07847285270691 AND ?lat > 39.281907022782676 AND ?lat < 39.28589309346085) AND  !(?lng > 9.061499834060667 AND ?lng < 9.071906805038452 AND ?lat > 39.28003847406376 AND ?lat < 39.284024651075505) AND  !(?lng > 9.064251780509948 AND ?lng < 9.06945526599884 AND ?lat > 39.28143366182128 AND ?lat < 39.28342673898507) AND  !(?lng > 9.064573645591735 AND ?lng < 9.069777131080627 AND ?lat > 39.282583840354945 AND ?lat < 39.28457688479161) AND  !(?lng > 9.065914750099182 AND ?lng < 9.071118235588072 AND ?lat > 39.283053041336664 AND ?lat < 39.28504607242245) AND  !(?lng > 9.06692862510681 AND ?lng < 9.072132110595703 AND ?lat > 39.28334784742531 AND ?lat < 39.2853408701225) AND  !(?lng > 9.070013165473938 AND ?lng < 9.07521665096283 AND ?lat > 39.283140237632956 AND ?lat < 39.28513326623761) AND  LANG(?label)"
7,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 9.056382179260254 AND ?lng < 9.098010063171386 AND ?lat > 39.27449066688257 AND ?lat < 39.29043527661459) AND  !(?lng > 9.061499834060667 AND ?lng < 9.071906805038452 AND ?lat > 39.28003847406376 AND ?lat < 39.284024651075505) AND  !(?lng > 9.064251780509948 AND ?lng < 9.06945526599884 AND ?lat > 39.28143366182128 AND ?lat < 39.28342673898507) AND  !(?lng > 9.064573645591735 AND ?lng < 9.069777131080627 AND ?lat > 39.282583840354945 AND ?lat < 39.28457688479161) AND  !(?lng > 9.065914750099182 AND ?lng < 9.071118235588072 AND ?lat > 39.283053041336664 AND ?lat < 39.28504607242245) AND  !(?lng > 9.06692862510681 AND ?lng < 9.072132110595703 AND ?lat > 39.28334784742531 AND ?lat < 39.2853408701225) AND  !(?lng > 9.070013165473938 AND ?lng < 9.07521665096283 AND ?lat > 39.283140237632956 AND ?lat < 39.28513326623761) AND  !(?lng >"
8,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 9.040803909301757 AND ?lng < 9.124059677124023 AND ?lat > 39.26462312202754 AND ?lat < 39.29651320339141) AND  !(?lng > 9.061499834060667 AND ?lng < 9.071906805038452 AND ?lat > 39.28003847406376 AND ?lat < 39.284024651075505) AND  !(?lng > 9.064251780509948 AND ?lng < 9.06945526599884 AND ?lat > 39.28143366182128 AND ?lat < 39.28342673898507) AND  !(?lng > 9.064573645591735 AND ?lng < 9.069777131080627 AND ?lat > 39.282583840354945 AND ?lat < 39.28457688479161) AND  !(?lng > 9.065914750099182 AND ?lng < 9.071118235588072 AND ?lat > 39.283053041336664 AND ?lat < 39.28504607242245) AND  !(?lng > 9.06692862510681 AND ?lng < 9.072132110595703 AND ?lat > 39.28334784742531 AND ?lat < 39.2853408701225) AND  !(?lng > 9.070013165473938 AND ?lng < 9.07521665096283 AND ?lat > 39.283140237632956 AND ?lat < 39.28513326623761) AND  !(?lng >"
9,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 9.072335958480835 AND ?lng < 9.082742929458618 AND ?lat > 39.27973119683563 AND ?lat < 39.2837173913332) AND  !(?lng > 9.070013165473938 AND ?lng < 9.07521665096283 AND ?lat > 39.283140237632956 AND ?lat < 39.28513326623761) AND  !(?lng > 9.068065881729126 AND ?lng < 9.07847285270691 AND ?lat > 39.281907022782676 AND ?lat < 39.28589309346085) AND  !(?lng > 9.056382179260254 AND ?lng < 9.098010063171386 AND ?lat > 39.27449066688257 AND ?lat < 39.29043527661459) AND  !(?lng > 9.040803909301757 AND ?lng < 9.124059677124023 AND ?lat > 39.26462312202754 AND ?lat < 39.29651320339141) AND  !(?lng > 9.058828353881834 AND ?lng < 9.100456237792968 AND ?lat > 39.2732614525488 AND ?lat < 39.28920634205404) AND  LANG(?label)='it' AND LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
