,query
0,SELECT DISTINCT * WHERE {<http://dbpedia.org/resource/Category:German_people_by_occupation> ?property ?object.FILTER ((( isIRI(?object) && ?property != <http://xmlns.com/foaf/0.1/depiction> )|| ?property = <http://www.w3.org/2000/01/rdf-schema#label>  || ?property = <http://www.georss.org/georss/point> || ?property = <http://xmlns.com/foaf/0.1/surname> || ?property = <http://xmlns.com/foaf/0.1/name> || ?property = <http://purl.org/dc/elements/1.1/title>))}  ORDER BY ?property
1,SELECT DISTINCT * WHERE {?object ?property <http://dbpedia.org/resource/Category:German_people_by_occupation>} LIMIT 100
2,SELECT DISTINCT * WHERE {<http://dbpedia.org/resource/Category:German_people> ?property ?object.FILTER ((( isIRI(?object) && ?property != <http://xmlns.com/foaf/0.1/depiction> )|| ?property = <http://www.w3.org/2000/01/rdf-schema#label>  || ?property = <http://www.georss.org/georss/point> || ?property = <http://xmlns.com/foaf/0.1/surname> || ?property = <http://xmlns.com/foaf/0.1/name> || ?property = <http://purl.org/dc/elements/1.1/title>))}  ORDER BY ?property
3,SELECT DISTINCT * WHERE {?object ?property <http://dbpedia.org/resource/Category:German_people>} LIMIT 100
4,SELECT DISTINCT * WHERE {<http://dbpedia.org/resource/Category:People_by_nationality_and_occupation> ?property ?object.FILTER ((( isIRI(?object) && ?property != <http://xmlns.com/foaf/0.1/depiction> )|| ?property = <http://www.w3.org/2000/01/rdf-schema#label>  || ?property = <http://www.georss.org/georss/point> || ?property = <http://xmlns.com/foaf/0.1/surname> || ?property = <http://xmlns.com/foaf/0.1/name> || ?property = <http://purl.org/dc/elements/1.1/title>))}  ORDER BY ?property
5,SELECT DISTINCT * WHERE {?object ?property <http://dbpedia.org/resource/Category:People_by_nationality_and_occupation>} LIMIT 100
6,SELECT DISTINCT * WHERE {<http://dbpedia.org/resource/Category:German_entertainers> ?property ?object.FILTER ((( isIRI(?object) && ?property != <http://xmlns.com/foaf/0.1/depiction> )|| ?property = <http://www.w3.org/2000/01/rdf-schema#label>  || ?property = <http://www.georss.org/georss/point> || ?property = <http://xmlns.com/foaf/0.1/surname> || ?property = <http://xmlns.com/foaf/0.1/name> || ?property = <http://purl.org/dc/elements/1.1/title>))}  ORDER BY ?property
7,SELECT DISTINCT * WHERE {?object ?property <http://dbpedia.org/resource/Category:German_entertainers>} LIMIT 100
8,SELECT DISTINCT * WHERE {<http://dbpedia.org/resource/Category:German_emperors> ?property ?object.FILTER ((( isIRI(?object) && ?property != <http://xmlns.com/foaf/0.1/depiction> )|| ?property = <http://www.w3.org/2000/01/rdf-schema#label>  || ?property = <http://www.georss.org/georss/point> || ?property = <http://xmlns.com/foaf/0.1/surname> || ?property = <http://xmlns.com/foaf/0.1/name> || ?property = <http://purl.org/dc/elements/1.1/title>))}  ORDER BY ?property
9,SELECT DISTINCT * WHERE {?object ?property <http://dbpedia.org/resource/Category:German_emperors>} LIMIT 100
10,SELECT DISTINCT * WHERE {<http://dbpedia.org/resource/Category:German_sailors> ?property ?object.FILTER ((( isIRI(?object) && ?property != <http://xmlns.com/foaf/0.1/depiction> )|| ?property = <http://www.w3.org/2000/01/rdf-schema#label>  || ?property = <http://www.georss.org/georss/point> || ?property = <http://xmlns.com/foaf/0.1/surname> || ?property = <http://xmlns.com/foaf/0.1/name> || ?property = <http://purl.org/dc/elements/1.1/title>))}  ORDER BY ?property
11,SELECT DISTINCT * WHERE {?object ?property <http://dbpedia.org/resource/Category:German_sailors>} LIMIT 100
12,SELECT DISTINCT * WHERE {<http://dbpedia.org/resource/Category:German_royalty> ?property ?object.FILTER ((( isIRI(?object) && ?property != <http://xmlns.com/foaf/0.1/depiction> )|| ?property = <http://www.w3.org/2000/01/rdf-schema#label>  || ?property = <http://www.georss.org/georss/point> || ?property = <http://xmlns.com/foaf/0.1/surname> || ?property = <http://xmlns.com/foaf/0.1/name> || ?property = <http://purl.org/dc/elements/1.1/title>))}  ORDER BY ?property
13,SELECT DISTINCT * WHERE {?object ?property <http://dbpedia.org/resource/Category:German_royalty>} LIMIT 100
14,SELECT DISTINCT * WHERE {<http://dbpedia.org/resource/Category:German_outlaws> ?property ?object.FILTER ((( isIRI(?object) && ?property != <http://xmlns.com/foaf/0.1/depiction> )|| ?property = <http://www.w3.org/2000/01/rdf-schema#label>  || ?property = <http://www.georss.org/georss/point> || ?property = <http://xmlns.com/foaf/0.1/surname> || ?property = <http://xmlns.com/foaf/0.1/name> || ?property = <http://purl.org/dc/elements/1.1/title>))}  ORDER BY ?property
15,SELECT DISTINCT * WHERE {?object ?property <http://dbpedia.org/resource/Category:German_outlaws>} LIMIT 100
16,SELECT DISTINCT * WHERE {<http://dbpedia.org/resource/Category:German_military_personnel> ?property ?object.FILTER ((( isIRI(?object) && ?property != <http://xmlns.com/foaf/0.1/depiction> )|| ?property = <http://www.w3.org/2000/01/rdf-schema#label>  || ?property = <http://www.georss.org/georss/point> || ?property = <http://xmlns.com/foaf/0.1/surname> || ?property = <http://xmlns.com/foaf/0.1/name> || ?property = <http://purl.org/dc/elements/1.1/title>))}  ORDER BY ?property
17,SELECT DISTINCT * WHERE {?object ?property <http://dbpedia.org/resource/Category:German_military_personnel>} LIMIT 100
18,SELECT DISTINCT * WHERE {<http://dbpedia.org/resource/Category:German_executioners> ?property ?object.FILTER ((( isIRI(?object) && ?property != <http://xmlns.com/foaf/0.1/depiction> )|| ?property = <http://www.w3.org/2000/01/rdf-schema#label>  || ?property = <http://www.georss.org/georss/point> || ?property = <http://xmlns.com/foaf/0.1/surname> || ?property = <http://xmlns.com/foaf/0.1/name> || ?property = <http://purl.org/dc/elements/1.1/title>))}  ORDER BY ?property
19,SELECT DISTINCT * WHERE {?object ?property <http://dbpedia.org/resource/Category:German_executioners>} LIMIT 100
20,SELECT DISTINCT * WHERE {<http://dbpedia.org/resource/Category:German_criminologists> ?property ?object.FILTER ((( isIRI(?object) && ?property != <http://xmlns.com/foaf/0.1/depiction> )|| ?property = <http://www.w3.org/2000/01/rdf-schema#label>  || ?property = <http://www.georss.org/georss/point> || ?property = <http://xmlns.com/foaf/0.1/surname> || ?property = <http://xmlns.com/foaf/0.1/name> || ?property = <http://purl.org/dc/elements/1.1/title>))}  ORDER BY ?property
21,SELECT DISTINCT * WHERE {<http://dbpedia.org/resource/Category:German_civil_servants> ?property ?object.FILTER ((( isIRI(?object) && ?property != <http://xmlns.com/foaf/0.1/depiction> )|| ?property = <http://www.w3.org/2000/01/rdf-schema#label>  || ?property = <http://www.georss.org/georss/point> || ?property = <http://xmlns.com/foaf/0.1/surname> || ?property = <http://xmlns.com/foaf/0.1/name> || ?property = <http://purl.org/dc/elements/1.1/title>))}  ORDER BY ?property
22,SELECT DISTINCT * WHERE {?object ?property <http://dbpedia.org/resource/Category:German_criminologists>} LIMIT 100
23,SELECT DISTINCT * WHERE {?object ?property <http://dbpedia.org/resource/Category:German_civil_servants>} LIMIT 100
24,SELECT DISTINCT * WHERE {<http://dbpedia.org/resource/Category:German_booksellers> ?property ?object.FILTER ((( isIRI(?object) && ?property != <http://xmlns.com/foaf/0.1/depiction> )|| ?property = <http://www.w3.org/2000/01/rdf-schema#label>  || ?property = <http://www.georss.org/georss/point> || ?property = <http://xmlns.com/foaf/0.1/surname> || ?property = <http://xmlns.com/foaf/0.1/name> || ?property = <http://purl.org/dc/elements/1.1/title>))}  ORDER BY ?property
25,SELECT DISTINCT * WHERE {?object ?property <http://dbpedia.org/resource/Category:German_booksellers>} LIMIT 100
26,SELECT DISTINCT * WHERE {<http://dbpedia.org/resource/Category:German_automotive_engineers> ?property ?object.FILTER ((( isIRI(?object) && ?property != <http://xmlns.com/foaf/0.1/depiction> )|| ?property = <http://www.w3.org/2000/01/rdf-schema#label>  || ?property = <http://www.georss.org/georss/point> || ?property = <http://xmlns.com/foaf/0.1/surname> || ?property = <http://xmlns.com/foaf/0.1/name> || ?property = <http://purl.org/dc/elements/1.1/title>))}  ORDER BY ?property
27,SELECT DISTINCT * WHERE {?object ?property <http://dbpedia.org/resource/Category:German_automotive_engineers>} LIMIT 100
28,SELECT DISTINCT * WHERE {<http://dbpedia.org/resource/Category:German_scenic_designers> ?property ?object.FILTER ((( isIRI(?object) && ?property != <http://xmlns.com/foaf/0.1/depiction> )|| ?property = <http://www.w3.org/2000/01/rdf-schema#label>  || ?property = <http://www.georss.org/georss/point> || ?property = <http://xmlns.com/foaf/0.1/surname> || ?property = <http://xmlns.com/foaf/0.1/name> || ?property = <http://purl.org/dc/elements/1.1/title>))}  ORDER BY ?property
29,SELECT DISTINCT * WHERE {?object ?property <http://dbpedia.org/resource/Category:German_scenic_designers>} LIMIT 100
30,SELECT DISTINCT * WHERE {<http://dbpedia.org/resource/Category:West_German_people_by_occupation> ?property ?object.FILTER ((( isIRI(?object) && ?property != <http://xmlns.com/foaf/0.1/depiction> )|| ?property = <http://www.w3.org/2000/01/rdf-schema#label>  || ?property = <http://www.georss.org/georss/point> || ?property = <http://xmlns.com/foaf/0.1/surname> || ?property = <http://xmlns.com/foaf/0.1/name> || ?property = <http://purl.org/dc/elements/1.1/title>))}  ORDER BY ?property
31,SELECT DISTINCT * WHERE {?object ?property <http://dbpedia.org/resource/Category:West_German_people_by_occupation>} LIMIT 100
32,SELECT DISTINCT * WHERE {<http://dbpedia.org/resource/Category:German_commodities_traders> ?property ?object.FILTER ((( isIRI(?object) && ?property != <http://xmlns.com/foaf/0.1/depiction> )|| ?property = <http://www.w3.org/2000/01/rdf-schema#label>  || ?property = <http://www.georss.org/georss/point> || ?property = <http://xmlns.com/foaf/0.1/surname> || ?property = <http://xmlns.com/foaf/0.1/name> || ?property = <http://purl.org/dc/elements/1.1/title>))}  ORDER BY ?property
33,SELECT DISTINCT * WHERE {?object ?property <http://dbpedia.org/resource/Category:German_commodities_traders>} LIMIT 100
34,SELECT DISTINCT * WHERE {<http://dbpedia.org/resource/Category:German_erotica_people> ?property ?object.FILTER ((( isIRI(?object) && ?property != <http://xmlns.com/foaf/0.1/depiction> )|| ?property = <http://www.w3.org/2000/01/rdf-schema#label>  || ?property = <http://www.georss.org/georss/point> || ?property = <http://xmlns.com/foaf/0.1/surname> || ?property = <http://xmlns.com/foaf/0.1/name> || ?property = <http://purl.org/dc/elements/1.1/title>))}  ORDER BY ?property
35,SELECT DISTINCT * WHERE {?object ?property <http://dbpedia.org/resource/Category:German_erotica_people>} LIMIT 100
36,SELECT DISTINCT * WHERE {<http://dbpedia.org/resource/Category:German_game_designers> ?property ?object.FILTER ((( isIRI(?object) && ?property != <http://xmlns.com/foaf/0.1/depiction> )|| ?property = <http://www.w3.org/2000/01/rdf-schema#label>  || ?property = <http://www.georss.org/georss/point> || ?property = <http://xmlns.com/foaf/0.1/surname> || ?property = <http://xmlns.com/foaf/0.1/name> || ?property = <http://purl.org/dc/elements/1.1/title>))}  ORDER BY ?property
37,SELECT DISTINCT * WHERE {?object ?property <http://dbpedia.org/resource/Category:German_game_designers>} LIMIT 100
38,SELECT DISTINCT * WHERE {<http://dbpedia.org/resource/Category:German_hedge_fund_managers> ?property ?object.FILTER ((( isIRI(?object) && ?property != <http://xmlns.com/foaf/0.1/depiction> )|| ?property = <http://www.w3.org/2000/01/rdf-schema#label>  || ?property = <http://www.georss.org/georss/point> || ?property = <http://xmlns.com/foaf/0.1/surname> || ?property = <http://xmlns.com/foaf/0.1/name> || ?property = <http://purl.org/dc/elements/1.1/title>))}  ORDER BY ?property
39,SELECT DISTINCT * WHERE {?object ?property <http://dbpedia.org/resource/Category:German_hedge_fund_managers>} LIMIT 100
40,SELECT DISTINCT * WHERE {<http://dbpedia.org/resource/Category:People_from_Berlin_by_occupation> ?property ?object.FILTER ((( isIRI(?object) && ?property != <http://xmlns.com/foaf/0.1/depiction> )|| ?property = <http://www.w3.org/2000/01/rdf-schema#label>  || ?property = <http://www.georss.org/georss/point> || ?property = <http://xmlns.com/foaf/0.1/surname> || ?property = <http://xmlns.com/foaf/0.1/name> || ?property = <http://purl.org/dc/elements/1.1/title>))}  ORDER BY ?property
41,SELECT DISTINCT * WHERE {?object ?property <http://dbpedia.org/resource/Category:People_from_Berlin_by_occupation>} LIMIT 100
42,SELECT DISTINCT * WHERE {<http://dbpedia.org/resource/Category:German_actors> ?property ?object.FILTER ((( isIRI(?object) && ?property != <http://xmlns.com/foaf/0.1/depiction> )|| ?property = <http://www.w3.org/2000/01/rdf-schema#label>  || ?property = <http://www.georss.org/georss/point> || ?property = <http://xmlns.com/foaf/0.1/surname> || ?property = <http://xmlns.com/foaf/0.1/name> || ?property = <http://purl.org/dc/elements/1.1/title>))}  ORDER BY ?property
43,SELECT DISTINCT * WHERE {?object ?property <http://dbpedia.org/resource/Category:German_actors>} LIMIT 100
44,SELECT DISTINCT * WHERE {<http://dbpedia.org/resource/Category:German_antiquarians> ?property ?object.FILTER ((( isIRI(?object) && ?property != <http://xmlns.com/foaf/0.1/depiction> )|| ?property = <http://www.w3.org/2000/01/rdf-schema#label>  || ?property = <http://www.georss.org/georss/point> || ?property = <http://xmlns.com/foaf/0.1/surname> || ?property = <http://xmlns.com/foaf/0.1/name> || ?property = <http://purl.org/dc/elements/1.1/title>))}  ORDER BY ?property
45,SELECT DISTINCT * WHERE {?object ?property <http://dbpedia.org/resource/Category:German_antiquarians>} LIMIT 100
46,SELECT DISTINCT * WHERE {<http://dbpedia.org/resource/Category:German_aviators> ?property ?object.FILTER ((( isIRI(?object) && ?property != <http://xmlns.com/foaf/0.1/depiction> )|| ?property = <http://www.w3.org/2000/01/rdf-schema#label>  || ?property = <http://www.georss.org/georss/point> || ?property = <http://xmlns.com/foaf/0.1/surname> || ?property = <http://xmlns.com/foaf/0.1/name> || ?property = <http://purl.org/dc/elements/1.1/title>))}  ORDER BY ?property
47,SELECT DISTINCT * WHERE {<http://dbpedia.org/resource/Category:German_clergy> ?property ?object.FILTER ((( isIRI(?object) && ?property != <http://xmlns.com/foaf/0.1/depiction> )|| ?property = <http://www.w3.org/2000/01/rdf-schema#label>  || ?property = <http://www.georss.org/georss/point> || ?property = <http://xmlns.com/foaf/0.1/surname> || ?property = <http://xmlns.com/foaf/0.1/name> || ?property = <http://purl.org/dc/elements/1.1/title>))}  ORDER BY ?property
48,SELECT DISTINCT * WHERE {?object ?property <http://dbpedia.org/resource/Category:German_aviators>} LIMIT 100
49,SELECT DISTINCT * WHERE {<http://dbpedia.org/resource/Category:German_clowns> ?property ?object.FILTER ((( isIRI(?object) && ?property != <http://xmlns.com/foaf/0.1/depiction> )|| ?property = <http://www.w3.org/2000/01/rdf-schema#label>  || ?property = <http://www.georss.org/georss/point> || ?property = <http://xmlns.com/foaf/0.1/surname> || ?property = <http://xmlns.com/foaf/0.1/name> || ?property = <http://purl.org/dc/elements/1.1/title>))}  ORDER BY ?property
50,SELECT DISTINCT * WHERE {?object ?property <http://dbpedia.org/resource/Category:German_clergy>} LIMIT 100
51,SELECT DISTINCT * WHERE {?object ?property <http://dbpedia.org/resource/Category:German_clowns>} LIMIT 100
52,SELECT DISTINCT * WHERE {<http://dbpedia.org/resource/Category:German_educationists> ?property ?object.FILTER ((( isIRI(?object) && ?property != <http://xmlns.com/foaf/0.1/depiction> )|| ?property = <http://www.w3.org/2000/01/rdf-schema#label>  || ?property = <http://www.georss.org/georss/point> || ?property = <http://xmlns.com/foaf/0.1/surname> || ?property = <http://xmlns.com/foaf/0.1/name> || ?property = <http://purl.org/dc/elements/1.1/title>))}  ORDER BY ?property
53,SELECT DISTINCT * WHERE {?object ?property <http://dbpedia.org/resource/Category:German_educationists>} LIMIT 100
