,query
0,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>
						SELECT ?comment ?label WHERE { 
						?entity rdfs:label ?label . 
						?entity dbpedia-owl:abstract ?abstract . 
						?entity rdfs:comment ?comment . 
						?label <bif:contains> 
						 'senado'.
						FILTER (lang(?abstract) = 'pt'). 
						FILTER (lang(?comment) = 'pt').} LIMIT 10"
1,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>
						SELECT ?comment ?label WHERE { 
						?entity rdfs:label ?label . 
						?entity dbpedia-owl:abstract ?abstract . 
						?entity rdfs:comment ?comment . 
						?label <bif:contains> 
						 'senado'.
						FILTER (lang(?abstract) = 'pt'). 
						FILTER (lang(?comment) = 'pt').} LIMIT 10"
2,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>
						SELECT ?comment ?label WHERE { 
						?entity rdfs:label ?label . 
						?entity dbpedia-owl:abstract ?abstract . 
						?entity rdfs:comment ?comment . 
						?label ?A 'senado'.
						FILTER (lang(?abstract) = 'pt'). 
						FILTER (lang(?comment) = 'pt').} LIMIT 10"
3,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>
						SELECT ?comment ?label WHERE { 
						?entity rdfs:label ?label . 
						?entity dbpedia-owl:abstract ?abstract . 
						?entity rdfs:comment ?comment . 
						?label <bif:contains> 'reforma política'.
						FILTER (lang(?abstract) = 'pt'). 
						FILTER (lang(?comment) = 'pt').} LIMIT 10"
4,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>
						SELECT ?comment ?label WHERE { 
						?entity rdfs:label ?label . 
						?entity dbpedia-owl:abstract ?abstract . 
						?entity rdfs:comment ?comment . 
						?label <bif:contains> 'reforma politica'.
						FILTER (lang(?abstract) = 'pt'). 
						FILTER (lang(?comment) = 'pt').} LIMIT 10"
5,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>
						SELECT ?comment ?label WHERE { 
						?entity rdfs:label ?label . 
						?entity dbpedia-owl:abstract ?abstract . 
						?entity rdfs:comment ?comment . 
						?label <bif:contains> 'reforma'.
						FILTER (lang(?abstract) = 'pt'). 
						FILTER (lang(?comment) = 'pt').} LIMIT 10"
6,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>
						SELECT ?comment ?label WHERE { 
						?entity rdfs:label ?label . 
						?entity dbpedia-owl:abstract ?abstract . 
						?entity rdfs:comment ?comment . 
						?label <bif:contains> 'democracia'.
						FILTER (lang(?abstract) = 'pt'). 
						FILTER (lang(?comment) = 'pt').} LIMIT 10"
7,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>
						SELECT ?comment ?label WHERE { 
						?entity rdfs:label ?label . 
						?entity dbpedia-owl:abstract ?abstract . 
						?entity rdfs:comment ?comment . 
						?label <bif:contains> 'voto'.
						FILTER (lang(?abstract) = 'pt'). 
						FILTER (lang(?comment) = 'pt').} LIMIT 10"
8,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>
						SELECT ?comment ?label WHERE { 
						?entity rdfs:label ?label . 
						?entity dbpedia-owl:abstract ?abstract . 
						?entity rdfs:comment ?comment . 
						?label <bif:contains> 'eleitoral'.
						FILTER (lang(?abstract) = 'pt'). 
						FILTER (lang(?comment) = 'pt').} LIMIT 10"
9,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>
						SELECT ?comment ?label WHERE { 
						?entity rdfs:label ?label . 
						?entity dbpedia-owl:abstract ?abstract . 
						?entity rdfs:comment ?comment . 
						?label <bif:contains> 'eleição'.
						FILTER (lang(?abstract) = 'pt'). 
						FILTER (lang(?comment) = 'pt').} LIMIT 10"
10,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>
						SELECT ?comment ?label WHERE { 
						?entity rdfs:label ?label . 
						?entity dbpedia-owl:abstract ?abstract . 
						?entity rdfs:comment ?comment . 
						?label <bif:contains> 'eleicao'.
						FILTER (lang(?abstract) = 'pt'). 
						FILTER (lang(?comment) = 'pt').} LIMIT 10"
11,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>
						SELECT ?comment ?label WHERE { 
						?entity rdfs:label ?label . 
						?entity dbpedia-owl:abstract ?abstract . 
						?entity rdfs:comment ?comment . 
						?label <bif:contains> 'mandato'.
						FILTER (lang(?abstract) = 'pt'). 
						FILTER (lang(?comment) = 'pt').} LIMIT 10"
12,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>
						SELECT ?comment ?label WHERE { 
						?entity rdfs:label ?label . 
						?entity dbpedia-owl:abstract ?abstract . 
						?entity rdfs:comment ?comment . 
						?label <bif:contains> 'financiamento campanha'.
						FILTER (lang(?abstract) = 'pt'). 
						FILTER (lang(?comment) = 'pt').} LIMIT 10"
13,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>
						SELECT ?comment ?label WHERE { 
						?entity rdfs:label ?label . 
						?entity dbpedia-owl:abstract ?abstract . 
						?entity rdfs:comment ?comment . 
						?label <bif:contains> '""financiamento campanha'"".
						FILTER (lang(?abstract) = 'pt'). 
						FILTER (lang(?comment) = 'pt').} LIMIT 10"
14,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>
						SELECT ?comment ?label WHERE { 
						?entity rdfs:label ?label . 
						?entity dbpedia-owl:abstract ?abstract . 
						?entity rdfs:comment ?comment . 
						?label <bif:contains> ""\\bfinanciamento campanha\\b"".
						FILTER (lang(?abstract) = 'pt'). 
						FILTER (lang(?comment) = 'pt').} LIMIT 10"
15,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>
						SELECT ?comment ?label WHERE { 
						?entity rdfs:label ?label . 
						?entity dbpedia-owl:abstract ?abstract . 
						?entity rdfs:comment ?comment . 
						?label <bif:contains> ""\\bfinanciamento campanha\\b"".
						FILTER (lang(?abstract) = 'pt'). 
						FILTER (lang(?comment) = 'pt').} LIMIT 10"
16,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>
						SELECT ?comment ?label WHERE { 
						?entity rdfs:label ?label . 
						?entity dbpedia-owl:abstract ?abstract . 
						?entity rdfs:comment ?comment . 
						?label <bif:contains> 'financiamento'.
						FILTER (lang(?abstract) = 'pt'). 
						FILTER (lang(?comment) = 'pt').} LIMIT 10"
17,"PREFIX  rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  dbpedia-owl: <http://dbpedia.org/ontology/>

SELECT  ?comment ?label
WHERE
  { ?entity rdfs:label ?label .
    ?entity dbpedia-owl:abstract ?abstract .
    ?entity rdfs:comment ?comment .
    ?label <bif:contains> ""'tribunal superior'""
    FILTER ( lang(?abstract) = ""pt"" )
    FILTER ( lang(?comment) = ""pt"" )
  }
LIMIT   10
"
18,"PREFIX  rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  dbpedia-owl: <http://dbpedia.org/ontology/>

SELECT  ?comment ?label
WHERE
  { ?entity rdfs:label ?label .
    ?entity dbpedia-owl:abstract ?abstract .
    ?entity rdfs:comment ?comment .
    ?label <bif:contains> ""'financiamento campanha'""
    FILTER ( lang(?abstract) = ""pt"" )
    FILTER ( lang(?comment) = ""pt"" )
  }
LIMIT   10
"
