,query
0,"SELECT distinct ?Category

WHERE {

?s a ?Category

} LIMIT 100"
1,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>        
PREFIX type: <http://dbpedia.org/class/yago/>
PREFIX prop: <http://dbpedia.org/property/>
SELECT ?country_name ?population
WHERE {
    ?country a type:LandlockedCountries ;
             rdfs:label ?country_name ;
             prop:populationEstimate ?population .
    FILTER (?population > 15000000) .
}"
2,select distinct ?Category where {[] a ?Concept} LIMIT 100
3,select distinct ?Category where {[] a ?Category} LIMIT 100
4,"PREFIX dcterms: <http://purl.org/dc/terms/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?categoryUri ?categoryName
WHERE {
  <http://dbpedia.org/resource/Spain> dcterms:subject ?categoryUri.
  ?categoryUri rdfs:label ?categoryName.
  FILTER (lang(?categoryName) = ""en"")
}"
5,"PREFIX dcmiterms: <http://purl.org/dc/terms/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?categoryUri ?categoryName
WHERE {
  <http://dbpedia.org/resource/Spain> dcmiterms:subject ?categoryUri.
  ?categoryUri rdfs:label ?categoryName.
  FILTER (lang(?categoryName) = ""en"")
}"
6,"PREFIX dcmiterms: <http://purl.org/dc/terms/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?categoryName
WHERE {
  ""Boeing-747"" dcmiterms:subject ?categoryUri.
  ?categoryUri rdfs:label ?categoryName.
  FILTER (lang(?categoryName) = ""en"")
}"
7,"PREFIX dcmiterms: <http://purl.org/dc/terms/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?categoryName
WHERE {
  <http://dbpedia.org/resource/Spain> dcmiterms:subject ?categoryUri.

  FILTER (lang(?categoryName) = ""en"")
}"
8,"PREFIX dcmiterms: <http://purl.org/dc/terms/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?categoryName
WHERE {
  <http://dbpedia.org/resource/Spain> dcmiterms:subject ?categoryName.
  FILTER (lang(?categoryName) = ""en"")
}"
9,"PREFIX dcmiterms: <http://purl.org/dc/terms/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?categoryUri ?categoryName
WHERE {
  <http://dbpedia.org/resource/Spain> dcmiterms:subject ?categoryUri.
  ?categoryUri rdfs:label ?categoryName.
  FILTER (lang(?categoryName) = ""en"")
}"
