,query,results,error
0,select distinct ?Concept where {[] a ?Concept} LIMIT 100,100.0,
1,"prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#>
prefix dbpedia: <http://dbpedia.org/resource/>
prefix dbpedia-ont: <http://dbpedia.org/ontology/>
prefix yago: <http://dbpedia.org/class/yago/>
select ?y
where { ?z in (select distinct ?x
where { dbpedia:Margaret_Thatcher ?prop ?x.
 ?x a dbpedia-ont:Person. }).
 ?z a dbpedia-ont:Person.",,HTTP Error 400: Bad Request
2,"prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#>
prefix dbpedia: <http://dbpedia.org/resource/>
prefix dbpedia-ont: <http://dbpedia.org/ontology/>
prefix yago: <http://dbpedia.org/class/yago/>
select ?y
where { ?z in (select distinct ?x
where { dbpedia:Margaret_Thatcher ?prop ?x.
 ?x a dbpedia-ont:Person. }).
 ?z a dbpedia-ont:Person.",,HTTP Error 400: Bad Request
3,"prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#>
prefix dbpedia: <http://dbpedia.org/resource/>
prefix dbpedia-ont: <http://dbpedia.org/ontology/>
select ?prop_name count(distinct ?x)
where { dbpedia:Margaret_Thatcher ?prop ?x. ?prop rdfs:label ?prop_name. ?x a dbpedia-ont:Royalty filter (langMatches(lang(?prop_name), ""en"")). }",2.0,
4,"select ?p
where { ?p a owl:ObjectProperty. ?p rdfs:label ?l. FILTER regex(?l, ""written"",""i""); }",,HTTP Error 400: Bad Request
5,"select ?p
where { ?p a owl:ObjectProperty. ?p rdfs:label ?l. FILTER regex(?l, ""written"",""i""). }",0.0,
6,"select ?p
where { ?p a owl:ObjectProperty. ?p rdfs:label ?l. FILTER regex(?l, ""write"",""i""). }",4.0,
7,"select ?p
where { ?p a owl:ObjectProperty. ?p rdfs:label ?l. FILTER regex(?l, ""write"",""i""). }",4.0,
8,"select ?x
where { ?x a dbpedia-owl:writer. }",,HTTP Error 400: Bad Request
9,"select ?x
where { ?x a dbpedia-owl:Person. }",,HTTP Error 400: Bad Request
10,"select ?x
where { ?x a dbpedia-owl:Person. ?o dbpedia-owl:occupation dbpedia-owl:writer. }",,HTTP Error 400: Bad Request
11,"select ?x
where { ?x a dbpedia-owl:Person. ?x dbpedia-owl:occupation dbpedia-owl:writer. }",,HTTP Error 400: Bad Request
12,"PREFIX dbpo:<http://dbpedia.org/ontology/>
PREFIX type:<http://dbpedia.org/class/yago/>
SELECT DISTINCT ?x
WHERE{
    ?x a dbpedia-owl:person
    }
limit 100;",,HTTP Error 400: Bad Request
13,"PREFIX dbpo:<http://dbpedia.org/ontology/>
PREFIX type:<http://dbpedia.org/class/yago/>
SELECT DISTINCT ?x
WHERE{
    ?x a dbpedia-owl:person
    }
limit 100",,HTTP Error 400: Bad Request
14,"PREFIX dbpo:<http://dbpedia.org/ontology/>
PREFIX type:<http://dbpedia.org/class/yago/>
SELECT DISTINCT ?x
WHERE{
    ?x a dbpedia-owl:Person
    }
limit 100",,HTTP Error 400: Bad Request
15,"PREFIX prop: <http://dbpedia.org/property/>
PREFIX dbp:<http://dbpedia.org/resource/>
PREFIX ont:<http://dbpedia.org/ontology/>
select ?p
where { ?p a ont:Musicien

}LIMIT 50",0.0,
16,"PREFIX prop: <http://dbpedia.org/property/>
PREFIX dbp:<http://dbpedia.org/resource/>
PREFIX ont:<http://dbpedia.org/ontology/>
select ?p
where { ?p a ont:Music

}LIMIT 50",0.0,
17,"PREFIX prop: <http://dbpedia.org/property/>
PREFIX dbp:<http://dbpedia.org/resource/>
PREFIX ont:<http://dbpedia.org/ontology/>
select ?p
where { ?p a prop:Guitarist

}LIMIT 50",0.0,
18,"PREFIX prop: <http://dbpedia.org/property/>
PREFIX dbp:<http://dbpedia.org/resource/>
PREFIX ont:<http://dbpedia.org/ontology/>
select ?p
where { ?p a prop:Guitar

}LIMIT 50",0.0,
19,"PREFIX prop: <http://dbpedia.org/property/>
PREFIX dbp:<http://dbpedia.org/resource/>
PREFIX ont:<http://dbpedia.org/ontology/>
select ?p
where { ?p a prop:music , ?p a ont:Music , ?p a dbp:Music

}LIMIT 50",,HTTP Error 400: Bad Request
20,"PREFIX prop: <http://dbpedia.org/property/>
PREFIX dbp:<http://dbpedia.org/resource/>
PREFIX ont:<http://dbpedia.org/ontology/>
select ?p
where { ?p a prop:music  ?p a ont:Music  ?p a dbp:Music

}LIMIT 50",,HTTP Error 400: Bad Request
21,"PREFIX dbpo:<http://dbpedia.org/ontology/>
PREFIX type:<http://dbpedia.org/class/yago/>
SELECT DISTINCT ?x
WHERE{
     ?y dbpedia-owl:occupation
    
    }
limit 100",,HTTP Error 400: Bad Request
22,"PREFIX dbpo:<http://dbpedia.org/ontology/>
PREFIX type:<http://dbpedia.org/class/yago/>
SELECT DISTINCT ?x
WHERE{
    ?x a dbpedia-owl:person
    }
limit 100",,HTTP Error 400: Bad Request
23,"PREFIX dbpo:<http://dbpedia.org/ontology/>
PREFIX type:<http://dbpedia.org/class/yago/>
SELECT DISTINCT ?x
WHERE{
    ?x a dbpedia-owl:Person
    }
limit 100",,HTTP Error 400: Bad Request
24,"PREFIX dbpo:<http://dbpedia.org/ontology/>
PREFIX type:<http://dbpedia.org/class/yago/>
SELECT DISTINCT ?x
WHERE{
    ?x a dbpedia-owl:Occupation
    }
limit 100",,HTTP Error 400: Bad Request
25,"PREFIX dbpo:<http://dbpedia.org/ontology/>
PREFIX type:<http://dbpedia.org/class/yago/>
SELECT DISTINCT ?x
WHERE{
    ?x a dbpedia-owl:Profession
    }
limit 100",,HTTP Error 400: Bad Request
26,"PREFIX dbpo:<http://dbpedia.org/ontology/>
PREFIX type:<http://dbpedia.org/class/yago/>
SELECT DISTINCT ?x
WHERE{
    ?x a dbpedia-owl:profession
    }
limit 100",,HTTP Error 400: Bad Request
27,"PREFIX dbpo:<http://dbpedia.org/ontology/>
PREFIX type:<http://dbpedia.org/class/yago/>
SELECT DISTINCT ?x
WHERE{
    ?x a dbpedia:profession
    }
limit 100",,HTTP Error 400: Bad Request
28,"PREFIX dbpo:<http://dbpedia.org/ontology/>
PREFIX type:<http://dbpedia.org/class/yago/>
SELECT DISTINCT ?x
WHERE{
    ?x a dbpedia:Profession
    }
limit 100",,HTTP Error 400: Bad Request
29,"PREFIX prop: <http://dbpedia.org/property/>
PREFIX dbp:<http://dbpedia.org/resource/>
PREFIX ont:<http://dbpedia.org/ontology/>
select ?p
where { ?p a ont:musicalArtist 

}LIMIT 50",0.0,
30,"PREFIX prop: <http://dbpedia.org/property/>
PREFIX dbp:<http://dbpedia.org/resource/>
PREFIX ont:<http://dbpedia.org/ontology/>
select ?p
where { ?p a ont:MusicalArtist 

}LIMIT 50",50.0,
31,"PREFIX dbpo:<http://dbpedia.org/ontology/>
PREFIX type:<http://dbpedia.org/class/yago/>
SELECT DISTINCT ?x
WHERE{
    ?x a dbpedia-owl:Person;
     rdfs:label?occupation. 
     }
LIMIT 100",,HTTP Error 400: Bad Request
32,"PREFIX prop: <http://dbpedia.org/property/>
PREFIX dbp:<http://dbpedia.org/resource/>
PREFIX ont:<http://dbpedia.org/ontology/>
PREFIX pers:<http://dbpedia.org/Person/>
select ?p
where { ?p a ont:MusicalArtist ?p ont:Guitar

}LIMIT 50",,HTTP Error 400: Bad Request
33,"PREFIX dbpo:<http://dbpedia.org/ontology/>
PREFIX type:<http://dbpedia.org/class/yago/>
SELECT DISTINCT ?x
WHERE{
    ?x a dbpedia-owl:Person;
     rdfs:label?occupation;
     prop:occupation?guitarist.
     }
LIMIT 100",,HTTP Error 400: Bad Request
34,"PREFIX prop: <http://dbpedia.org/property/>
PREFIX dbp:<http://dbpedia.org/resource/>
PREFIX ont:<http://dbpedia.org/ontology/>
PREFIX pers:<http://dbpedia.org/Person/>
select ?p
where { ?p a ont:MusicalArtist ?p ont:Guitar

}LIMIT 50",,HTTP Error 400: Bad Request
35,"PREFIX dbpo:<http://dbpedia.org/ontology/>
PREFIX type:<http://dbpedia.org/class/yago/>
SELECT DISTINCT ?x
WHERE{
    ?x a dbpedia-owl:Person;
     rdfs:label?occupation;
     prop:occupation?guitarist.
     }
LIMIT 100",,HTTP Error 400: Bad Request
36,"PREFIX prop: <http://dbpedia.org/property/>
PREFIX dbp:<http://dbpedia.org/resource/>
PREFIX ont:<http://dbpedia.org/ontology/>
PREFIX pers:<http://dbpedia.org/Person/>
select ?p
where { ?p a ont:MusicalArtist .?p ont:Guitar

}LIMIT 50",,HTTP Error 400: Bad Request
37,"PREFIX prop: <http://dbpedia.org/property/>
PREFIX dbp:<http://dbpedia.org/resource/>
PREFIX ont:<http://dbpedia.org/ontology/>
PREFIX pers:<http://dbpedia.org/Person/>
select ?p
where { ?p a ont:MusicalArtist .?p a ont:Guitar

}LIMIT 50",0.0,
38,"PREFIX dbpo:<http://dbpedia.org/ontology/>
PREFIX type:<http://dbpedia.org/class/yago/>
PREFIX prop:<http://dbpedia.org/property/>
SELECT DISTINCT ?x
WHERE{
    ?x a dbpedia-owl:Person;
     rdfs:label?occupation;
     prop:occupation?guitarist.
     }
LIMIT 100",,HTTP Error 400: Bad Request
39,"select ?Guitariste
where {
   ?Guitariste a dbpedia-owl:Guitariste
} LIMIT 100",,HTTP Error 400: Bad Request
40,"select ?Guitariste
where {
   ?Guitariste dbpedia-owl:Guitariste
} LIMIT 100",,HTTP Error 400: Bad Request
41,"PREFIX prop: <http://dbpedia.org/property/>
PREFIX dbp:<http://dbpedia.org/resource/>
PREFIX ont:<http://dbpedia.org/ontology/>
PREFIX pers:<http://dbpedia.org/Person/>
select ?p  ?c
where { ?p a ont:MusicalArtist .?p a dbpedia-owl:birthPlace ?c Boston

}LIMIT 50",,HTTP Error 400: Bad Request
42,"select ?Guitariste
where {
   ?Guitariste a dbpedia-owl:Person
} LIMIT 100",,HTTP Error 400: Bad Request
43,"PREFIX prop: <http://dbpedia.org/property/>
PREFIX dbp:<http://dbpedia.org/resource/>
PREFIX ont:<http://dbpedia.org/ontology/>
PREFIX pers:<http://dbpedia.org/Person/>
select ?p  ?c
where { ?p a ont:MusicalArtist .?p a dbpedia-owl:birthPlace ?c 

}LIMIT 50",,HTTP Error 400: Bad Request
44,"PREFIX prop: <http://dbpedia.org/property/>
PREFIX dbp:<http://dbpedia.org/resource/>
PREFIX ont:<http://dbpedia.org/ontology/>
PREFIX pers:<http://dbpedia.org/Person/>
select ?p  ?c
where { ?p a ont:MusicalArtist .?p a dbpedia-owl:birthPlace ?c 

}LIMIT 50",,HTTP Error 400: Bad Request
45,"select ?Guitariste
where {
   ?Guitariste a dbpedia-owl:Person
   ?Guitariste a dbpedia-owl:Guitarist
} LIMIT 100",,HTTP Error 400: Bad Request
46,"PREFIX prop: <http://dbpedia.org/property/>
PREFIX dbp:<http://dbpedia.org/resource/>
PREFIX ont:<http://dbpedia.org/ontology/>
PREFIX pers:<http://dbpedia.org/Person/>
select ?p  ?c
where { ?p a ont:MusicalArtist .?p a dbpedia-owl:birthPlace 

}
LIMIT 50",,HTTP Error 400: Bad Request
47,"PREFIX prop: <http://dbpedia.org/property/>
PREFIX dbp:<http://dbpedia.org/resource/>
PREFIX ont:<http://dbpedia.org/ontology/>
PREFIX pers:<http://dbpedia.org/Person/>
select ?p  
where { ?p a ont:MusicalArtist .?p a dbpedia-owl:birthPlace 

}
LIMIT 50",,HTTP Error 400: Bad Request
