,query
0,"select (str(?desc)) ?thumbnail where {<http://dbpedia.org/resource/Vladimir_Putin> <http://www.w3.org/2000/01/rdf-schema#comment> ?desc . <http://dbpedia.org/resource/Vladimir_Putin> <http://dbpedia.org/ontology/thumbnail> ?thumbnail FILTER (langMatches(lang(?desc),""en""))} "
1,"select (str(?desc)) ?thumbnail where {<http://dbpedia.org/resource/Nimrod> <http://www.w3.org/2000/01/rdf-schema#comment> ?desc . <http://dbpedia.org/resource/Nimrod> <http://dbpedia.org/ontology/thumbnail> ?thumbnail FILTER (langMatches(lang(?desc),""en""))} "
2,"select (str(?desc)) ?thumbnail where {<http://dbpedia.org/resource/Barack_Obama> <http://www.w3.org/2000/01/rdf-schema#comment> ?desc . <http://dbpedia.org/resource/Barack_Obama> <http://dbpedia.org/ontology/thumbnail> ?thumbnail FILTER (langMatches(lang(?desc),""en""))} "
3,"select (str(?desc)) ?thumbnail where {<http://dbpedia.org/resource/Bashar_al-Assad> <http://www.w3.org/2000/01/rdf-schema#comment> ?desc . <http://dbpedia.org/resource/Bashar_al-Assad> <http://dbpedia.org/ontology/thumbnail> ?thumbnail FILTER (langMatches(lang(?desc),""en""))} "
4,"select (str(?desc)) ?thumbnail where {<http://dbpedia.org/resource/Muhammad> <http://www.w3.org/2000/01/rdf-schema#comment> ?desc . <http://dbpedia.org/resource/Muhammad> <http://dbpedia.org/ontology/thumbnail> ?thumbnail FILTER (langMatches(lang(?desc),""en""))} "
5,"select (str(?desc)) ?thumbnail where {<http://dbpedia.org/resource/Nimrod> <http://www.w3.org/2000/01/rdf-schema#comment> ?desc . <http://dbpedia.org/resource/Nimrod> <http://dbpedia.org/ontology/thumbnail> ?thumbnail FILTER (langMatches(lang(?desc),""en""))} "
6,"select (str(?desc)) ?thumbnail where {<http://dbpedia.org/resource/Vladimir_Putin> <http://www.w3.org/2000/01/rdf-schema#comment> ?desc . <http://dbpedia.org/resource/Vladimir_Putin> <http://dbpedia.org/ontology/thumbnail> ?thumbnail FILTER (langMatches(lang(?desc),""en""))} "
7,"select (str(?desc)) ?thumbnail where {<http://dbpedia.org/resource/Muhammad> <http://www.w3.org/2000/01/rdf-schema#comment> ?desc . <http://dbpedia.org/resource/Muhammad> <http://dbpedia.org/ontology/thumbnail> ?thumbnail FILTER (langMatches(lang(?desc),""en""))} "
8,"select (str(?desc)) ?thumbnail where {<http://dbpedia.org/resource/Bashar_al-Assad> <http://www.w3.org/2000/01/rdf-schema#comment> ?desc . <http://dbpedia.org/resource/Bashar_al-Assad> <http://dbpedia.org/ontology/thumbnail> ?thumbnail FILTER (langMatches(lang(?desc),""en""))} "
9,"select (str(?desc)) ?thumbnail where {<http://dbpedia.org/resource/Barack_Obama> <http://www.w3.org/2000/01/rdf-schema#comment> ?desc . <http://dbpedia.org/resource/Barack_Obama> <http://dbpedia.org/ontology/thumbnail> ?thumbnail FILTER (langMatches(lang(?desc),""en""))} "
10,"select (str(?desc)) ?thumbnail where {OPTIONAL { <http://dbpedia.org/resource/Barack_Obama> <http://www.w3.org/2000/01/rdf-schema#comment> ?desc . } OPTIONAL { <http://dbpedia.org/resource/Barack_Obama> <http://dbpedia.org/ontology/thumbnail> ?thumbnail } FILTER (langMatches(lang(?desc),""en""))} "
11,"select (str(?desc)) ?thumbnail where {OPTIONAL { <http://dbpedia.org/resource/Bashar_al-Assad> <http://www.w3.org/2000/01/rdf-schema#comment> ?desc . } OPTIONAL { <http://dbpedia.org/resource/Bashar_al-Assad> <http://dbpedia.org/ontology/thumbnail> ?thumbnail } FILTER (langMatches(lang(?desc),""en""))} "
12,"select (str(?desc)) ?thumbnail where {OPTIONAL { <http://dbpedia.org/resource/Muhammad> <http://www.w3.org/2000/01/rdf-schema#comment> ?desc . } OPTIONAL { <http://dbpedia.org/resource/Muhammad> <http://dbpedia.org/ontology/thumbnail> ?thumbnail } FILTER (langMatches(lang(?desc),""en""))} "
