,query
0,"PREFIX ont: <http://dbpedia.org/ontology/> 
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
 
SELECT ?name ?alma WHERE { 
  ?agent ont:almaMater ?alma;
    foaf:name ?name . 
  FILTER (
    ?alma = ""Gadjah_Mada_University"".
  )
}
LIMIT 10"
1,"PREFIX ont: <http://dbpedia.org/ontology/> 
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
 
SELECT ?name ?alma WHERE { 
  ?agent ont:almaMater ?alma;
    foaf:name ?name . 
  FILTER (
    ?alma = ""Gadjah_Mada_University""
  )
}
LIMIT 10"
2,"PREFIX ont: <http://dbpedia.org/ontology/> 
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
 
SELECT ?name ?alma WHERE { 
  ?agent ont:almaMater ?alma;
    foaf:name ?name . 
  FILTER (
    ?alma = ""Gadjah_Mada_University""
  )
}"
3,"PREFIX ont: <http://dbpedia.org/ontology/> 
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
 
SELECT ?name ?alma ?party 
WHERE { 
  ?agent ont:almaMater ?alma;
  ?agent ont:party ?party;
    foaf:name ?name . 
}"
4,"PREFIX ont: <http://dbpedia.org/ontology/> 
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
 
SELECT ?name ?alma ?p 
WHERE { 
  ?agent ont:almaMater ?alma;
  ?agent ont:party ?p;
    foaf:name ?name . 
}"
5,"PREFIX ont: <http://dbpedia.org/ontology/> 
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
 
SELECT ?name ?alma  
WHERE { 
  ?agent ont:almaMater ?alma;
  ?agent ont:party ?p;
    foaf:name ?name . 
}"
6,"PREFIX ont: <http://dbpedia.org/ontology/> 
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
 
SELECT ?name ?alma  
WHERE { 
  ?person ont:almaMater ?alma;
  ?person ont:party ?p;
    foaf:name ?name . 
}"
7,"PREFIX ont: <http://dbpedia.org/ontology/> 
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
 
SELECT ?name ?alma ?p 
WHERE { 
  ?person ont:almaMater ?alma;
  ?person ont:party ?p;
    foaf:name ?name . 
}"
8,"PREFIX ont: <http://dbpedia.org/ontology/> 
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
 
SELECT ?name ?alma ?part 
WHERE { 
  ?person ont:almaMater ?alma;
  ?person ont:party ?part;
    foaf:name ?name . 
}"
9,"PREFIX ont: <http://dbpedia.org/ontology/> 
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
 
SELECT ?name ?alma ?partai 
WHERE { 
  ?person ont:almaMater ?alma;
  ?person ont:party ?partai;
    foaf:name ?name . 
}"
