,query
0,select distinct ?Concept where {[] a ?Concept} LIMIT 100
1,"prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#>
prefix dbpedia: <http://dbpedia.org/resource/>
prefix dbpedia-ont: <http://dbpedia.org/ontology/>
prefix yago: <http://dbpedia.org/class/yago/>
select ?y
where { ?z in (select distinct ?x
where { dbpedia:Margaret_Thatcher ?prop ?x.
 ?x a dbpedia-ont:Person. }).
 ?z a dbpedia-ont:Person."
2,"prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#>
prefix dbpedia: <http://dbpedia.org/resource/>
prefix dbpedia-ont: <http://dbpedia.org/ontology/>
prefix yago: <http://dbpedia.org/class/yago/>
select ?y
where { ?z in (select distinct ?x
where { dbpedia:Margaret_Thatcher ?prop ?x.
 ?x a dbpedia-ont:Person. }).
 ?z a dbpedia-ont:Person."
3,"prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#>
prefix dbpedia: <http://dbpedia.org/resource/>
prefix dbpedia-ont: <http://dbpedia.org/ontology/>
select ?prop_name count(distinct ?x)
where { dbpedia:Margaret_Thatcher ?prop ?x. ?prop rdfs:label ?prop_name. ?x a dbpedia-ont:Royalty filter (langMatches(lang(?prop_name), ""en"")). }"
4,"select ?p
where { ?p a owl:ObjectProperty. ?p rdfs:label ?l. FILTER regex(?l, ""written"",""i""); }"
5,"select ?p
where { ?p a owl:ObjectProperty. ?p rdfs:label ?l. FILTER regex(?l, ""written"",""i""). }"
6,"select ?p
where { ?p a owl:ObjectProperty. ?p rdfs:label ?l. FILTER regex(?l, ""write"",""i""). }"
7,"select ?p
where { ?p a owl:ObjectProperty. ?p rdfs:label ?l. FILTER regex(?l, ""write"",""i""). }"
8,"select ?x
where { ?x a dbpedia-owl:writer. }"
9,"select ?x
where { ?x a dbpedia-owl:Person. }"
10,"select ?x
where { ?x a dbpedia-owl:Person. ?o dbpedia-owl:occupation dbpedia-owl:writer. }"
11,"select ?x
where { ?x a dbpedia-owl:Person. ?x dbpedia-owl:occupation dbpedia-owl:writer. }"
12,"PREFIX dbpo:<http://dbpedia.org/ontology/>
PREFIX type:<http://dbpedia.org/class/yago/>
SELECT DISTINCT ?x
WHERE{
    ?x a dbpedia-owl:person
    }
limit 100;"
13,"PREFIX dbpo:<http://dbpedia.org/ontology/>
PREFIX type:<http://dbpedia.org/class/yago/>
SELECT DISTINCT ?x
WHERE{
    ?x a dbpedia-owl:person
    }
limit 100"
14,"PREFIX dbpo:<http://dbpedia.org/ontology/>
PREFIX type:<http://dbpedia.org/class/yago/>
SELECT DISTINCT ?x
WHERE{
    ?x a dbpedia-owl:Person
    }
limit 100"
15,"PREFIX prop: <http://dbpedia.org/property/>
PREFIX dbp:<http://dbpedia.org/resource/>
PREFIX ont:<http://dbpedia.org/ontology/>
select ?p
where { ?p a ont:Musicien

}LIMIT 50"
16,"PREFIX prop: <http://dbpedia.org/property/>
PREFIX dbp:<http://dbpedia.org/resource/>
PREFIX ont:<http://dbpedia.org/ontology/>
select ?p
where { ?p a ont:Music

}LIMIT 50"
17,"PREFIX prop: <http://dbpedia.org/property/>
PREFIX dbp:<http://dbpedia.org/resource/>
PREFIX ont:<http://dbpedia.org/ontology/>
select ?p
where { ?p a prop:Guitarist

}LIMIT 50"
18,"PREFIX prop: <http://dbpedia.org/property/>
PREFIX dbp:<http://dbpedia.org/resource/>
PREFIX ont:<http://dbpedia.org/ontology/>
select ?p
where { ?p a prop:Guitar

}LIMIT 50"
19,"PREFIX prop: <http://dbpedia.org/property/>
PREFIX dbp:<http://dbpedia.org/resource/>
PREFIX ont:<http://dbpedia.org/ontology/>
select ?p
where { ?p a prop:music , ?p a ont:Music , ?p a dbp:Music

}LIMIT 50"
20,"PREFIX prop: <http://dbpedia.org/property/>
PREFIX dbp:<http://dbpedia.org/resource/>
PREFIX ont:<http://dbpedia.org/ontology/>
select ?p
where { ?p a prop:music  ?p a ont:Music  ?p a dbp:Music

}LIMIT 50"
21,"PREFIX dbpo:<http://dbpedia.org/ontology/>
PREFIX type:<http://dbpedia.org/class/yago/>
SELECT DISTINCT ?x
WHERE{
     ?y dbpedia-owl:occupation
    
    }
limit 100"
22,"PREFIX dbpo:<http://dbpedia.org/ontology/>
PREFIX type:<http://dbpedia.org/class/yago/>
SELECT DISTINCT ?x
WHERE{
    ?x a dbpedia-owl:person
    }
limit 100"
23,"PREFIX dbpo:<http://dbpedia.org/ontology/>
PREFIX type:<http://dbpedia.org/class/yago/>
SELECT DISTINCT ?x
WHERE{
    ?x a dbpedia-owl:Person
    }
limit 100"
24,"PREFIX dbpo:<http://dbpedia.org/ontology/>
PREFIX type:<http://dbpedia.org/class/yago/>
SELECT DISTINCT ?x
WHERE{
    ?x a dbpedia-owl:Occupation
    }
limit 100"
25,"PREFIX dbpo:<http://dbpedia.org/ontology/>
PREFIX type:<http://dbpedia.org/class/yago/>
SELECT DISTINCT ?x
WHERE{
    ?x a dbpedia-owl:Profession
    }
limit 100"
26,"PREFIX dbpo:<http://dbpedia.org/ontology/>
PREFIX type:<http://dbpedia.org/class/yago/>
SELECT DISTINCT ?x
WHERE{
    ?x a dbpedia-owl:profession
    }
limit 100"
27,"PREFIX dbpo:<http://dbpedia.org/ontology/>
PREFIX type:<http://dbpedia.org/class/yago/>
SELECT DISTINCT ?x
WHERE{
    ?x a dbpedia:profession
    }
limit 100"
28,"PREFIX dbpo:<http://dbpedia.org/ontology/>
PREFIX type:<http://dbpedia.org/class/yago/>
SELECT DISTINCT ?x
WHERE{
    ?x a dbpedia:Profession
    }
limit 100"
29,"PREFIX prop: <http://dbpedia.org/property/>
PREFIX dbp:<http://dbpedia.org/resource/>
PREFIX ont:<http://dbpedia.org/ontology/>
select ?p
where { ?p a ont:musicalArtist 

}LIMIT 50"
30,"PREFIX prop: <http://dbpedia.org/property/>
PREFIX dbp:<http://dbpedia.org/resource/>
PREFIX ont:<http://dbpedia.org/ontology/>
select ?p
where { ?p a ont:MusicalArtist 

}LIMIT 50"
31,"PREFIX dbpo:<http://dbpedia.org/ontology/>
PREFIX type:<http://dbpedia.org/class/yago/>
SELECT DISTINCT ?x
WHERE{
    ?x a dbpedia-owl:Person;
     rdfs:label?occupation. 
     }
LIMIT 100"
32,"PREFIX prop: <http://dbpedia.org/property/>
PREFIX dbp:<http://dbpedia.org/resource/>
PREFIX ont:<http://dbpedia.org/ontology/>
PREFIX pers:<http://dbpedia.org/Person/>
select ?p
where { ?p a ont:MusicalArtist ?p ont:Guitar

}LIMIT 50"
33,"PREFIX dbpo:<http://dbpedia.org/ontology/>
PREFIX type:<http://dbpedia.org/class/yago/>
SELECT DISTINCT ?x
WHERE{
    ?x a dbpedia-owl:Person;
     rdfs:label?occupation;
     prop:occupation?guitarist.
     }
LIMIT 100"
