,query
0,"PREFIX dbpedia:Woody_Allen <http://dbpedia.org/resource/Woody_Allen>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX dbpedia-owl: <http://www.w3.org/2002/07/owl#>
select dbpedia-owl:birthName from dbpedia:Woody_Allen"
1,"PREFIX dbpedia <http://dbpedia.org/resource/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX dbpedia-owl: <http://www.w3.org/2002/07/owl#>
select dbpedia-owl:birthName from dbpedia:Woody_Allen"
2,"PREFIX dbpedia:Woody_Allen <http://dbpedia.org/resource/Woody_Allen>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX dbpedia-owl: <http://www.w3.org/2002/07/owl#>
select dbpedia-owl:birthName from dbpedia:Woody_Allen"
3,"PREFIX dbpedia <http://dbpedia.org/resource/Woody_Allen>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX dbpedia-owl: <http://www.w3.org/2002/07/owl#>
select dbpedia-owl:birthName from dbpedia"
4,"PREFIX dbpedia <http://dbpedia.org/resource/Woody_Allen>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX dbpedia-owl: <http://www.w3.org/2002/07/owl#>
select ?x where { ?x rdf:type dbpedia-owl:birthName}"
5,"PREFIX dbpedia <http://dbpedia.org/resource/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX dbpedia-owl: <http://www.w3.org/2002/07/owl#>
select ?x where { ?x rdf:type dbpedia-owl:birthName}"
6,"    PREFIX category: <http://dbpedia.org/resource/Category:>
    PREFIX dcterms: <http://purl.org/dc/terms/>
    
    SELECT *
    WHERE {
      ?s dcterms:subject category:American_physicists .
    }"
7,"PREFIX dbpedia: <http://dbpedia.org/resource/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX dbpedia-owl: <http://www.w3.org/2002/07/owl#>
select ?x where { ?x rdf:type dbpedia-owl:birthName}"
8,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX dbpedia-owl: <http://www.w3.org/2002/07/owl#>
select ?x where { ?x rdf:type dbpedia-owl:birthName}"
9,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX dbpedia-owl: <http://www.w3.org/2002/07/owl#>
select ?x where { ?x rdf:type dbpedia-owl:birthName. }"
10,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX dbpedia-owl: <http://www.w3.org/2002/07/owl#>
select * from dbpedia."
11,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX dbpedia-owl: <http://www.w3.org/2002/07/owl#>
select * ."
12,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX dbpedia-owl: <http://www.w3.org/2002/07/owl#>
select ?x where { ?x dbpedia. }"
13,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX dbpedia-owl: <http://www.w3.org/2002/07/owl#>
select ?x where { ?x dbpedia-owl:birthName. }"
14,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX dbpedia-owl: <http://www.w3.org/2002/07/owl#>
select ?x where { ?x a dbpedia-owl:birthName. }"
15,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX dbpedia-owl: <http://www.w3.org/2002/07/owl#>
select ?x where { ?x a dbpedia-owl:birthName. }from dbpedia."
16,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX dbpedia-owl: <http://www.w3.org/2002/07/owl#>
select ?x where { ?x a owl:DatatypeProperty. }"
17,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX dbpedia-owl: <http://www.w3.org/2002/07/owl#>
select ?x where { ?x a owl:DatatypeProperty. }"
18,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX dbpedia-owl: <http://www.w3.org/2002/07/owl#>
select ?dbpedia-owl:birthname where { ?x a owl:DatatypeProperty. }"
19,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX dbpedia-owl: <http://www.w3.org/2002/07/owl#>
select ?x where { ?x a dbpedia-owl:birthname . }"
