,query
0,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 11.454561352729795 AND ?lng < 11.46273672580719 AND ?lat > 42.373866870233456 AND ?lat < 42.37576909706712) AND  LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
1,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 11.453654766082763 AND ?lng < 11.470005512237548 AND ?lat > 42.373248634106936 AND ?lat < 42.37705306760827) AND  !(?lng > 11.454561352729795 AND ?lng < 11.46273672580719 AND ?lat > 42.373866870233456 AND ?lat < 42.37576909706712) AND  LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
2,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 11.451852321624754 AND ?lng < 11.484553813934326 AND ?lat > 42.371988364694396 AND ?lat < 42.37959715391357) AND  !(?lng > 11.454561352729795 AND ?lng < 11.46273672580719 AND ?lat > 42.373866870233456 AND ?lat < 42.37576909706712) AND  !(?lng > 11.453654766082763 AND ?lng < 11.470005512237548 AND ?lat > 42.373248634106936 AND ?lat < 42.37705306760827) AND  LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
3,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 11.448225975036621 AND ?lng < 11.513628959655761 AND ?lat > 42.369483603243694 AND ?lat < 42.384700866703) AND  !(?lng > 11.454561352729795 AND ?lng < 11.46273672580719 AND ?lat > 42.373866870233456 AND ?lat < 42.37576909706712) AND  !(?lng > 11.453654766082763 AND ?lng < 11.470005512237548 AND ?lat > 42.373248634106936 AND ?lat < 42.37705306760827) AND  !(?lng > 11.451852321624754 AND ?lng < 11.484553813934326 AND ?lat > 42.371988364694396 AND ?lat < 42.37959715391357) AND  LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
4,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 11.430501937866211 AND ?lng < 11.561307907104492 AND ?lat > 42.35518235614535 AND ?lat < 42.38562012491264) AND  !(?lng > 11.454561352729795 AND ?lng < 11.46273672580719 AND ?lat > 42.373866870233456 AND ?lat < 42.37576909706712) AND  !(?lng > 11.453654766082763 AND ?lng < 11.470005512237548 AND ?lat > 42.373248634106936 AND ?lat < 42.37705306760827) AND  !(?lng > 11.451852321624754 AND ?lng < 11.484553813934326 AND ?lat > 42.371988364694396 AND ?lat < 42.37959715391357) AND  !(?lng > 11.448225975036621 AND ?lng < 11.513628959655761 AND ?lat > 42.369483603243694 AND ?lat < 42.384700866703) AND  LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
5,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 11.456186771392822 AND ?lng < 11.472537517547607 AND ?lat > 42.37381931382441 AND ?lat < 42.377623712755614) AND  LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
6,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 11.458353996276855 AND ?lng < 11.466529369354248 AND ?lat > 42.37448113728055 AND ?lat < 42.37638334550878) AND  !(?lng > 11.456186771392822 AND ?lng < 11.472537517547607 AND ?lat > 42.37381931382441 AND ?lat < 42.377623712755614) AND  LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
7,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 11.456186771392822 AND ?lng < 11.472537517547607 AND ?lat > 42.37381931382441 AND ?lat < 42.377623712755614) AND  !(?lng > 11.456186771392822 AND ?lng < 11.472537517547607 AND ?lat > 42.37381931382441 AND ?lat < 42.377623712755614) AND  !(?lng > 11.458353996276855 AND ?lng < 11.466529369354248 AND ?lat > 42.37448113728055 AND ?lat < 42.37638334550878) AND  LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
8,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 11.443161964416504 AND ?lng < 11.508564949035644 AND ?lat > 42.369832373481984 AND ?lat < 42.38504955243599) AND  !(?lng > 11.456186771392822 AND ?lng < 11.472537517547607 AND ?lat > 42.37381931382441 AND ?lat < 42.377623712755614) AND  !(?lng > 11.458353996276855 AND ?lng < 11.466529369354248 AND ?lat > 42.37448113728055 AND ?lat < 42.37638334550878) AND  !(?lng > 11.456186771392822 AND ?lng < 11.472537517547607 AND ?lat > 42.37381931382441 AND ?lat < 42.377623712755614) AND  LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
9,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 11.42578125 AND ?lng < 11.55658721923828 AND ?lat > 42.36450548968691 AND ?lat < 42.39493874129419) AND  !(?lng > 11.456186771392822 AND ?lng < 11.472537517547607 AND ?lat > 42.37381931382441 AND ?lat < 42.377623712755614) AND  !(?lng > 11.458353996276855 AND ?lng < 11.466529369354248 AND ?lat > 42.37448113728055 AND ?lat < 42.37638334550878) AND  !(?lng > 11.456186771392822 AND ?lng < 11.472537517547607 AND ?lat > 42.37381931382441 AND ?lat < 42.377623712755614) AND  !(?lng > 11.443161964416504 AND ?lng < 11.508564949035644 AND ?lat > 42.369832373481984 AND ?lat < 42.38504955243599) AND  LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
