,query
0,select ?thumbnail where {<http://dbpedia.org/resource/Apple_Inc.> dbpedia-owl:thumbnail ?thumbnail} limit 1
1,select ?thumbnail where {<http://dbpedia.org/resource/CNET> dbpedia-owl:thumbnail ?thumbnail} limit 1
2,select ?thumbnail where {<http://dbpedia.org/resource/Amazon> dbpedia-owl:thumbnail ?thumbnail} limit 1
3,select ?thumbnail where {<http://dbpedia.org/resource/IDC> dbpedia-owl:thumbnail ?thumbnail} limit 1
4,select ?thumbnail where {<http://dbpedia.org/resource/ECB> dbpedia-owl:thumbnail ?thumbnail} limit 1
5,select ?thumbnail where {<http://dbpedia.org/resource/Bloomberg> dbpedia-owl:thumbnail ?thumbnail} limit 1
6,select ?thumbnail where {<http://dbpedia.org/resource/EC> dbpedia-owl:thumbnail ?thumbnail} limit 1
7,select ?thumbnail where {<http://dbpedia.org/resource/Sharp> dbpedia-owl:thumbnail ?thumbnail} limit 1
8,select ?thumbnail where {<http://dbpedia.org/resource/Citigroup> dbpedia-owl:thumbnail ?thumbnail} limit 1
9,select ?thumbnail where {<http://dbpedia.org/resource/Department_of_Justice> dbpedia-owl:thumbnail ?thumbnail} limit 1
10,select ?thumbnail where {<http://dbpedia.org/resource/Twitter> dbpedia-owl:thumbnail ?thumbnail} limit 1
11,select ?thumbnail where {<http://dbpedia.org/resource/Democratic_Party> dbpedia-owl:thumbnail ?thumbnail} limit 1
12,select ?thumbnail where {<http://dbpedia.org/resource/Republican_Party> dbpedia-owl:thumbnail ?thumbnail} limit 1
13,select ?thumbnail where {<http://dbpedia.org/resource/Mobile> dbpedia-owl:thumbnail ?thumbnail} limit 1
14,select ?thumbnail where {<http://dbpedia.org/resource/City_council> dbpedia-owl:thumbnail ?thumbnail} limit 1
15,select ?thumbnail where {<http://dbpedia.org/resource/Columbia> dbpedia-owl:thumbnail ?thumbnail} limit 1
16,select ?thumbnail where {<http://dbpedia.org/resource/Canon> dbpedia-owl:thumbnail ?thumbnail} limit 1
17,select ?thumbnail where {<http://dbpedia.org/resource/Universal> dbpedia-owl:thumbnail ?thumbnail} limit 1
18,select ?thumbnail where {<http://dbpedia.org/resource/Sprint> dbpedia-owl:thumbnail ?thumbnail} limit 1
19,select ?thumbnail where {<http://dbpedia.org/resource/Orange> dbpedia-owl:thumbnail ?thumbnail} limit 1
20,select ?thumbnail where {<http://dbpedia.org/resource/Virgin> dbpedia-owl:thumbnail ?thumbnail} limit 1
21,select ?thumbnail where {<http://dbpedia.org/resource/Washington> dbpedia-owl:thumbnail ?thumbnail} limit 1
22,select ?thumbnail where {<http://dbpedia.org/resource/Kumar> dbpedia-owl:thumbnail ?thumbnail} limit 1
23,select ?thumbnail where {<http://dbpedia.org/resource/SEC> dbpedia-owl:thumbnail ?thumbnail} limit 1
24,select ?thumbnail where {<http://dbpedia.org/resource/Federal_Bureau_of_Investigation> dbpedia-owl:thumbnail ?thumbnail} limit 1
25,select ?thumbnail where {<http://dbpedia.org/resource/Access> dbpedia-owl:thumbnail ?thumbnail} limit 1
26,select ?thumbnail where {<http://dbpedia.org/resource/EBay> dbpedia-owl:thumbnail ?thumbnail} limit 1
27,select ?thumbnail where {<http://dbpedia.org/resource/Redmond> dbpedia-owl:thumbnail ?thumbnail} limit 1
28,select ?thumbnail where {<http://dbpedia.org/resource/ABC_News> dbpedia-owl:thumbnail ?thumbnail} limit 1
29,select ?thumbnail where {<http://dbpedia.org/resource/Britain> dbpedia-owl:thumbnail ?thumbnail} limit 1
30,select ?thumbnail where {<http://dbpedia.org/resource/Anthony_Blair_(criminal)> dbpedia-owl:thumbnail ?thumbnail} limit 1
31,select ?thumbnail where {<http://dbpedia.org/resource/NHS> dbpedia-owl:thumbnail ?thumbnail} limit 1
32,select ?thumbnail where {<http://dbpedia.org/resource/ECB> dbpedia-owl:thumbnail ?thumbnail} limit 1
33,select ?thumbnail where {<http://dbpedia.org/resource/Chrysler> dbpedia-owl:thumbnail ?thumbnail} limit 1
34,select ?thumbnail where {<http://dbpedia.org/resource/Mercedes-Benz> dbpedia-owl:thumbnail ?thumbnail} limit 1
35,select ?thumbnail where {<http://dbpedia.org/resource/Treasury_(disambiguation)> dbpedia-owl:thumbnail ?thumbnail} limit 1
36,select ?thumbnail where {<http://dbpedia.org/resource/Apple_Inc.> dbpedia-owl:thumbnail ?thumbnail} limit 1
37,select ?thumbnail where {<http://dbpedia.org/resource/Amazon> dbpedia-owl:thumbnail ?thumbnail} limit 1
38,select ?thumbnail where {<http://dbpedia.org/resource/Twitter> dbpedia-owl:thumbnail ?thumbnail} limit 1
