,query
0,select distinct ?Concept where {[] a ?Concept} LIMIT 100
1,"SELECT ?c
WHERE
{
    ?c dbpedia:Woody_Allen dbpedia-owl:birthName .
}"
2,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/birthName>
SELECT ?c
WHERE
{
    ?c dbpedia:Woody_Allen dbpedia-owl:birthName .
}"
3,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/birthName>
SELECT ?c
WHERE
{
   ?c dbpedia:Woody_Allen dbpedia-owl:birthName
}"
4,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/birthName>
SELECT ?c
WHERE
{
   ?c dbpedia:Woody_Allen dbpedia-owl:birthName
}"
5,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/birthName>
SELECT ?c
WHERE
{
   ?c dbpedia-owl:birthName dbpedia:Woody_Allen
}"
6,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen#>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/birthName#>
SELECT ?c
WHERE
{
   ?c dbpedia-owl:birthName dbpedia:Woody_Allen
}"
7,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen#>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/birthName#>
SELECT ?c
WHERE
{
   ?c dbpedia:Woody_Allen dbpedia-owl:birthName
}"
8,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen#>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/birthName#>
SELECT ?c
WHERE
{
   ?c dbpedia:Woody_Allen dbpedia-owl:birthName.
}"
9,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen#>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/birthName#>
SELECT ?c
WHERE
{
   ?c dbpedia:Woody_Allen dbpedia-owl:birthName
}"
10,"PREFIX dbpedia: http://dbpedia.org/resource/Woody_Allen
PREFIX dbpedia-owl: http://dbpedia.org/ontology/birthName
SELECT ?c
WHERE
{
   ?c dbpedia:Woody_Allen dbpedia-owl:birthName
}"
11,"PREFIX dbpedia: http://dbpedia.org/resource/Woody_Allen
PREFIX dbpedia-owl: http://dbpedia.org/ontology/birthName
SELECT ?c
WHERE
{
   ?c dbpedia:Woody_Allen dbpedia-owl:birthName
}"
12,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/birthName>
SELECT ?Woody_Allen
WHERE
{
   ?c dbpedia:Woody_Allen dbpedia-owl:birthName
}"
13,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/birthName>
SELECT ?Woody_Allen
WHERE
{
   dbpedia:Woody_Allen dbpedia-owl:birthName
}"
14,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/birthName>
SELECT ?Woody_Allen
WHERE
{
   ?Woody_Allen dbpedia:Woody_Allen dbpedia-owl:birthName
}"
15,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen/>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/birthName/>
SELECT ?Woody_Allen
WHERE
{
   ?Woody_Allen dbpedia:Woody_Allen dbpedia-owl:birthName
}"
16,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen/>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/birthName/>
SELECT ?c
WHERE
{
   ?c dbpedia:Woody_Allen dbpedia-owl:birthName
}"
17,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen/>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/birthName/>
SELECT ?c
WHERE
{
   ?c dbpedia:Woody_Allen dbpedia-owl:birthName
}"
18,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen/>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/birthName/>
SELECT ?c
WHERE
{
   ?c dbpedia:Woody_Allen dbpedia-owl:birthName
}"
19,select distinct ?WoodyAllen where {[] a ?WoodyAllen} LIMIT 100
20,select distinct ?WoodyAllen where {[] a ?WoodyAllen} LIMIT 100
21,"SELECT ?c
WHERE
{
   ?c dbpedia:Woody_Allen dbpedia-owl:birthName .
}"
22,"SELECT ?c
WHERE
{
   ?c [] dbpedia:Woody_Allen dbpedia-owl:birthName .
}"
23,"SELECT ?c
WHERE
{
   ?c [] dbpedia:Woody_Allen dbpedia-owl:birthName
}"
24,"SELECT ?c
WHERE
{
   ?c dbpedia:Woody_Allen dbpedia-owl:birthName
}"
25,"SELECT ?c
WHERE
{
   ?c dbpedia:Woody_Allen dbpedia-owl:birthName
}"
26,"SELECT ?c
WHERE
{
   ?c dbpedia:Woody_Allen dbpedia-owl:birthName
}"
27,"SELECT ?c
WHERE
{
   ?c dbpedia:Woody_Allen dbpedia-owl:birthName
}"
28,"SELECT ?c
WHERE
{
   ?c dbpedia:Woody_Allen dbpedia-owl:birthName
}"
29,"select distinct ?Concept 
where 
{
    [] a ?Concept
} 
LIMIT 100"
30,"select distinct ?Concept 
where 
{
    [] ?Concept
} 
LIMIT 100"
31,"select distinct ?Concept 
where 
{
    [] a ?Concept
} 
LIMIT 100"
32,"SELECT ?c
WHERE
{
   ?c dbpedia:Woody_Allen dbpedia-owl:birthName
      FILTER(?c = Woody Allen)
}"
33,"SELECT ?c
WHERE
{
   ?c dbpedia:Woody_Allen dbpedia-owl:birthName
      FILTER(?c = Woody Allen).
}"
34,"SELECT ?c
WHERE
{
   ?c dbpedia:Woody_Allen dbpedia-owl:birthName
      FILTER(?c = Woody_Allen).
}"
35,"SELECT ?c
WHERE
{
   ?c dbpedia:Woody_Allen dbpedia-owl:birthName
      FILTER(?c = Woody_Allen)
}"
36,"SELECT ?c
WHERE
{
   ?c dbpedia:Woody_Allen dbpedia-owl:birthName Woody_Allen
}"
