,query
0,SELECT DISTINCT ?type ?long ?lat ?abstract WHERE { <http://dbpedia.org/resource/Ferdinand_Karsch> rdf:type ?type  . OPTIONAL {<http://dbpedia.org/resource/Ferdinand_Karsch> <http://dbpedia.org/ontology/abstract> ?abstract}.FILTER(lang(?abstract) = 'ru').OPTIONAL {<http://dbpedia.org/resource/Ferdinand_Karsch> geo:long  ?long} . OPTIONAL {<http://dbpedia.org/resource/Ferdinand_Karsch> geo:lat  ?lat} . }
1,SELECT DISTINCT * WHERE {?item rdf:type <http://dbpedia.org/class/yago/LGBTPeopleFromGermany> . 	OPTIONAL {?item rdfs:label ?label}.OPTIONAL {?item geo:long  ?long}.OPTIONAL {?item geo:lat  ?lat}.OPTIONAL {?item <http://dbpedia.org/ontology/abstract> ?abstract}.FILTER(lang(?abstract) = 'ru').FILTER(lang(?label) = 'ru').} LIMIT 128 
2,SELECT DISTINCT * WHERE {?item rdf:type <http://dbpedia.org/class/yago/Object100002684> . 	OPTIONAL {?item rdfs:label ?label}.OPTIONAL {?item geo:long  ?long}.OPTIONAL {?item geo:lat  ?lat}.OPTIONAL {?item <http://dbpedia.org/ontology/abstract> ?abstract}.FILTER(lang(?abstract) = 'ru').FILTER(lang(?label) = 'ru').} LIMIT 128 
3,SELECT DISTINCT * WHERE {?item rdf:type <http://dbpedia.org/class/yago/YagoLegalActor> . 	OPTIONAL {?item rdfs:label ?label}.OPTIONAL {?item geo:long  ?long}.OPTIONAL {?item geo:lat  ?lat}.OPTIONAL {?item <http://dbpedia.org/ontology/abstract> ?abstract}.FILTER(lang(?abstract) = 'ru').FILTER(lang(?label) = 'ru').} LIMIT 128 
4,SELECT DISTINCT * WHERE {?item rdf:type <http://dbpedia.org/class/yago/Person100007846> . 	OPTIONAL {?item rdfs:label ?label}.OPTIONAL {?item geo:long  ?long}.OPTIONAL {?item geo:lat  ?lat}.OPTIONAL {?item <http://dbpedia.org/ontology/abstract> ?abstract}.FILTER(lang(?abstract) = 'ru').FILTER(lang(?label) = 'ru').} LIMIT 128 
5,SELECT DISTINCT * WHERE {?item rdf:type <http://dbpedia.org/class/yago/Scientist110560637> . 	OPTIONAL {?item rdfs:label ?label}.OPTIONAL {?item geo:long  ?long}.OPTIONAL {?item geo:lat  ?lat}.OPTIONAL {?item <http://dbpedia.org/ontology/abstract> ?abstract}.FILTER(lang(?abstract) = 'ru').FILTER(lang(?label) = 'ru').} LIMIT 128 
6,SELECT DISTINCT * WHERE {?item rdf:type <http://dbpedia.org/class/yago/Whole100003553> . 	OPTIONAL {?item rdfs:label ?label}.OPTIONAL {?item geo:long  ?long}.OPTIONAL {?item geo:lat  ?lat}.OPTIONAL {?item <http://dbpedia.org/ontology/abstract> ?abstract}.FILTER(lang(?abstract) = 'ru').FILTER(lang(?label) = 'ru').} LIMIT 128 
7,SELECT DISTINCT * WHERE {?item rdf:type <http://dbpedia.org/class/yago/Anthropologist109796323> . 	OPTIONAL {?item rdfs:label ?label}.OPTIONAL {?item geo:long  ?long}.OPTIONAL {?item geo:lat  ?lat}.OPTIONAL {?item <http://dbpedia.org/ontology/abstract> ?abstract}.FILTER(lang(?abstract) = 'ru').FILTER(lang(?label) = 'ru').} LIMIT 128 
8,SELECT DISTINCT * WHERE {?item rdf:type <http://dbpedia.org/class/yago/Biologist109855630> . 	OPTIONAL {?item rdfs:label ?label}.OPTIONAL {?item geo:long  ?long}.OPTIONAL {?item geo:lat  ?lat}.OPTIONAL {?item <http://dbpedia.org/ontology/abstract> ?abstract}.FILTER(lang(?abstract) = 'ru').FILTER(lang(?label) = 'ru').} LIMIT 128 
9,SELECT DISTINCT * WHERE {?item rdf:type <http://dbpedia.org/class/yago/Entomologist110059904> . 	OPTIONAL {?item rdfs:label ?label}.OPTIONAL {?item geo:long  ?long}.OPTIONAL {?item geo:lat  ?lat}.OPTIONAL {?item <http://dbpedia.org/ontology/abstract> ?abstract}.FILTER(lang(?abstract) = 'ru').FILTER(lang(?label) = 'ru').} LIMIT 128 
10,SELECT DISTINCT * WHERE {?item rdf:type <http://dbpedia.org/class/yago/GermanEntomologists> . 	OPTIONAL {?item rdfs:label ?label}.OPTIONAL {?item geo:long  ?long}.OPTIONAL {?item geo:lat  ?lat}.OPTIONAL {?item <http://dbpedia.org/ontology/abstract> ?abstract}.FILTER(lang(?abstract) = 'ru').FILTER(lang(?label) = 'ru').} LIMIT 128 
11,SELECT DISTINCT * WHERE {?item rdf:type <http://dbpedia.org/class/yago/SocialScientist110619642> . 	OPTIONAL {?item rdfs:label ?label}.OPTIONAL {?item geo:long  ?long}.OPTIONAL {?item geo:lat  ?lat}.OPTIONAL {?item <http://dbpedia.org/ontology/abstract> ?abstract}.FILTER(lang(?abstract) = 'ru').FILTER(lang(?label) = 'ru').} LIMIT 128 
12,SELECT DISTINCT * WHERE {?item rdf:type <http://dbpedia.org/class/yago/Zoologist110806222> . 	OPTIONAL {?item rdfs:label ?label}.OPTIONAL {?item geo:long  ?long}.OPTIONAL {?item geo:lat  ?lat}.OPTIONAL {?item <http://dbpedia.org/ontology/abstract> ?abstract}.FILTER(lang(?abstract) = 'ru').FILTER(lang(?label) = 'ru').} LIMIT 128 
13,SELECT DISTINCT * WHERE {?item rdf:type <http://dbpedia.org/class/yago/CausalAgent100007347> . 	OPTIONAL {?item rdfs:label ?label}.OPTIONAL {?item geo:long  ?long}.OPTIONAL {?item geo:lat  ?lat}.OPTIONAL {?item <http://dbpedia.org/ontology/abstract> ?abstract}.FILTER(lang(?abstract) = 'ru').FILTER(lang(?label) = 'ru').} LIMIT 128 
14,SELECT DISTINCT * WHERE {?item rdf:type <http://dbpedia.org/class/yago/LivingThing100004258> . 	OPTIONAL {?item rdfs:label ?label}.OPTIONAL {?item geo:long  ?long}.OPTIONAL {?item geo:lat  ?lat}.OPTIONAL {?item <http://dbpedia.org/ontology/abstract> ?abstract}.FILTER(lang(?abstract) = 'ru').FILTER(lang(?label) = 'ru').} LIMIT 128 
15,SELECT DISTINCT * WHERE {?item rdf:type <http://dbpedia.org/class/yago/Organism100004475> . 	OPTIONAL {?item rdfs:label ?label}.OPTIONAL {?item geo:long  ?long}.OPTIONAL {?item geo:lat  ?lat}.OPTIONAL {?item <http://dbpedia.org/ontology/abstract> ?abstract}.FILTER(lang(?abstract) = 'ru').FILTER(lang(?label) = 'ru').} LIMIT 128 
16,SELECT DISTINCT * WHERE {?item rdf:type <http://dbpedia.org/class/yago/GermanAnthropologists> . 	OPTIONAL {?item rdfs:label ?label}.OPTIONAL {?item geo:long  ?long}.OPTIONAL {?item geo:lat  ?lat}.OPTIONAL {?item <http://dbpedia.org/ontology/abstract> ?abstract}.FILTER(lang(?abstract) = 'ru').FILTER(lang(?label) = 'ru').} LIMIT 128 
17,SELECT DISTINCT * WHERE {?item rdf:type <http://dbpedia.org/class/yago/PhysicalEntity100001930> . 	OPTIONAL {?item rdfs:label ?label}.OPTIONAL {?item geo:long  ?long}.OPTIONAL {?item geo:lat  ?lat}.OPTIONAL {?item <http://dbpedia.org/ontology/abstract> ?abstract}.FILTER(lang(?abstract) = 'ru').FILTER(lang(?label) = 'ru').} LIMIT 128 
18,SELECT DISTINCT * WHERE {?item rdf:type <http://dbpedia.org/class/yago/YagoLegalActorGeo> . 	OPTIONAL {?item rdfs:label ?label}.OPTIONAL {?item geo:long  ?long}.OPTIONAL {?item geo:lat  ?lat}.OPTIONAL {?item <http://dbpedia.org/ontology/abstract> ?abstract}.FILTER(lang(?abstract) = 'ru').FILTER(lang(?label) = 'ru').} LIMIT 128 
19,SELECT DISTINCT ?type ?long ?lat ?abstract WHERE { <http://dbpedia.org/resource/Ankara> rdf:type ?type  . OPTIONAL {<http://dbpedia.org/resource/Ankara> <http://dbpedia.org/ontology/abstract> ?abstract}.FILTER(lang(?abstract) = 'ru').OPTIONAL {<http://dbpedia.org/resource/Ankara> geo:long  ?long} . OPTIONAL {<http://dbpedia.org/resource/Ankara> geo:lat  ?lat} . }
20,SELECT DISTINCT * WHERE {?item rdf:type <http://dbpedia.org/class/yago/Capital108518505> . 	OPTIONAL {?item rdfs:label ?label}.OPTIONAL {?item geo:long  ?long}.OPTIONAL {?item geo:lat  ?lat}.OPTIONAL {?item <http://dbpedia.org/ontology/abstract> ?abstract}.FILTER(lang(?abstract) = 'ru').FILTER(lang(?label) = 'ru').} LIMIT 128 
21,SELECT DISTINCT * WHERE {?item rdf:type <http://dbpedia.org/class/yago/District108552138> . 	OPTIONAL {?item rdfs:label ?label}.OPTIONAL {?item geo:long  ?long}.OPTIONAL {?item geo:lat  ?lat}.OPTIONAL {?item <http://dbpedia.org/ontology/abstract> ?abstract}.FILTER(lang(?abstract) = 'ru').FILTER(lang(?label) = 'ru').} LIMIT 128 
