,query
0,"select distinct * WHERE
{
<http://dbpedia.org/resource/North> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
1,"select distinct * WHERE
{
<http://dbpedia.org/resource/South_Korea> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
2,"select distinct * WHERE
{
<http://dbpedia.org/resource/Collective_security> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
3,"select distinct * WHERE
{
<http://dbpedia.org/resource/United> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
4,"select distinct * WHERE
{
<http://dbpedia.org/resource/Threat> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
5,"select distinct * WHERE
{
<http://dbpedia.org/resource/Allies> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
6,"select distinct * WHERE
{
<http://dbpedia.org/resource/Plan> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
7,"select distinct * WHERE
{
<http://dbpedia.org/resource/Counter> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
8,"select distinct * WHERE
{
<http://dbpedia.org/resource/North_Korea> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
9,"select distinct * WHERE
{
<http://dbpedia.org/resource/South> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
10,"select distinct * WHERE
{
<http://dbpedia.org/resource/Warship> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
11,"select distinct * WHERE
{
<http://dbpedia.org/resource/Attack> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
12,"select distinct * WHERE
{
<http://dbpedia.org/resource/Ince> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
13,"select distinct * WHERE
{
<http://dbpedia.org/resource/S> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
14,"select distinct * WHERE
{
<http://dbpedia.org/resource/Island> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
15,"select distinct * WHERE
{
<http://dbpedia.org/resource/Military> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
16,"select distinct * WHERE
{
<http://dbpedia.org/resource/Plan> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
17,"select distinct * WHERE
{
<http://dbpedia.org/resource/Joint> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
18,"select distinct * WHERE
{
<http://dbpedia.org/resource/Year> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
19,"select distinct * WHERE
{
<http://dbpedia.org/resource/Korea> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
20,"select distinct * WHERE
{
<http://dbpedia.org/resource/General_officer> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
21,"select distinct * WHERE
{
<http://dbpedia.org/resource/James_D._Thurman> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
22,"select distinct * WHERE
{
<http://dbpedia.org/resource/United_States> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
23,"select distinct * WHERE
{
<http://dbpedia.org/resource/Commander> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
24,"select distinct * WHERE
{
<http://dbpedia.org/resource/Plan> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
25,"select distinct * WHERE
{
<http://dbpedia.org/resource/Friday> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
26,"select distinct * WHERE
{
<http://dbpedia.org/resource/Military_strategy> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
27,"select distinct * WHERE
{
<http://dbpedia.org/resource/Force> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
28,"select distinct * WHERE
{
<http://dbpedia.org/resource/Effect> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
29,"select distinct * WHERE
{
<http://dbpedia.org/resource/Plan> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
30,"select distinct * WHERE
{
<http://dbpedia.org/resource/Plan> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
31,"select distinct * WHERE
{
<http://dbpedia.org/resource/Provocation> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
32,"select distinct * WHERE
{
<http://dbpedia.org/resource/Military_aid> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
33,"select distinct * WHERE
{
<http://dbpedia.org/resource/Plan> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
34,"select distinct * WHERE
{
<http://dbpedia.org/resource/War> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
35,"select distinct * WHERE
{
<http://dbpedia.org/resource/Breakbeat> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
36,"select distinct * WHERE
{
<http://dbpedia.org/resource/Plan> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
37,"select distinct * WHERE
{
<http://dbpedia.org/resource/Strategy> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
38,"select distinct * WHERE
{
<http://dbpedia.org/resource/Type> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
39,"select distinct * WHERE
{
<http://dbpedia.org/resource/Office> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
40,"select distinct * WHERE
{
<http://dbpedia.org/resource/Pyongyang> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
41,"select distinct * WHERE
{
<http://dbpedia.org/resource/Humanitarian_aid> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
42,"select distinct * WHERE
{
<http://dbpedia.org/resource/Dialogue> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
43,"select distinct * WHERE
{
<http://dbpedia.org/resource/Obligations> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
44,"select distinct * WHERE
{
<http://dbpedia.org/resource/Yonhap_News_Agency> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
45,"select distinct * WHERE
{
<http://dbpedia.org/resource/Sunday> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
46,"select distinct * WHERE
{
<http://dbpedia.org/resource/Official> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
47,"select distinct * WHERE
{
<http://dbpedia.org/resource/Administration> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
48,"select distinct * WHERE
{
<http://dbpedia.org/resource/Park_Geun-hye> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
49,"select distinct * WHERE
{
<http://dbpedia.org/resource/Policy> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
50,"select distinct * WHERE
{
<http://dbpedia.org/resource/Government> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
51,"select distinct * WHERE
{
<http://dbpedia.org/resource/Policy> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
52,"select distinct * WHERE
{
<http://dbpedia.org/resource/Approval> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
53,"select distinct * WHERE
{
<http://dbpedia.org/resource/Shipping> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
54,"select distinct * WHERE
{
<http://dbpedia.org/resource/Charitable_trust> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
55,"select distinct * WHERE
{
<http://dbpedia.org/resource/News> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
56,"select distinct * WHERE
{
<http://dbpedia.org/resource/Home> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
57,"select distinct * WHERE
{
<http://dbpedia.org/resource/Wednesday> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
58,"select distinct * WHERE
{
<http://dbpedia.org/resource/Match> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
59,"select distinct * WHERE
{
<http://dbpedia.org/resource/Founder> <http://dbpedia.org/ontology/thumbnail> ?thumbnail}
"
