,query
0,select ?subject ?verb ?object where {:Quentin_Tarantino ?verb ?object} LIMIT 100
1,select ?subject ?verb ?object where {http://dbpedia.org/Quentin_Tarantino ?verb ?object} LIMIT 100
2,select ?subject ?verb ?object where {<http://dbpedia.org/Quentin_Tarantino> ?verb ?object} LIMIT 100
3,select ?verb ?object where {<http://dbpedia.org/Quentin_Tarantino> ?verb ?object} LIMIT 100
4,select distinct * {?subjectURI ?verbURI ?objectURI}
5,"select distinct * {?subjectURI ?verbURI ?objectURI} FILTER(?subjectURI=<http://dbpedia.org/resource/Quentin_Tarantino>)FILTER( regex(?objectURI,""http:/"") || langmatches(lang(?objectURI),""en"")"
6,"select distinct * {?subjectURI ?verbURI ?objectURI . OPTIONAL { ?subjectURI <http://www.w3.org/2000/01/rdf-schema#label> ?subjectLabel FILTER langMatches(lang(?subjectLabel), 'en') } . OPTIONAL { ?verbURI <http://www.w3.org/2000/01/rdf-schema#label> ?verbLabel FILTER langMatches(lang(?verbLabel), 'en') } . OPTIONAL { ?objectURI <http://www.w3.org/2000/01/rdf-schema#label> ?objectLabel FILTER langMatches(lang(?objectLabel), 'en') } FILTER(?subjectURI=<http://dbpedia.org/resource/Quentin_Tarantino>)FILTER( regex(?objectURI,""http:/"") || langmatches(lang(?objectURI),""en"") || datatype(?objectURI) != """" ) } limit 100000"
7,"select distinct * {?subjectURI ?verbURI ?objectURI . OPTIONAL  FILTER(?subjectURI=<http://dbpedia.org/resource/Quentin_Tarantino>)FILTER( regex(?objectURI,""http:/"") || langmatches(lang(?objectURI),""en"") || datatype(?objectURI) != """" ) } limit 100000"
8,"select distinct * {?subjectURI ?verbURI ?objectURI . FILTER(?subjectURI=<http://dbpedia.org/resource/Quentin_Tarantino>)FILTER( regex(?objectURI,""http:/"") || langmatches(lang(?objectURI),""en"") || datatype(?objectURI) != """" ) } limit 100000"
9,"select distinct * {?subjectURI ?verbURI ?objectURI . FILTER(?objectURI=<http://dbpedia.org/resource/Quentin_Tarantino>)FILTER( regex(?objectURI,""http:/"") || langmatches(lang(?objectURI),""en"") || datatype(?objectURI) != """" ) } limit 100000"
