,query
0,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 14.841585159301758 AND ?lng < 14.857678413391112 AND ?lat > 37.64257773830995 AND ?lat < 37.650732950217495) AND  LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
1,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 14.84325885772705 AND ?lng < 14.859352111816406 AND ?lat > 37.64405593690739 AND ?lat < 37.652210986518355) AND  !(?lng > 14.841585159301758 AND ?lng < 14.857678413391112 AND ?lat > 37.64257773830995 AND ?lat < 37.650732950217495) AND  LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
2,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 14.849449396133421 AND ?lng < 14.857496023178099 AND ?lat > 37.645517115806214 AND ?lat < 37.649594672326) AND  !(?lng > 14.841585159301758 AND ?lng < 14.857678413391112 AND ?lat > 37.64257773830995 AND ?lat < 37.650732950217495) AND  !(?lng > 14.84325885772705 AND ?lng < 14.859352111816406 AND ?lat > 37.64405593690739 AND ?lat < 37.652210986518355) AND  LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
3,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 14.852469563484192 AND ?lng < 14.85649287700653 AND ?lat > 37.646328397493924 AND ?lat < 37.64836718146699) AND  !(?lng > 14.841585159301758 AND ?lng < 14.857678413391112 AND ?lat > 37.64257773830995 AND ?lat < 37.650732950217495) AND  !(?lng > 14.84325885772705 AND ?lng < 14.859352111816406 AND ?lat > 37.64405593690739 AND ?lat < 37.652210986518355) AND  !(?lng > 14.849449396133421 AND ?lng < 14.857496023178099 AND ?lat > 37.645517115806214 AND ?lat < 37.649594672326) AND  LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
4,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 14.852812886238096 AND ?lng < 14.856836199760437 AND ?lat > 37.647369033806015 AND ?lat < 37.649407789213804) AND  !(?lng > 14.841585159301758 AND ?lng < 14.857678413391112 AND ?lat > 37.64257773830995 AND ?lat < 37.650732950217495) AND  !(?lng > 14.84325885772705 AND ?lng < 14.859352111816406 AND ?lat > 37.64405593690739 AND ?lat < 37.652210986518355) AND  !(?lng > 14.849449396133421 AND ?lng < 14.857496023178099 AND ?lat > 37.645517115806214 AND ?lat < 37.649594672326) AND  !(?lng > 14.852469563484192 AND ?lng < 14.85649287700653 AND ?lat > 37.646328397493924 AND ?lat < 37.64836718146699) AND  LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
5,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 14.853853583335876 AND ?lng < 14.857876896858215 AND ?lat > 37.64823126427657 AND ?lat < 37.65026999601581) AND  !(?lng > 14.841585159301758 AND ?lng < 14.857678413391112 AND ?lat > 37.64257773830995 AND ?lat < 37.650732950217495) AND  !(?lng > 14.84325885772705 AND ?lng < 14.859352111816406 AND ?lat > 37.64405593690739 AND ?lat < 37.652210986518355) AND  !(?lng > 14.849449396133421 AND ?lng < 14.857496023178099 AND ?lat > 37.645517115806214 AND ?lat < 37.649594672326) AND  !(?lng > 14.852469563484192 AND ?lng < 14.85649287700653 AND ?lat > 37.646328397493924 AND ?lat < 37.64836718146699) AND  !(?lng > 14.852812886238096 AND ?lng < 14.856836199760437 AND ?lat > 37.647369033806015 AND ?lat < 37.649407789213804) AND  LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
6,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 14.855892062187195 AND ?lng < 14.859915375709535 AND ?lat > 37.64773431493183 AND ?lat < 37.64977306031257) AND  !(?lng > 14.841585159301758 AND ?lng < 14.857678413391112 AND ?lat > 37.64257773830995 AND ?lat < 37.650732950217495) AND  !(?lng > 14.84325885772705 AND ?lng < 14.859352111816406 AND ?lat > 37.64405593690739 AND ?lat < 37.652210986518355) AND  !(?lng > 14.849449396133421 AND ?lng < 14.857496023178099 AND ?lat > 37.645517115806214 AND ?lat < 37.649594672326) AND  !(?lng > 14.852469563484192 AND ?lng < 14.85649287700653 AND ?lat > 37.646328397493924 AND ?lat < 37.64836718146699) AND  !(?lng > 14.852812886238096 AND ?lng < 14.856836199760437 AND ?lat > 37.647369033806015 AND ?lat < 37.649407789213804) AND  !(?lng > 14.853853583335876 AND ?lng < 14.857876896858215 AND ?lat > 37.64823126427657 AND ?lat < 37.65026999601581) AND  LA"
7,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 14.856798648834229 AND ?lng < 14.860821962356567 AND ?lat > 37.647131175362965 AND ?lat < 37.649169937299966) AND  !(?lng > 14.841585159301758 AND ?lng < 14.857678413391112 AND ?lat > 37.64257773830995 AND ?lat < 37.650732950217495) AND  !(?lng > 14.84325885772705 AND ?lng < 14.859352111816406 AND ?lat > 37.64405593690739 AND ?lat < 37.652210986518355) AND  !(?lng > 14.849449396133421 AND ?lng < 14.857496023178099 AND ?lat > 37.645517115806214 AND ?lat < 37.649594672326) AND  !(?lng > 14.852812886238096 AND ?lng < 14.856836199760437 AND ?lat > 37.647369033806015 AND ?lat < 37.649407789213804) AND  !(?lng > 14.853853583335876 AND ?lng < 14.857876896858215 AND ?lat > 37.64823126427657 AND ?lat < 37.65026999601581) AND  !(?lng > 14.855892062187195 AND ?lng < 14.859915375709535 AND ?lat > 37.64773431493183 AND ?lat < 37.64977306031257) AND  "
8,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 14.857479929924011 AND ?lng < 14.86150324344635 AND ?lat > 37.64745398306536 AND ?lat < 37.64949273614129) AND  !(?lng > 14.841585159301758 AND ?lng < 14.857678413391112 AND ?lat > 37.64257773830995 AND ?lat < 37.650732950217495) AND  !(?lng > 14.84325885772705 AND ?lng < 14.859352111816406 AND ?lat > 37.64405593690739 AND ?lat < 37.652210986518355) AND  !(?lng > 14.849449396133421 AND ?lng < 14.857496023178099 AND ?lat > 37.645517115806214 AND ?lat < 37.649594672326) AND  !(?lng > 14.853853583335876 AND ?lng < 14.857876896858215 AND ?lat > 37.64823126427657 AND ?lat < 37.65026999601581) AND  !(?lng > 14.855892062187195 AND ?lng < 14.859915375709535 AND ?lat > 37.64773431493183 AND ?lat < 37.64977306031257) AND  !(?lng > 14.856798648834229 AND ?lng < 14.860821962356567 AND ?lat > 37.647131175362965 AND ?lat < 37.649169937299966) AND  LAN"
9,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 14.857699871063232 AND ?lng < 14.861723184585573 AND ?lat > 37.64840116072573 AND ?lat < 37.650439887801184) AND  !(?lng > 14.84325885772705 AND ?lng < 14.859352111816406 AND ?lat > 37.64405593690739 AND ?lat < 37.652210986518355) AND  !(?lng > 14.853853583335876 AND ?lng < 14.857876896858215 AND ?lat > 37.64823126427657 AND ?lat < 37.65026999601581) AND  !(?lng > 14.855892062187195 AND ?lng < 14.859915375709535 AND ?lat > 37.64773431493183 AND ?lat < 37.64977306031257) AND  !(?lng > 14.856798648834229 AND ?lng < 14.860821962356567 AND ?lat > 37.647131175362965 AND ?lat < 37.649169937299966) AND  !(?lng > 14.857479929924011 AND ?lng < 14.86150324344635 AND ?lat > 37.64745398306536 AND ?lat < 37.64949273614129) AND  LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
