,query
0,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
1,"select distinct ?label ?abstract ?latitude ?longitude where { 	{    <http://dbpedia.org/resource/United_States> rdfs:label ?label.    <http://dbpedia.org/resource/United_States> dbpedia-owl:abstract ?abstract.    optional {<http://dbpedia.org/resource/United_States> geo:lat ?latitude.}    optional {<http://dbpedia.org/resource/United_States> geo:long ?longitude.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
2,"select distinct ?label ?abstract ?latitude ?longitude where { 	{    <http://dbpedia.org/resource/France> rdfs:label ?label.    <http://dbpedia.org/resource/France> dbpedia-owl:abstract ?abstract.    optional {<http://dbpedia.org/resource/France> geo:lat ?latitude.}    optional {<http://dbpedia.org/resource/France> geo:long ?longitude.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
3,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
4,"select distinct ?label ?abstract ?latitude ?longitude where { 	{    <http://dbpedia.org/resource/Europe> rdfs:label ?label.    <http://dbpedia.org/resource/Europe> dbpedia-owl:abstract ?abstract.    optional {<http://dbpedia.org/resource/Europe> geo:lat ?latitude.}    optional {<http://dbpedia.org/resource/Europe> geo:long ?longitude.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
5,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Jam_session> rdfs:label ?label.    <http://dbpedia.org/resource/Jam_session> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Jam_session> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
6,"select distinct ?label ?abstract ?latitude ?longitude where { 	{    <http://dbpedia.org/resource/Paris> rdfs:label ?label.    <http://dbpedia.org/resource/Paris> dbpedia-owl:abstract ?abstract.    optional {<http://dbpedia.org/resource/Paris> geo:lat ?latitude.}    optional {<http://dbpedia.org/resource/Paris> geo:long ?longitude.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
7,"select distinct ?label ?abstract ?latitude ?longitude where { 	{    <http://dbpedia.org/resource/United_States> rdfs:label ?label.    <http://dbpedia.org/resource/United_States> dbpedia-owl:abstract ?abstract.    optional {<http://dbpedia.org/resource/United_States> geo:lat ?latitude.}    optional {<http://dbpedia.org/resource/United_States> geo:long ?longitude.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
8,"select distinct ?label ?abstract ?latitude ?longitude where { 	{    <http://dbpedia.org/resource/France> rdfs:label ?label.    <http://dbpedia.org/resource/France> dbpedia-owl:abstract ?abstract.    optional {<http://dbpedia.org/resource/France> geo:lat ?latitude.}    optional {<http://dbpedia.org/resource/France> geo:long ?longitude.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
9,"select distinct ?label ?abstract ?latitude ?longitude where { 	{    <http://dbpedia.org/resource/United_States> rdfs:label ?label.    <http://dbpedia.org/resource/United_States> dbpedia-owl:abstract ?abstract.    optional {<http://dbpedia.org/resource/United_States> geo:lat ?latitude.}    optional {<http://dbpedia.org/resource/United_States> geo:long ?longitude.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
10,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
11,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Blues> rdfs:label ?label.    <http://dbpedia.org/resource/Blues> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Blues> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
12,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
13,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Blues> rdfs:label ?label.    <http://dbpedia.org/resource/Blues> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Blues> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
14,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
15,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Music_genre> rdfs:label ?label.    <http://dbpedia.org/resource/Music_genre> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Music_genre> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
16,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Jazz> rdfs:label ?label.    <http://dbpedia.org/resource/Jazz> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Jazz> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
17,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Country_music> rdfs:label ?label.    <http://dbpedia.org/resource/Country_music> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Country_music> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
