,query
0,"select distinct ?member where {
  ?member
  <http://purl.org/dc/terms/subject> ?cat .
  ?cat skos:broader* <http://dbpedia.org/resource/Category:Members_of_the_United_States_House_of_Representatives>
}"
1,"select distinct ?member ?cat where {
  ?member
  <http://purl.org/dc/terms/subject> ?cat .
  ?cat skos:broader* <http://dbpedia.org/resource/Category:Members_of_the_United_States_House_of_Representatives>
}"
2,"PREFIX dbpcat: <http://dbpedia.org/resource/Category:>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>

SELECT ?commonBroader
WHERE {
  ?concept1 skos:broader ?commonBroader OPTION (transitive, t_max(5), t_in(?concept1), t_out(?commonBroader), t_step(""step_no"") as ?dist1) .
  FILTER (?concept1 = dbpcat:RDF_data_access)
  ?concept2 skos:broader ?commonBroader OPTION (transitive, t_max(5), t_in(?concept2), t_out(?commonBroader), t_step(""step_no"") as ?dist2) .
  FILTER (?concept2 = dbpcat:Semantic_wiki_software)
}
ORDER BY ASC(?dist1   ?dist2)
LIMIT 1"
3,"PREFIX dcterms: <http://purl.org/dc/terms/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#> 

SELECT ?a ?b
WHERE {  
  ?a skos:broaderTransitive  ?b
}
"
4,"PREFIX dcterms: <http://purl.org/dc/terms/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>

SELECT ?res ?wikipage ?extpage
WHERE {
  {
  ?res dcterms:subject category:Sports ;
       foaf:isPrimaryTopicOf ?wikipage ;
       dbpedia-owl:wikiPageExternalLink ?extpage }
}
LIMIT 50"
5,"PREFIX dcterms: <http://purl.org/dc/terms/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>


SELECT ?res ?wikipage ?extpage
WHERE {
  {
  ?res dcterms:subject category:Sports ;
       foaf:isPrimaryTopicOf ?wikipage ;
       dbpedia-owl:wikiPageExternalLink ?extpage }
  UNION
  {?res dcterms:subject ?cat;
       foaf:isPrimaryTopicOf ?wikipage ;
       dbpedia-owl:wikiPageExternalLink ?extpage .
  ?cat skos:broader category:Sports }
}
LIMIT 50"
6,"PREFIX dcterms: <http://purl.org/dc/terms/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>


SELECT ?res ?wikipage ?extpage
WHERE {
  ?cat skos:broader category:Sports 
}
LIMIT 50"
7,"PREFIX dcterms: <http://purl.org/dc/terms/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>


SELECT ?cat
WHERE {
  ?cat skos:broader category:Sports 
}
LIMIT 50"
8,"PREFIX dcterms: <http://purl.org/dc/terms/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>


SELECT ?cat
WHERE {
  ?cat skos:broaderTransitive category:Sports 
}
LIMIT 50"
9,"PREFIX dcterms: <http://purl.org/dc/terms/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>


SELECT ?cat
WHERE {
  ?cat skos:narrowerTransitive category:Sports 
}
LIMIT 50"
