,query
0,SELECT ?abstract ?label WHERE {<http://example.com/ldfs/def#Resource> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
1,SELECT ?abstract ?label WHERE {<URL Decoder/Encoder> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
2,SELECT ?abstract ?label WHERE {<Google Drive> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
3,SELECT ?abstract ?label WHERE {<13868446042894> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
4,SELECT ?abstract ?label WHERE {<13826566857195> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
5,SELECT ?abstract ?label WHERE {<13873715666030> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
6,SELECT ?abstract ?label WHERE {<13868450953242> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
7,SELECT ?abstract ?label WHERE {<13897245334438> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
8,SELECT ?abstract ?label WHERE {<13868448873882> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
9,SELECT ?abstract ?label WHERE {<13903010347262> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
10,SELECT ?abstract ?label WHERE {<13825395834091> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
11,SELECT ?abstract ?label WHERE {<13868449610672> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
12,SELECT ?abstract ?label WHERE {<13867829062666> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
13,SELECT ?abstract ?label WHERE {<13868446837051> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
14,SELECT ?abstract ?label WHERE {<13893617145818> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
15,SELECT ?abstract ?label WHERE {<13868446967908> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
16,SELECT ?abstract ?label WHERE {<13855755390861> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
17,SELECT ?abstract ?label WHERE {<13901561947364> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
18,SELECT ?abstract ?label WHERE {<13868448756213> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
19,SELECT ?abstract ?label WHERE {<13893603236910> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
