,query
0,"PREFIX foaf:  <http://xmlns.com/foaf/0.1/>
SELECT ?name
WHERE {
    ?person foaf:name ?name .
}"
1,"PREFIX space: <http://purl.org/net/schemas/space/>
SELECT ?craft
{
  ?craft a space:Spacecraft
}
LIMIT 50
"
2,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>        
PREFIX type: <http://dbpedia.org/class/yago/>
PREFIX prop: <http://dbpedia.org/property/>
SELECT ?country_name ?population
WHERE {
    ?country a type:LandlockedCountries ;
             rdfs:label ?country_name ;
             prop:populationEstimate ?population .
    FILTER (?population > 15000000) .
}"
3,"PREFIX : <http://dbpedia.org/resource/> 
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX foaf: <http://xmlns.com/foaf/0.1/> 
PREFIX yago: <http://dbpedia.org/class/yago/> 
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> 
PREFIX dbpedia2: <http://dbpedia.org/property/> 


SELECT DISTINCT *
WHERE
{
?person rdf:type dbo:TennisPlayer ;
         foaf:name ?name ;
         dbo:birthDate ?birthDate ;

}
LIMIT 20"
4,"PREFIX : <http://dbpedia.org/resource/> 
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX foaf: <http://xmlns.com/foaf/0.1/> 
PREFIX yago: <http://dbpedia.org/class/yago/> 
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> 
PREFIX dbpedia2: <http://dbpedia.org/property/> 

SELECT DISTINCT *
WHERE
{
?person rdf:type dbo:TennisPlayer ;
    ?     foaf:name ?name ;
     ?    dbo:birthDate ?birthDate ;

}
LIMIT 20"
5,"PREFIX dbo: <http://dbpedia.org/ontology/>

SELECT DISTINCT *
WHERE
{
?person a dbo:Person .
}
LIMIT 20"
6,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>

SELECT DISTINCT *
WHERE
{
?person a dbo:TennisPlayer ;
         foaf:name ?name ;
?name    dbo:birthDate ?birthDate ;

}
LIMIT 20



"
7,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>

SELECT DISTINCT *
WHERE
{
?person a dbo:TennisPlayer ;
         foaf:name ?name ;

}
LIMIT 20



"
8,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>

SELECT DISTINCT *
WHERE
{
?person a dbo:TennisPlayer .
         foaf:name ?name .

}
LIMIT 20



"
9,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>

SELECT DISTINCT *
WHERE
{
?person a dbo:TennisPlayer .


}
LIMIT 20



"
10,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>

SELECT DISTINCT *
WHERE
{
?person a dbo:TennisPlayer ;
       foaf::name ?name .


}
LIMIT 20



"
11,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>

SELECT DISTINCT *
WHERE
{
?person a dbo:TennisPlayer .
?person foaf::name ?name .


}
LIMIT 20



"
12,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>

SELECT DISTINCT ?person
WHERE
{
?person a dbo:TennisPlayer .
?person foaf::name ?name .


}
LIMIT 20



"
13,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>

SELECT DISTINCT ?person
WHERE
{
?person a dbo:TennisPlayer .

}
LIMIT 20



"
