,answers,errors,queries,no answer
0,18,123,153,12
1,177,0,206,29
2,4,45,110,61
3,65,34,113,14
4,0,99,135,36
5,75,7,113,31
6,21,0,126,105
7,54,118,302,130
8,0,102,129,27
9,0,209,242,33
10,0,274,1468,1194
11,42,50,142,50
12,0,0,166,166
13,18,10,152,124
14,3,99,102,0
15,20,354,470,96
16,5,144,168,19
17,0,92,107,15
18,99,0,109,10
19,0,94,124,30
20,0,78,153,75
21,0,131,131,0
22,13,96,129,20
23,2,44,110,64
24,2,120,122,0
25,8,30,106,68
26,10,43,110,57
27,64,23,126,39
28,3,10,105,92
29,2,122,143,19
30,8,142,160,10
31,0,7,179,172
32,1,140,142,1
33,16,42,111,53
34,13,57,102,32
35,5,29,166,132
36,0,116,117,1
37,0,303,303,0
38,0,0,277,277
39,52,60,204,92
40,5,1032,1044,7
41,29,42,104,33
42,1,11,111,99
43,0,149,149,0
44,0,118,118,0
45,9,4,381,368
46,30,102,354,222
47,19,32,139,88
48,14,41,138,83
49,90,118,322,114
50,25,72,110,13
51,61,81,225,83
52,33,28,120,59
53,0,2,141,139
54,34,44,196,118
55,0,73,117,44
56,0,158,158,0
57,1,40,107,66
