,query
0,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 13.217936754226683 AND ?lng < 13.225843906402588 AND ?lat > 46.23164285645992 AND ?lat < 46.235205115044856) AND  !(?lng > 13.217936754226683 AND ?lng < 13.225843906402588 AND ?lat > 46.23164285645992 AND ?lat < 46.235205115044856) AND  !(?lng > 13.218156695365906 AND ?lng < 13.222110271453857 AND ?lat > 46.23204362209386 AND ?lat < 46.23382476728295) AND  LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
1,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 13.217936754226683 AND ?lng < 13.225843906402588 AND ?lat > 46.23164285645992 AND ?lat < 46.235205115044856) AND  LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
2,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 13.218156695365906 AND ?lng < 13.222110271453857 AND ?lat > 46.23204362209386 AND ?lat < 46.23382476728295) AND  !(?lng > 13.217936754226683 AND ?lng < 13.225843906402588 AND ?lat > 46.23164285645992 AND ?lat < 46.235205115044856) AND  LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
3,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 13.217496871948242 AND ?lng < 13.233311176300047 AND ?lat > 46.23084131641274 AND ?lat < 46.237965706409966) AND  !(?lng > 13.217936754226683 AND ?lng < 13.225843906402588 AND ?lat > 46.23164285645992 AND ?lat < 46.235205115044856) AND  !(?lng > 13.218156695365906 AND ?lng < 13.222110271453857 AND ?lat > 46.23204362209386 AND ?lat < 46.23382476728295) AND  !(?lng > 13.217936754226683 AND ?lng < 13.225843906402588 AND ?lat > 46.23164285645992 AND ?lat < 46.235205115044856) AND  LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
4,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 13.216595649719238 AND ?lng < 13.248224258422852 AND ?lat > 46.22922335732299 AND ?lat < 46.2434716324829) AND  !(?lng > 13.217936754226683 AND ?lng < 13.225843906402588 AND ?lat > 46.23164285645992 AND ?lat < 46.235205115044856) AND  !(?lng > 13.218156695365906 AND ?lng < 13.222110271453857 AND ?lat > 46.23204362209386 AND ?lat < 46.23382476728295) AND  !(?lng > 13.217936754226683 AND ?lng < 13.225843906402588 AND ?lat > 46.23164285645992 AND ?lat < 46.235205115044856) AND  !(?lng > 13.217496871948242 AND ?lng < 13.233311176300047 AND ?lat > 46.23084131641274 AND ?lat < 46.237965706409966) AND  LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
5,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 13.207411766052244 AND ?lng < 13.223226070404053 AND ?lat > 46.23048507263439 AND ?lat < 46.23760950887629) AND  !(?lng > 13.20732593536377 AND ?lng < 13.238954544067383 AND ?lat > 46.22940148359583 AND ?lat < 46.24364971251119) AND  LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
6,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 13.20732593536377 AND ?lng < 13.238954544067383 AND ?lat > 46.22940148359583 AND ?lat < 46.24364971251119) AND  LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
7,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 13.212990760803223 AND ?lng < 13.220897912979124 AND ?lat > 46.230700303526945 AND ?lat < 46.23426262328987) AND  !(?lng > 13.20732593536377 AND ?lng < 13.238954544067383 AND ?lat > 46.22940148359583 AND ?lat < 46.24364971251119) AND  !(?lng > 13.207411766052244 AND ?lng < 13.223226070404053 AND ?lat > 46.23048507263439 AND ?lat < 46.23760950887629) AND  LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
8,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 13.207690715789795 AND ?lng < 13.223505020141602 AND ?lat > 46.229906171562945 AND ?lat < 46.23703068295253) AND  !(?lng > 13.20732593536377 AND ?lng < 13.238954544067383 AND ?lat > 46.22940148359583 AND ?lat < 46.24364971251119) AND  !(?lng > 13.207411766052244 AND ?lng < 13.223226070404053 AND ?lat > 46.23048507263439 AND ?lat < 46.23760950887629) AND  !(?lng > 13.212990760803223 AND ?lng < 13.220897912979124 AND ?lat > 46.230700303526945 AND ?lat < 46.23426262328987) AND  LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
9,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 13.17586898803711 AND ?lng < 13.239126205444336 AND ?lat > 46.225155983470586 AND ?lat < 46.25365094608467) AND  !(?lng > 13.20732593536377 AND ?lng < 13.238954544067383 AND ?lat > 46.22940148359583 AND ?lat < 46.24364971251119) AND  !(?lng > 13.207411766052244 AND ?lng < 13.223226070404053 AND ?lat > 46.23048507263439 AND ?lat < 46.23760950887629) AND  !(?lng > 13.212990760803223 AND ?lng < 13.220897912979124 AND ?lat > 46.230700303526945 AND ?lat < 46.23426262328987) AND  !(?lng > 13.207690715789795 AND ?lng < 13.223505020141602 AND ?lat > 46.229906171562945 AND ?lat < 46.23703068295253) AND  LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
