,id,answers
0,5,http://dbpedia.org/resource/Daimler_Sovereign http://dbpedia.org/resource/Daimler_Sovereign http://dbpedia.org/resource/Jaguar_XJ_(X308) http://dbpedia.org/resource/ZIL-114 http://dbpedia.org/resource/ZIL-117 http://dbpedia.org/resource/ZIL-4104 http://dbpedia.org/resource/ZIL-41047 http://dbpedia.org/resource/ZIL-41047 http://dbpedia.org/resource/ZIS-101 http://dbpedia.org/resource/ZIS-110 http://dbpedia.org/resource/ZIL-115 http://dbpedia.org/resource/ZIL-111 http://dbpedia.org/resource/Audi_A8 http://dbpedia.org/resource/Audi_V8 http://dbpedia.org/resource/Citro%C3%ABn_C6 http://dbpedia.org/resource/Citro%C3%ABn_DS http://dbpedia.org/resource/Citro%C3%ABn_DS http://dbpedia.org/resource/Citro%C3%ABn_SM http://dbpedia.org/resource/BMW_6_Series http://dbpedia.org/resource/BMW_7_Series http://dbpedia.org/resource/BMW_7_Series_(E23) http://dbpedia.org/resource/BMW_7_Series_(E32) http://dbpedia.org/resource/BMW_X5 http://dbpedia.org/resource/BMW_X6 http://dbpedia.org/resource/Bentley_Mulsanne_(2010) http://dbpedia.org/resource/Bentley_S2 http://dbpedia.org/resource/Blue_Bird_Wanderlodge http://dbpedia.org/resource/Bugatti_Royale http://dbpedia.org/resource/Bugatti_Royale http://dbpedia.org/resource/Chrysler_300_letter_series http://dbpedia.org/resource/Chrysler_Cordoba http://dbpedia.org/resource/Chrysler_Executive http://dbpedia.org/resource/Chrysler_TC_by_Maserati http://dbpedia.org/resource/Imperial_(automobile) http://dbpedia.org/resource/Lincoln_Mark_series http://dbpedia.org/resource/Daewoo_Prince http://dbpedia.org/resource/Daewoo_Prince http://dbpedia.org/resource/Daewoo_Prince http://dbpedia.org/resource/Maybach_57_and_62 http://dbpedia.org/resource/Mercedes-Benz_W220 http://dbpedia.org/resource/Facel_Vega_Excellence http://dbpedia.org/resource/Fiat_24-32_HP http://dbpedia.org/resource/Fiat_520 http://dbpedia.org/resource/Fiat_60_HP http://dbpedia.org/resource/Lincoln_Continental_Mark_VI http://dbpedia.org/resource/Lincoln_Mark_VIII http://dbpedia.org/resource/Lincoln_Navigator http://dbpedia.org/resource/Ford_Fairlane_(Australia) http://dbpedia.org/resource/Ford_Fairlane_(Australia) http://dbpedia.org/resource/Holden_WM_Caprice http://dbpedia.org/resource/Holden_Caprice http://dbpedia.org/resource/Holden_Caprice http://dbpedia.org/resource/Holden_WM_Caprice http://dbpedia.org/resource/Holden_Caprice http://dbpedia.org/resource/Holden_Caprice http://dbpedia.org/resource/Holden_WM_Caprice http://dbpedia.org/resource/Holden_Caprice http://dbpedia.org/resource/Holden_Caprice http://dbpedia.org/resource/Holden_Caprice http://dbpedia.org/resource/Holden_WM_Caprice http://dbpedia.org/resource/Holden_WM_Caprice http://dbpedia.org/resource/Buick_Roadmaster http://dbpedia.org/resource/Cadillac_Brougham http://dbpedia.org/resource/Oldsmobile_Toronado http://dbpedia.org/resource/Honda_Legend http://dbpedia.org/resource/Honda_Legend http://dbpedia.org/resource/Acura_ZDX http://dbpedia.org/resource/Honda_Legend http://dbpedia.org/resource/Honda_Elysion http://dbpedia.org/resource/Honda_Legend http://dbpedia.org/resource/Hyundai_Dynasty http://dbpedia.org/resource/Hyundai_Equus http://dbpedia.org/resource/Hyundai_Genesis http://dbpedia.org/resource/Hyundai_Grandeur http://dbpedia.org/resource/Hyundai_Genesis http://dbpedia.org/resource/Daimler_Sovereign http://dbpedia.org/resource/Daimler_Sovereign http://dbpedia.org/resource/Jaguar_XJ_(X308) http://dbpedia.org/resource/Jensen_541S http://dbpedia.org/resource/Jensen_CV8 http://dbpedia.org/resource/Jensen_FF http://dbpedia.org/resource/Jensen_Interceptor http://dbpedia.org/resource/Toyota_Origin http://dbpedia.org/resource/Toyota_Verossa http://dbpedia.org/resource/Toyota_Granvia http://dbpedia.org/resource/Toyota_Granvia http://dbpedia.org/resource/Toyota_Granvia http://dbpedia.org/resource/Toyota_Granvia http://dbpedia.org/resource/Lancia_Flaminia http://dbpedia.org/resource/Range_Rover http://dbpedia.org/resource/Range_Rover_Classic http://dbpedia.org/resource/Range_Rover_(L322) http://dbpedia.org/resource/Range_Rover_(L405) http://dbpedia.org/resource/Range_Rover_(P38A) http://dbpedia.org/resource/Lexus_ES http://dbpedia.org/resource/Lexus_ES_(XV40) http://dbpedia.org/resource/Lexus_HS http://dbpedia.org/resource/Lexus_LS http://dbpedia.org/resource/Lexus_LX http://dbpedia.org/resource/Lexus_LS http://dbpedia.org/resource/Lincoln_Mark_series http://dbpedia.org/resource/Lincoln_Versailles http://dbpedia.org/resource/Mercedes-Benz_E-Class http://dbpedia.org/resource/Chrysler_TC_by_Maserati http://dbpedia.org/resource/Mazda_Sentia http://dbpedia.org/resource/Mazda_Sentia http://dbpedia.org/resource/Efini_MS-8 http://dbpedia.org/resource/Mazda_Persona http://dbpedia.org/resource/Mazda_Xedos_6 http://dbpedia.org/resource/Mazda_Millenia http://dbpedia.org/resource/Mazda_Sentia http://dbpedia.org/resource/Mazda_Sentia http://dbpedia.org/resource/Mazda_Sentia http://dbpedia.org/resource/Mazda_Luce http://dbpedia.org/resource/Mazda_Sentia http://dbpedia.org/resource/Mazda_Millenia http://dbpedia.org/resource/Mazda_Persona http://dbpedia.org/resource/Mazda_Sentia http://dbpedia.org/resource/Mazda_Xedos_6 http://dbpedia.org/resource/Mazda_Millenia http://dbpedia.org/resource/Mazda_Sentia http://dbpedia.org/resource/Mercedes-Benz_600 http://dbpedia.org/resource/Mercedes-Benz_E-Class http://dbpedia.org/resource/Mercedes-Benz_600 http://dbpedia.org/resource/Mercedes-Benz_W126 http://dbpedia.org/resource/Mercedes-Benz_W140 http://dbpedia.org/resource/Mercedes-Benz_W221 http://dbpedia.org/resource/Mitsubishi_Debonair http://dbpedia.org/resource/Mitsubishi_Dignity http://dbpedia.org/resource/Mitsubishi_Proudia http://dbpedia.org/resource/Infiniti_EX http://dbpedia.org/resource/Nissan_Fuga http://dbpedia.org/resource/Nissan_Gloria http://dbpedia.org/resource/Nissan_Cima http://dbpedia.org/resource/Infiniti_EX http://dbpedia.org/resource/Nissan_Elgrand http://dbpedia.org/resource/Nissan_Elgrand http://dbpedia.org/resource/Nissan_300C http://dbpedia.org/resource/Nissan_Elgrand http://dbpedia.org/resource/Nissan_Cedric http://dbpedia.org/resource/Nissan_300C http://dbpedia.org/resource/Nissan_Cima http://dbpedia.org/resource/Nissan_Elgrand http://dbpedia.org/resource/Nissan_Gloria http://dbpedia.org/resource/Nissan_Elgrand http://dbpedia.org/resource/Nissan_Laurel http://dbpedia.org/resource/Nissan_President http://dbpedia.org/resource/Nissan_Prince_Royal http://dbpedia.org/resource/Infiniti_EX http://dbpedia.org/resource/Nissan_Gloria http://dbpedia.org/resource/Infiniti_EX http://dbpedia.org/resource/Nissan_Fuga http://dbpedia.org/resource/Nissan_Gloria http://dbpedia.org/resource/Nissan_Cima http://dbpedia.org/resource/Infiniti_EX http://dbpedia.org/resource/Nissan_Elgrand http://dbpedia.org/resource/Nissan_Elgrand http://dbpedia.org/resource/Nissan_300C http://dbpedia.org/resource/Nissan_Elgrand http://dbpedia.org/resource/Nissan_Cedric http://dbpedia.org/resource/Nissan_300C http://dbpedia.org/resource/Nissan_Cima http://dbpedia.org/resource/Nissan_Elgrand http://dbpedia.org/resource/Nissan_Gloria http://dbpedia.org/resource/Nissan_Elgrand http://dbpedia.org/resource/Nissan_Laurel http://dbpedia.org/resource/Nissan_President http://dbpedia.org/resource/Nissan_Prince_Royal http://dbpedia.org/resource/Infiniti_EX http://dbpedia.org/resource/Nissan_Gloria http://dbpedia.org/resource/Porsche_Panamera http://dbpedia.org/resource/SsangYong_Chairman http://dbpedia.org/resource/Daimler_DR450 http://dbpedia.org/resource/Daimler_Majestic_Major http://dbpedia.org/resource/Daimler_Regency http://dbpedia.org/resource/Daimler_Regency http://dbpedia.org/resource/Daimler_DK400 http://dbpedia.org/resource/Daimler_DS420 http://dbpedia.org/resource/Toyota_Mark_X http://dbpedia.org/resource/Toyota_Alphard http://dbpedia.org/resource/Toyota_Century http://dbpedia.org/resource/Toyota_Crown http://dbpedia.org/resource/Toyota_Crown_Majesta http://dbpedia.org/resource/Toyota_Granvia http://dbpedia.org/resource/Toyota_Granvia http://dbpedia.org/resource/Toyota_Granvia http://dbpedia.org/resource/Toyota_Mark_X http://dbpedia.org/resource/Toyota_Progr%C3%A8s http://dbpedia.org/resource/Toyota_Granvia http://dbpedia.org/resource/Toyota_Alphard http://dbpedia.org/resource/Volkswagen_Phaeton http://dbpedia.org/resource/Volvo_164 http://dbpedia.org/resource/Volvo_700_Series http://dbpedia.org/resource/Volvo_900_Series http://dbpedia.org/resource/Volvo_S80 http://dbpedia.org/resource/Volvo_XC90 http://dbpedia.org/resource/Volvo_164 http://dbpedia.org/resource/Volvo_700_Series http://dbpedia.org/resource/Volvo_900_Series http://dbpedia.org/resource/Volvo_S80 http://dbpedia.org/resource/Volvo_XC90 http://dbpedia.org/resource/Infiniti_EX http://dbpedia.org/resource/Nissan_Fuga http://dbpedia.org/resource/Nissan_Gloria http://dbpedia.org/resource/Nissan_Cima http://dbpedia.org/resource/Infiniti_EX http://dbpedia.org/resource/Nissan_Elgrand http://dbpedia.org/resource/Nissan_Elgrand http://dbpedia.org/resource/Nissan_300C http://dbpedia.org/resource/Nissan_Elgrand http://dbpedia.org/resource/Nissan_Cedric http://dbpedia.org/resource/Nissan_300C http://dbpedia.org/resource/Nissan_Cima http://dbpedia.org/resource/Nissan_Elgrand http://dbpedia.org/resource/Nissan_Gloria http://dbpedia.org/resource/Nissan_Elgrand http://dbpedia.org/resource/Nissan_Laurel http://dbpedia.org/resource/Nissan_President http://dbpedia.org/resource/Nissan_Prince_Royal http://dbpedia.org/resource/Infiniti_EX http://dbpedia.org/resource/Nissan_Gloria http://dbpedia.org/resource/Toyota_Origin http://dbpedia.org/resource/Toyota_Verossa http://dbpedia.org/resource/Hyundai_Dynasty http://dbpedia.org/resource/Hyundai_Equus http://dbpedia.org/resource/Hyundai_Genesis http://dbpedia.org/resource/Hyundai_Grandeur http://dbpedia.org/resource/Hyundai_Genesis
1,24,http://dbpedia.org/resource/Adam_Hanuszkiewicz http://dbpedia.org/resource/Adam_Mularczyk http://dbpedia.org/resource/Aleksander_%C5%BBabczy%C5%84ski http://dbpedia.org/resource/Andrzej_Bogucki http://dbpedia.org/resource/Andrzej_Chyra http://dbpedia.org/resource/Andrzej_Grabarczyk_(actor) http://dbpedia.org/resource/Andrzej_Kostenko http://dbpedia.org/resource/Artur_Pontek http://dbpedia.org/resource/Artur_Pontek http://dbpedia.org/resource/Artur_%C5%BBmijewski_(actor)
2,25,http://dbpedia.org/resource/Twenty_Questions http://dbpedia.org/resource/25_Words_or_Less http://dbpedia.org/resource/Apples_to_Apples http://dbpedia.org/resource/Assassin_(game) http://dbpedia.org/resource/Big_Taboo http://dbpedia.org/resource/Cards_Against_Humanity http://dbpedia.org/resource/Jungle_Speed http://dbpedia.org/resource/Lexiko http://dbpedia.org/resource/Silent_Football http://dbpedia.org/resource/Strip_poker
3,26,http://dbpedia.org/resource/Twenty_Questions http://dbpedia.org/resource/25_Words_or_Less http://dbpedia.org/resource/Apples_to_Apples http://dbpedia.org/resource/Assassin_(game) http://dbpedia.org/resource/Big_Taboo http://dbpedia.org/resource/Cards_Against_Humanity http://dbpedia.org/resource/Jungle_Speed http://dbpedia.org/resource/Lexiko http://dbpedia.org/resource/Silent_Football http://dbpedia.org/resource/Strip_poker
4,27,http://dbpedia.org/resource/Twenty_Questions http://dbpedia.org/resource/25_Words_or_Less http://dbpedia.org/resource/Apples_to_Apples http://dbpedia.org/resource/Assassin_(game) http://dbpedia.org/resource/Big_Taboo http://dbpedia.org/resource/Cards_Against_Humanity http://dbpedia.org/resource/Jungle_Speed http://dbpedia.org/resource/Lexiko http://dbpedia.org/resource/Silent_Football http://dbpedia.org/resource/Strip_poker
5,28,http://dbpedia.org/resource/Twenty_Questions http://dbpedia.org/resource/25_Words_or_Less http://dbpedia.org/resource/Apples_to_Apples http://dbpedia.org/resource/Assassin_(game) http://dbpedia.org/resource/Big_Taboo http://dbpedia.org/resource/Cards_Against_Humanity http://dbpedia.org/resource/Jungle_Speed http://dbpedia.org/resource/Lexiko http://dbpedia.org/resource/Silent_Football http://dbpedia.org/resource/Strip_poker
6,29,http://dbpedia.org/resource/Jungle_Speed http://dbpedia.org/resource/Taboo_(game) http://dbpedia.org/resource/Silent_Football http://dbpedia.org/resource/Apples_to_Apples http://dbpedia.org/resource/Strip_poker
7,30,http://dbpedia.org/resource/Andr%C3%A9s_Quintana_Roo http://dbpedia.org/resource/Andr%C3%A9s_Quintana_Roo http://dbpedia.org/resource/Jean-Antoine-Marie_Monperlier
8,31,http://dbpedia.org/resource/Andr%C3%A9s_Quintana_Roo http://dbpedia.org/resource/Andr%C3%A9s_Quintana_Roo http://dbpedia.org/resource/Jean-Antoine-Marie_Monperlier http://dbpedia.org/resource/Silas_Garber http://dbpedia.org/resource/James_W._Husted_(speaker) http://dbpedia.org/resource/James_W._Husted_(speaker)
9,32,http://dbpedia.org/resource/Andr%C3%A9s_Quintana_Roo http://dbpedia.org/resource/Andr%C3%A9s_Quintana_Roo http://dbpedia.org/resource/Jean-Antoine-Marie_Monperlier http://dbpedia.org/resource/Silas_Garber http://dbpedia.org/resource/James_W._Husted_(speaker) http://dbpedia.org/resource/James_W._Husted_(speaker)
