,query
0,select distinct ?Concept where {[] a ?Concept} LIMIT 100
1,"select ?x
where { ?x a dbpedia-owl:Person. ?g a dbpedia-owl:Guitar. ?x dbpedia-owl:instrument ?g. LIMIT 100 }"
2,"select ?x
where { ?x a dbpedia-owl:Person. ?g a dbpedia-owl:Guitar. ?x dbpedia-owl:instrument ?g. LIMIT 100. }"
3,"select ?x
where { ?x a dbpedia-owl:Person. ?g a dbpedia-owl:Guitar. ?x dbpedia-owl:instrument ?g. } LIMIT 100"
4,"select ?x
where { ?x a dbpedia-owl:Person. ?g a dbpedia-owl:Guitare. ?x dbpedia-owl:instrument ?g. } LIMIT 100"
5,"select ?x
where { ?x a dbpedia-owl:Person. ?g a dbpedia-owl:Guitare. ?x dbpedia-owl:Instrument ?g. } LIMIT 100"
6,"select ?x
where { ?x a dbpedia-owl:Person.  ?x dbpedia-owl:Instrument ?g. } LIMIT 100"
7,"select ?x
where { ?x a dbpedia-owl:Person. } LIMIT 100"
8,"select ?x
where { ?x a dbpedia-owl:instrument. } LIMIT 100"
9,"select ?x
where { ?x a dbpedia-owl:Instrument. } LIMIT 100"
10,"select ?x
where { ?x a dbpedia-owl:Person. ?g a dbpedia:Guitar. ?x owl:instrument ?g. } LIMIT 100"
11,"select ?x
where { ?x a dbpedia-owl:Person. ?g a dbpedia-owl:Guitar. ?x owl:instrument ?g. } LIMIT 100"
12,"select ?x
where { ?x a dbpedia-owl:Person. ?g a dbpedia:Guitar. ?x owl:instrument ?g. } LIMIT 100"
13,"select ?x
where { ?x a dbpedia-owl:Person. ?g a dbpedia-owl:Guitar. ?x owl:instrument ?g. } LIMIT 100"
14,"select ?x
where { ?x a dbpedia-owl:Person. ?g a dbpedia-owl:Guitar. ?g owl:instrument ?x. } LIMIT 100"
15,"select ?x
where { ?x a dbpedia:Guitar. } LIMIT 100"
16,"select ?x
where { ?x a dbpedia:Person. } LIMIT 100"
17,"select ?x
where { ?x a dbpedia-owl:Person. } LIMIT 100"
18,"select ?x
where { ?x a dbpedia-owl:Person. ?x dbpedia-owl:birthplace dbpedia:Boston. } LIMIT 100"
19,"select ?x
where { ?x a dbpedia-owl:Person. ?x dbpedia-owl:birthPlace dbpedia:Boston. } LIMIT 100"
20,"select ?x
where { ?x a dbpedia-owl:Person. ?x dbpedia-owl:birthPlace dbpedia:Boston. ?x a dbpedia:MusicalArtist. } LIMIT 100"
21,"select ?x
where { ?x a dbpedia:MusicalArtist. } LIMIT 100"
22,"select ?x
where { ?x a dbpedia-owl:Person. ?x dbpedia-owl:birthPlace dbpedia:Boston. ?x a dbpedia-owl:MusicalArtist. } LIMIT 100"
23,"select ?x
where { ?x a dbpedia-owl:Person. ?x dbpedia-owl:birthPlace dbpedia:Boston. ?x a dbpedia-owl:MusicalArtist. ?x dbpedia-owl:instrument dbpedia:Guitar. } LIMIT 100"
24,"select ?x
where { ?x a dbpedia-owl:Person.
 ?x dbpedia-owl:birthPlace dbpedia:Boston.
 ?x a dbpedia-owl:MusicalArtist.
 ?x dbpedia-owl:instrument dbpedia:Guitar. } LIMIT 100"
25,"select ?x
where { ?x a dbpedia-owl:Person.
 ?x dbpedia-owl:birthPlace dbpedia:Boston.
 ?x a dbpedia-owl:MusicalArtist.
 ?x dbpedia-owl:instrument dbpedia:Guitar. } LIMIT 100"
26,"select distinct ?x ?y
where { ?x a dbpedia-owl:Person.
 ?x dbpedia-owl:birthPlace dbpedia:Boston.
 ?x a dbpedia-owl:MusicalArtist.
 ?x dbpedia-owl:instrument dbpedia:Guitar. 
 ?y a dbpedia-owl:Person.
 ?x dbpedia-owl:spouse ?y.
} LIMIT 100"
27,"select distinct ?x ?y
where { ?x a dbpedia-owl:Person.
 ?x dbpedia-owl:birthPlace dbpedia:Boston.
 ?x a dbpedia-owl:MusicalArtist.
 ?x dbpedia-owl:instrument dbpedia:Guitar. 
 ?y a dbpedia-owl:Person.
} LIMIT 100"
28,"select distinct ?x ?y
where { ?x a dbpedia-owl:Person.
 ?x dbpedia-owl:birthPlace dbpedia:Boston.
 ?x a dbpedia-owl:MusicalArtist.
 ?x dbpedia-owl:instrument dbpedia:Guitar. 
 ?y a dbpedia-owl:Person.
 ?x dbpedia-owl:spouse ?y.
} LIMIT 100"
