,query
0,select * where {<http://dbpedia.org/resource/Roger_Federer> ?p ?o filter(lang(?o) = 'en')} 
1,select * where {<http://dbpedia.org/resource/Roger_Federer> ?p ?o filter(lang(?o) = 'en')} 
2,"select distinct ?a ?name ?author ?isbn where { ?a rdf:type ?type . ?a dbpprop:name ?name . ?a dbpprop:isbn ?isbn . optional{?a dbpprop:author ?author} . filter(regex(?name,'Harry Potter a k�men mudrc&#367;','i')) } LIMIT 100 "
3,"select distinct ?a ?name ?author ?isbn where { ?a rdf:type ?type . ?a dbpprop:name ?name . ?a dbpprop:isbn ?isbn . optional{?a dbpprop:author ?author} . filter(regex(?name,'Reading Harry Potter','i')) } LIMIT 100 "
4,"select distinct ?a ?name ?author ?isbn where { ?a rdf:type ?type . ?a dbpprop:name ?name . ?a dbpprop:isbn ?isbn . optional{?a dbpprop:author ?author} . filter(regex(?name,'The Kindly Ones','i')) } LIMIT 100 "
5,"select distinct ?a ?name ?author ?isbn where { ?a rdf:type ?type . ?a dbpprop:name ?name . ?a dbpprop:isbn ?isbn . optional{?a dbpprop:author ?author} . filter(regex(?name,'The Kindly Ones','i')) } LIMIT 100 "
6,"select distinct ?a ?name ?author ?isbn where { ?a rdf:type ?type . ?a dbpprop:name ?name . ?a dbpprop:isbn ?isbn . optional{?a dbpprop:author ?author} . filter(regex(?name,'The Kindly Ones','i')) } LIMIT 100 "
7,"select distinct ?a ?name ?author ?isbn where { ?a rdf:type ?type . ?a dbpprop:name ?name . ?a dbpprop:isbn ?isbn . optional{?a dbpprop:author ?author} . filter(regex(?name,'The Kindly Ones','i')) } LIMIT 100 "
8,"select distinct ?a ?name ?author ?isbn where {
?a rdf:type ?type
. ?a dbpprop:name ?name
. ?a dbpprop:isbn ?isbn 
. optional{?a dbpprop:author ?author}
. optional{regex(?name,""Harry Potter and the Prisoner of Azkaban"",""i"")}
. filter(regex(?name,""Harry Potter and the Prisoner of Azkaban"",""i""))

} LIMIT 100"
9,"select distinct ?a ?name ?author ?isbn where {
?a rdf:type ?type
. ?a dbpprop:name ?name
. ?a dbpprop:isbn ?isbn 
. optional{?a dbpprop:author ?author.
regex(?name,""Harry Potter and the Prisoner of Azkaban"",""i"")
}
. filter(regex(?name,""Harry Potter and the Prisoner of Azkaban"",""i""))

} LIMIT 100"
10,"select distinct ?a ?name ?author ?isbn where {
?a rdf:type ?type
. ?a dbpprop:name ?name
. ?a dbpprop:isbn ?isbn 
. optional{?a dbpprop:author ?author.
regex(?name,""Harry Potter and the Prisoner of Azkaban"",""i"")}
. filter(regex(?name,""Harry Potter and the Prisoner of Azkaban"",""i""))

} LIMIT 100"
11,"select distinct ?a ?name ?author ?isbn where {
?a rdf:type ?type
. ?a dbpprop:name ?name
. ?a dbpprop:isbn ?isbn 
. optional{?a dbpprop:author ?author.
regex(?name,""Harry Potter and the Prisoner of Azkaban"",""i"")}
. filter(regex(?name,""Harry Potter and the Prisoner of Azkaban"",""i""))
} LIMIT 100"
12,"select distinct ?a ?name ?author ?isbn where {
?a rdf:type ?type
. ?a dbpprop:name ?name
. ?a dbpprop:isbn ?isbn 
. optional{?a dbpprop:author ?author.

regex(?name,""Harry Potter and the Prisoner of Azkaban"",""i"")}
. filter(regex(?name,""Harry Potter and the Prisoner of Azkaban"",""i""))
} LIMIT 100"
13,"select distinct ?a ?name ?author ?isbn where {
?a rdf:type ?type
. ?a dbpprop:name ?name
. ?a dbpprop:isbn ?isbn 
. optional{?a dbpprop:author ?author.}
. optional{filter(regex(?name,""Harry Potter and the Prisoner of Azkaban"",""i""))}
. filter(regex(?name,""Harry Potter and the Prisoner of Azkaban"",""i""))
} LIMIT 100"
14,"select distinct ?a ?name ?author ?isbn where {
?a rdf:type ?type
. ?a dbpprop:name ?name
. ?a dbpprop:isbn ?isbn 
. optional{?a dbpprop:author ?author.}
. optional{. ?a dbpprop:isbn ?isbn . filter(regex(?isbn,""Harry Potter and the Prisoner of Azkaban"",""i""))}
. filter(regex(?name,""Harry Potter and the Prisoner of Azkaban"",""i""))
} LIMIT 100"
15,"select distinct ?a ?name ?author ?isbn where {
?a rdf:type ?type
. ?a dbpprop:name ?name
. ?a dbpprop:isbn ?isbn 
. optional{?a dbpprop:author ?author.}
. optional{?a dbpprop:isbn ?isbn . filter(regex(?isbn,""Harry Potter and the Prisoner of Azkaban"",""i""))}
. filter(regex(?name,""Harry Potter and the Prisoner of Azkaban"",""i""))
} LIMIT 100"
16,"select distinct ?a ?name ?author ?isbn where {
?a rdf:type ?type
. ?a dbpprop:name ?name
. ?a dbpprop:isbn ?isbn 
. optional{?a dbpprop:author ?author.}
. optional{?a dbpprop:isbn ?isbn . filter(regex(?isbn,""The Kindly Ones"",""i""))}
. filter(regex(?name,""The Kindly Ones"",""i""))
} LIMIT 100"
17,"select distinct ?a ?name ?author ?isbn ?abstract where {
?a rdf:type ?type
. ?a dbpprop:name ?name
. ?a dbpprop:isbn ?isbn 
. ?a dbpedia-owl:abstract ?abstract
. optional{?a dbpprop:author ?author.}
. optional{?a dbpprop:isbn ?isbn . filter(regex(?isbn,""The Kindly Ones"",""i""))}
. filter(regex(?name,""The Kindly Ones"",""i""))
} LIMIT 100"
18,"select distinct ?a ?name ?author ?isbn ?abstract where {
?a rdf:type ?type
. ?a dbpprop:name ?name
. ?a dbpprop:isbn ?isbn 
. ?a dbpedia-owl:abstract ?abstract@""en""
. optional{?a dbpprop:author ?author.}
. optional{?a dbpprop:isbn ?isbn . filter(regex(?isbn,""The Kindly Ones"",""i""))}
. filter(regex(?name,""The Kindly Ones"",""i""))
} LIMIT 100"
19,"select distinct ?a ?name ?author ?isbn ?abstract where {
?a rdf:type ?type
. ?a dbpprop:name ?name
. ?a dbpprop:isbn ?isbn 
. ?a dbpedia-owl:abstract ?abstract
. optional{?a dbpprop:author ?author.}
. optional{?a dbpprop:isbn ?isbn . filter(regex(?isbn,""The Kindly Ones"",""i""))}
. filter(regex(?name,""The Kindly Ones"",""i""))
} LIMIT 100"
20,"select distinct ?a ?name ?author ?isbn ?abstract where {
?a rdf:type ?type
. ?a dbpprop:name ?name
. ?a dbpprop:isbn ?isbn 
. ?a dbpedia-owl:abstract ?abstract@en
. optional{?a dbpprop:author ?author.}
. optional{?a dbpprop:isbn ?isbn . filter(regex(?isbn,""The Kindly Ones"",""i""))}
. filter(regex(?name,""The Kindly Ones"",""i""))
} LIMIT 100"
21,"select distinct ?a ?name ?author ?isbn ?abstract@en where {
?a rdf:type ?type
. ?a dbpprop:name ?name
. ?a dbpprop:isbn ?isbn 
. ?a dbpedia-owl:abstract ?abstract
. optional{?a dbpprop:author ?author.}
. optional{?a dbpprop:isbn ?isbn . filter(regex(?isbn,""The Kindly Ones"",""i""))}
. filter(regex(?name,""The Kindly Ones"",""i""))
} LIMIT 100"
22,"select distinct ?a ?name ?author ?isbn ?abstractwhere {
?a rdf:type ?type
. ?a dbpprop:name ?name
. ?a dbpprop:isbn ?isbn 
. ?a dbpedia-owl:abstract ?abstract
. FILTER (LANGMATCHES(LANG(?abstract), 'en'))
. optional{?a dbpprop:author ?author.}
. optional{?a dbpprop:isbn ?isbn . filter(regex(?isbn,""The Kindly Ones"",""i""))}
. filter(regex(?name,""The Kindly Ones"",""i""))
} LIMIT 100"
