,query
0,"select distinct ?value
from <http://dbpedia.org/data/Berlin.rdf>
where
{
<http://dbpedia.org/resource/Berlin>rdf:type?value.
}
order by asc(?value)"
1,"select distinct ?value
from <http://dbpedia.org/data/Berlin.rdf>
where
{
<http://dbpedia.org/resource/Berlin>rdf:type?value.
}
order by asc(?value)"
2,"select distinct ?value
from <http://dbpedia.org/page/Berlin>
where
{
<http://dbpedia.org/resource/Berlin>rdf:type?value.
}
order by asc(?value)"
3,"select distinct ?value
from <http://dbpedia.org/resource/Berlin>
where
{
<http://dbpedia.org/resource/Berlin>rdf:type?value.
}
order by asc(?value)"
4,"prefix dbpediaOnt: <http://dbpedia.org/ontology/>
select distinct ?propertyName
from<http://downloads.dbpedia.org/3.4/dbpedia_3.4.owl>
where
{
?propertyName rdfs:domain dbpediaOnt:Person .
}"
5,"prefix dbpediaOnt: <http://dbpedia.org/ontology/>
select distinct ?propertyName
from<http://downloads.dbpedia.org/3.4/dbpedia_3.9.owl>
where
{
?propertyName rdfs:domain dbpediaOnt:Person .
}"
6,"prefix dbpediaOnt: <http://dbpedia.org/ontology/>
select distinct ?propertyName
from<http://downloads.dbpedia.org/3.9/dbpedia_3.9.owl>
where
{
?propertyName rdfs:domain dbpediaOnt:Person .
}"
7,"prefix dbpediaOnt: <http://dbpedia.org/ontology/>
select distinct ?propertyName
where
{
?propertyName rdfs:domain dbpediaOnt:Person .
}"
8,"prefix dbpediaOnt: <http://dbpedia.org/ontology/>
select distinct ?propertyName
where
{
?propertyName rdfs:domain dbpediaOnt:Person .
}"
9,"prefix dbpediaOnt: <http://dbpedia.org/ontology/>
select distinct ?propertyName
where
{
?propertyName rdfs:domain dbpediaOnt:TennisPlayer .
}"
10,"prefix dbpediaOnt: <http://dbpedia.org/ontology/>
select distinct ?propertyName
where
{
?propertyName rdfs:domain dbpediaOnt:Animal .
}"
11,"prefix dbpediaOnt: <http://dbpedia.org/ontology/>
select distinct ?propertyName
where
{
?propertyName rdfs:domain dbpediaOnt:Animal .
}"
12,"prefix dbpediaOnt: <http://dbpedia.org/ontology/>
select distinct ?propertyName
where
{
?propertyName rdfs:domain dbpediaOnt:Computer .
}"
13,"prefix dbpediaOnt: <http://dbpedia.org/ontology/>
select distinct ?propertyName
where
{
?propertyName rdfs:domain dbpediaOnt:Computer .
}"
14,"prefix dbpediaOnt: <http://dbpedia.org/resource/>
select distinct ?propertyName
where
{
?propertyName rdfs:domain dbpediaOnt:Computer .
}"
15,"prefix dbpediaOnt: <http://dbpedia.org/resource/>
select distinct ?propertyName
where
{
?propertyName rdfs:domain dbpediaOnt:Person .
}"
16,"prefix dbpediaOnt: <http://dbpedia.org/resource/>
select distinct ?propertyName
where
{
?propertyName rdfs:domain dbpediaOnt:Roger_Federer .
}"
17,"prefix dbpediaOnt: <http://dbpedia.org/resource/>
select distinct ?propertyName
where
{
?propertyName rdfs:domain dbpediaOnt:Roger .
}"
18,"prefix dbpediaOnt: <http://dbpedia.org/resource/>
select distinct ?propertyName
where
{
?propertyName dbpediaOnt:Name ""Fidel"".
}"
19,"prefix dbpediaOnt: <http://dbpedia.org/resource/>
select distinct ?propertyName
where
{
?propertyName dbpediaOnt:Name ""Roger"".
}"
20,"prefix dbpediaOnt: <http://dbpedia.org/resource/>
select distinct ?propertyName
where
{
?propertyName dbpediaOnt:Person:BirthName ""Roger"".
}"
21,"prefix dbpediaOnt: <http://dbpedia.org/resource/>
select distinct ?propertyName
where
{
?propertyName dbpediaOnt:Person:BirthName ""Roger"".
}"
22,"prefix dbpediaOnt: <http://dbpedia.org/resource/>
select distinct ?Giocatori_di_Tennis
where
{
?propertyName dbpediaOnt:TennisPlayer .
}"
23,"prefix dbpediaOnt: <http://dbpedia.org/ontology/>
select distinct ?Giocatori_di_Tennis
where
{
?propertyName dbpediaOnt:TennisPlayer .
}"
24,"prefix dbpediaOnt: <http://dbpedia.org/ontology/>
select distinct ?Giocatori_di_Tennis
where
{
?propertyName dbpediaOnt:TennisPlayer 
}"
25,"prefix dbpediaOnt: <http://dbpedia.org/ontology/>
select distinct ?Giocatori_di_Tennis
where
{
?propertyName dbpediaOnt:TennisPlayer 
}"
26,"prefix dbpediaOnt: <http://dbpedia.org/ontology/>
select distinct ?Giocatori_di_Tennis
where
{
?propertyName a dbpediaOnt:TennisPlayer 
}"
27,"prefix dbpediaOnt: <http://dbpedia.org/ontology/>
select distinct ?Giocatori_di_Tennis
where
{
?Giocatori_di_Tennis a dbpediaOnt:TennisPlayer 
}"
28,"prefix dbpediaOnt: <http://dbpedia.org/ontology/>
select distinct ?Giocatori di_Tennis
where
{
?Giocatori_di_Tennis a dbpediaOnt:TennisPlayer 
}"
29,"prefix dbpediaOnt: <http://dbpedia.org/ontology/>
select distinct ?Giocatori_di_Tennis
where
{
?Giocatori_di_Tennis a dbpediaOnt:TennisPlayer 
}"
30,"prefix dbpediaOnt: <http://dbpedia.org/ontology/>
select distinct ?proprietà
where
{
?proprietà a dbpediaOnt:Animal
}"
31,"prefix dbpediaOnt: <http://dbpedia.org/ontology/>
select distinct ?animali ?statocons
where
{
?proprietà a dbpediaOnt:Animal
?statocons a dbpediaOnt:ConservationStatus
}"
32,"prefix dbpediaOnt: <http://dbpedia.org/ontology/>
select distinct ?animali ?statocons
where
{
?proprietà a dbpediaOnt:Animal
?statocons a dbpediaOnt:ConservationStatus
}"
33,"prefix dbpediaOnt: <http://dbpedia.org/ontology/>
select distinct ?animali ?statocons
where
{
?animali a dbpediaOnt:Animal
?statocons a dbpediaOnt:ConservationStatus
}"
34,"prefix dbpediaOnt: <http://dbpedia.org/ontology/>
select distinct ?animali ?statocons
where
{
?animali a dbpediaOnt:Animal
?animali dbpediaOnt:ConservationStatus ?statocons
}"
35,"prefix dbpediaOnt: <http://dbpedia.org/ontology/>
select distinct ?animali ?statocons
where
{
?animali a dbpediaOnt:Animal
?animali dbpediaOnt:label ?statocons
}"
36,"prefix dbpediaOnt: <http://dbpedia.org/ontology/>
select distinct ?animali ?statocons
where
{
?animali a dbpediaOnt:Animal
?animali dbpediaOnt:birthPlace ?statocons
}"
37,"prefix dbpediaOnt: <http://dbpedia.org/ontology/>
select distinct ?animali ?statocons
where
{
?animali a dbpediaOnt:Animal .
?animali dbpediaOnt:birthPlace ?statocons
}"
