,id,answers
0,3,http://dbpedia.org/resource/%C3%80lex_Sim%C3%B3n_i_Casanovas http://dbpedia.org/resource/%C3%81kos_R%C3%A1thonyi http://dbpedia.org/resource/%C3%81ngel_Cheme http://dbpedia.org/resource/%C3%81ngel_Paz http://dbpedia.org/resource/%C3%81ngel_Picazo http://dbpedia.org/resource/%C3%81ngel_Torres http://dbpedia.org/resource/%C3%89douard_Deperthes http://dbpedia.org/resource/%C3%89mile_Nouguier http://dbpedia.org/resource/%C3%8Dris_Stefanelli http://dbpedia.org/resource/%C3%9Eorsteinn_Bjarnason http://dbpedia.org/resource/%C4%90uro_Ostoji%C4%87 http://dbpedia.org/resource/%C4%BDubom%C3%ADr_Mesz%C3%A1ro%C5%A1 http://dbpedia.org/resource/%C4%BDudov%C3%ADt_Cvetler http://dbpedia.org/resource/%C5%8Ce_Taku http://dbpedia.org/resource/%C8%98tefan_Procopiu http://dbpedia.org/resource/2007_CIS_Men's_Soccer_Championship http://dbpedia.org/resource/2008%E2%80%9309_KS_Vllaznia_Shkod%C3%ABr_season http://dbpedia.org/resource/A._Clarke http://dbpedia.org/resource/A._D._S._N._Prasad http://dbpedia.org/resource/A._G._V._Paley
1,4,http://dbpedia.org/resource/David_Wagner_(tennis) http://dbpedia.org/resource/Edgardo_Massa http://dbpedia.org/resource/Eirini_Georgatou http://dbpedia.org/resource/Federico_Luzzi http://dbpedia.org/resource/Frank_Froehling http://dbpedia.org/resource/Gr%C3%A9gory_Carraz http://dbpedia.org/resource/J%C3%A9r%C3%B4me_Potier http://dbpedia.org/resource/Jean-Fran%C3%A7ois_Bachelot http://dbpedia.org/resource/Josselin_Ouanna http://dbpedia.org/resource/K%C4%81rlis_Lejnieks http://dbpedia.org/resource/Mandy_Minella http://dbpedia.org/resource/Michael_Ryderstedt http://dbpedia.org/resource/Mike_Sangster http://dbpedia.org/resource/Ota_Fuk%C3%A1rek http://dbpedia.org/resource/Tara_Moore http://dbpedia.org/resource/Uros_Vico http://dbpedia.org/resource/Borut_Urh http://dbpedia.org/resource/Claire_Curran http://dbpedia.org/resource/Elena_Dementieva http://dbpedia.org/resource/Emily_Hood_Westacott
2,8,http://dbpedia.org/resource/David_Wagner_(tennis) http://dbpedia.org/resource/Edgardo_Massa http://dbpedia.org/resource/Eirini_Georgatou http://dbpedia.org/resource/Federico_Luzzi http://dbpedia.org/resource/Frank_Froehling http://dbpedia.org/resource/Gr%C3%A9gory_Carraz http://dbpedia.org/resource/J%C3%A9r%C3%B4me_Potier http://dbpedia.org/resource/Jean-Fran%C3%A7ois_Bachelot http://dbpedia.org/resource/Josselin_Ouanna http://dbpedia.org/resource/K%C4%81rlis_Lejnieks http://dbpedia.org/resource/Mandy_Minella http://dbpedia.org/resource/Michael_Ryderstedt http://dbpedia.org/resource/Mike_Sangster http://dbpedia.org/resource/Ota_Fuk%C3%A1rek http://dbpedia.org/resource/Tara_Moore http://dbpedia.org/resource/Uros_Vico http://dbpedia.org/resource/Borut_Urh http://dbpedia.org/resource/Claire_Curran http://dbpedia.org/resource/Elena_Dementieva http://dbpedia.org/resource/Emily_Hood_Westacott
3,9,http://dbpedia.org/resource/David_Wagner_(tennis) http://dbpedia.org/resource/Edgardo_Massa http://dbpedia.org/resource/Eirini_Georgatou http://dbpedia.org/resource/Federico_Luzzi http://dbpedia.org/resource/Frank_Froehling http://dbpedia.org/resource/Gr%C3%A9gory_Carraz http://dbpedia.org/resource/J%C3%A9r%C3%B4me_Potier http://dbpedia.org/resource/Jean-Fran%C3%A7ois_Bachelot http://dbpedia.org/resource/Josselin_Ouanna http://dbpedia.org/resource/K%C4%81rlis_Lejnieks http://dbpedia.org/resource/Mandy_Minella http://dbpedia.org/resource/Michael_Ryderstedt http://dbpedia.org/resource/Mike_Sangster http://dbpedia.org/resource/Ota_Fuk%C3%A1rek http://dbpedia.org/resource/Tara_Moore http://dbpedia.org/resource/Uros_Vico http://dbpedia.org/resource/Borut_Urh http://dbpedia.org/resource/Claire_Curran http://dbpedia.org/resource/Elena_Dementieva http://dbpedia.org/resource/Emily_Hood_Westacott
4,10,http://dbpedia.org/resource/David_Wagner_(tennis) http://dbpedia.org/resource/Edgardo_Massa http://dbpedia.org/resource/Eirini_Georgatou http://dbpedia.org/resource/Federico_Luzzi http://dbpedia.org/resource/Frank_Froehling http://dbpedia.org/resource/Gr%C3%A9gory_Carraz http://dbpedia.org/resource/J%C3%A9r%C3%B4me_Potier http://dbpedia.org/resource/Jean-Fran%C3%A7ois_Bachelot http://dbpedia.org/resource/Josselin_Ouanna http://dbpedia.org/resource/K%C4%81rlis_Lejnieks http://dbpedia.org/resource/Mandy_Minella http://dbpedia.org/resource/Michael_Ryderstedt http://dbpedia.org/resource/Mike_Sangster http://dbpedia.org/resource/Ota_Fuk%C3%A1rek http://dbpedia.org/resource/Tara_Moore http://dbpedia.org/resource/Uros_Vico http://dbpedia.org/resource/Borut_Urh http://dbpedia.org/resource/Claire_Curran http://dbpedia.org/resource/Elena_Dementieva http://dbpedia.org/resource/Emily_Hood_Westacott
5,100,http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2002/07/owl#Thing http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/TennisPlayer http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://xmlns.com/foaf/0.1/Person http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Agent http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://schema.org/Person http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Athlete http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Living_people http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Olympic_gold_medalists_for_Spain http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:People_from_Manacor http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Rafael_Nadal http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Spanish_football_chairmen_and_investors http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Spanish_male_models http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Australian_Open_champions http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:French_Open_champions http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Grand_Slam_(tennis)_champions_in_men's_singles http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Laureus_World_Sports_Awards_winners http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Olympic_medalists_in_tennis http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Tennis_players_at_the_2008_Summer_Olympics http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:US_Open_(tennis)_champions http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Wimbledon_champions http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:World_No._1_tennis_players http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:1986_births http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Spanish_agnostics http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Tennis_players_at_the_2004_Summer_Olympics http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Olympic_tennis_players_of_Spain http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Spanish_male_tennis_players http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Balearic_tennis_players http://dbpedia.org/ontology/birthDate http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Manacor http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Majorca http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Balearic_Islands http://dbpedia.org/ontology/abstract http://xmlns.com/foaf/0.1/surname http://xmlns.com/foaf/0.1/name http://purl.org/dc/elements/1.1/description http://xmlns.com/foaf/0.1/givenName http://dbpedia.org/ontology/careerPrizeMoney http://dbpedia.org/ontology/height http://dbpedia.org/ontology/plays http://dbpedia.org/ontology/residence http://dbpedia.org/resource/Manacor http://dbpedia.org/ontology/residence http://dbpedia.org/resource/Majorca http://dbpedia.org/ontology/residence http://dbpedia.org/resource/Balearic_Islands http://dbpedia.org/ontology/weight http://xmlns.com/foaf/0.1/nick http://xmlns.com/foaf/0.1/nick http://xmlns.com/foaf/0.1/nick
6,110,http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Living_people http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:1975_births http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:1998_FIFA_World_Cup_players http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:2002_FIFA_World_Cup_players http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:2006_FIFA_World_Cup_players http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:A.C._Milan_players http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Association_football_midfielders http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:BBC_Sports_Personality_of_the_Year_winners http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:British_expatriate_sportspeople_in_the_United_States http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:David_Beckham http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Designated_Players_(MLS) http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:England_international_footballers http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:England_under-21_international_footballers http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:England_youth_international_footballers http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:English_Football_Hall_of_Fame_inductees http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:English_bloggers http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:English_expatriate_footballers http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:English_expatriates_in_Italy http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:English_expatriates_in_Spain http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:English_expatriates_in_the_United_States http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:English_footballers http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:English_male_models http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:English_people_of_Jewish_descent http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Expatriate_footballers_in_Italy http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Expatriate_footballers_in_Spain http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Expatriate_soccer_players_in_the_United_States http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:FIFA_100 http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:FIFA_Century_Club http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:La_Liga_footballers http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Ligue_1_players http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Los_Angeles_Galaxy_players http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Major_League_Soccer_All-Stars http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Major_League_Soccer_players http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Manchester_United_F.C._players http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Officers_of_the_Order_of_the_British_Empire http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Paris_Saint-Germain_F.C._players http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:People_from_Leytonstone http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Premier_League_players http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Preston_North_End_F.C._players http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Real_Madrid_C.F._players http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Serie_A_footballers http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Sportspeople_from_London http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:The_Football_League_players http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:UEFA_Euro_2000_players http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:UEFA_Euro_2004_players http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Victoria_Beckham http://dbpedia.org/ontology/birthDate http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/England_national_football_team http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/London http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Leytonstone http://dbpedia.org/ontology/abstract http://xmlns.com/foaf/0.1/surname http://xmlns.com/foaf/0.1/name http://xmlns.com/foaf/0.1/name http://purl.org/dc/elements/1.1/description http://xmlns.com/foaf/0.1/givenName http://dbpedia.org/ontology/team http://dbpedia.org/resource/Preston_North_End_F.C. http://dbpedia.org/ontology/team http://dbpedia.org/resource/England_national_under-18_football_team http://dbpedia.org/ontology/team http://dbpedia.org/resource/England_national_football_team http://dbpedia.org/ontology/team http://dbpedia.org/resource/Manchester_United_F.C. http://dbpedia.org/ontology/team http://dbpedia.org/resource/Real_Madrid_C.F. http://dbpedia.org/ontology/team http://dbpedia.org/resource/Tottenham_Hotspur_F.C. http://dbpedia.org/ontology/team http://dbpedia.org/resource/Los_Angeles_Galaxy http://dbpedia.org/ontology/team http://dbpedia.org/resource/England_national_under-21_football_team http://dbpedia.org/ontology/team http://dbpedia.org/resource/A.C._Milan http://dbpedia.org/ontology/team http://dbpedia.org/resource/Paris_Saint-Germain_F.C. http://dbpedia.org/ontology/team http://dbpedia.org/resource/Brimsdown_Rovers_F.C. http://dbpedia.org/ontology/careerStation http://dbpedia.org/resource/David_Beckham__1 http://dbpedia.org/ontology/careerStation http://dbpedia.org/resource/David_Beckham__10 http://dbpedia.org/ontology/careerStation http://dbpedia.org/resource/David_Beckham__11 http://dbpedia.org/ontology/careerStation http://dbpedia.org/resource/David_Beckham__2 http://dbpedia.org/ontology/careerStation http://dbpedia.org/resource/David_Beckham__3 http://dbpedia.org/ontology/careerStation http://dbpedia.org/resource/David_Beckham__4 http://dbpedia.org/ontology/careerStation http://dbpedia.org/resource/David_Beckham__5 http://dbpedia.org/ontology/careerStation http://dbpedia.org/resource/David_Beckham__6 http://dbpedia.org/ontology/careerStation http://dbpedia.org/resource/David_Beckham__7 http://dbpedia.org/ontology/careerStation http://dbpedia.org/resource/David_Beckham__8 http://dbpedia.org/ontology/careerStation http://dbpedia.org/resource/David_Beckham__9 http://dbpedia.org/ontology/height http://dbpedia.org/ontology/number http://dbpedia.org/ontology/position
7,170,http://dbpedia.org/resource/%C3%80lex_Sim%C3%B3n_i_Casanovas http://dbpedia.org/resource/%C3%81kos_R%C3%A1thonyi http://dbpedia.org/resource/%C3%81ngel_Cheme http://dbpedia.org/resource/%C3%81ngel_Paz http://dbpedia.org/resource/%C3%81ngel_Picazo http://dbpedia.org/resource/%C3%81ngel_Torres http://dbpedia.org/resource/%C3%89douard_Deperthes http://dbpedia.org/resource/%C3%89mile_Nouguier http://dbpedia.org/resource/%C3%8Dris_Stefanelli http://dbpedia.org/resource/%C3%9Eorsteinn_Bjarnason http://dbpedia.org/resource/%C4%90uro_Ostoji%C4%87 http://dbpedia.org/resource/%C4%BDubom%C3%ADr_Mesz%C3%A1ro%C5%A1 http://dbpedia.org/resource/%C4%BDudov%C3%ADt_Cvetler http://dbpedia.org/resource/%C5%8Ce_Taku http://dbpedia.org/resource/%C8%98tefan_Procopiu http://dbpedia.org/resource/2007_CIS_Men's_Soccer_Championship http://dbpedia.org/resource/2008%E2%80%9309_KS_Vllaznia_Shkod%C3%ABr_season http://dbpedia.org/resource/A._Clarke http://dbpedia.org/resource/A._D._S._N._Prasad http://dbpedia.org/resource/A._G._V._Paley
8,173,"http://dbpedia.org/resource/American_Samoa http://dbpedia.org/resource/Russian_Empire http://dbpedia.org/resource/Russian_Empire http://dbpedia.org/resource/Russian_Empire http://dbpedia.org/resource/Russian_Empire http://dbpedia.org/resource/Frederiksberg http://dbpedia.org/resource/Tutova_County http://dbpedia.org/resource/Demaine,_Saskatchewan http://dbpedia.org/resource/Canelas,_Durango http://dbpedia.org/resource/Despotate_of_Arta http://dbpedia.org/resource/Karaveddy http://dbpedia.org/resource/Russian_Empire http://dbpedia.org/resource/Russian_Empire http://dbpedia.org/resource/Russian_Empire http://dbpedia.org/resource/Lur%C3%AB http://dbpedia.org/resource/American_Samoa http://dbpedia.org/resource/Russian_Empire http://dbpedia.org/resource/Russian_Empire http://dbpedia.org/resource/La_Rioja_(Spain) http://dbpedia.org/resource/R%C3%B8dovre"
9,174,http://dbpedia.org/resource/%C3%80lex_Sim%C3%B3n_i_Casanovas http://dbpedia.org/resource/%C3%81kos_R%C3%A1thonyi http://dbpedia.org/resource/%C3%81ngel_Cheme http://dbpedia.org/resource/%C3%81ngel_Paz http://dbpedia.org/resource/%C3%81ngel_Picazo http://dbpedia.org/resource/%C3%81ngel_Torres http://dbpedia.org/resource/%C3%89douard_Deperthes http://dbpedia.org/resource/%C3%89mile_Nouguier http://dbpedia.org/resource/%C3%8Dris_Stefanelli http://dbpedia.org/resource/%C3%9Eorsteinn_Bjarnason http://dbpedia.org/resource/%C4%90uro_Ostoji%C4%87 http://dbpedia.org/resource/%C4%BDubom%C3%ADr_Mesz%C3%A1ro%C5%A1 http://dbpedia.org/resource/%C4%BDudov%C3%ADt_Cvetler http://dbpedia.org/resource/%C5%8Ce_Taku http://dbpedia.org/resource/%C8%98tefan_Procopiu http://dbpedia.org/resource/2007_CIS_Men's_Soccer_Championship http://dbpedia.org/resource/2008%E2%80%9309_KS_Vllaznia_Shkod%C3%ABr_season http://dbpedia.org/resource/A._Clarke http://dbpedia.org/resource/A._D._S._N._Prasad http://dbpedia.org/resource/A._G._V._Paley
