,id,query,answers
0,0,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX dbo: <http://dbpedia.org/ontology/>

CONSTRUCT {
    ?car <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Luxury_vehicles> .
    ?car foaf:name ?name .
    ?car dbo:manufacturer ?man .
    ?man foaf:name ?manufacturer
}WHERE{
    ?car <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Luxury_vehicles> .
    ?car foaf:name ?name .
    ?car dbo:manufacturer ?man .
    ?man foaf:name ?manufacturer
} LIMIT 1000",http://dbpedia.org/resource/Nissan_Cedric http://dbpedia.org/ontology/manufacturer http://dbpedia.org/resource/Nissan_Motor_Company http://dbpedia.org/resource/Audi_V8 http://dbpedia.org/ontology/manufacturer http://dbpedia.org/resource/Audi
1,1,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
CONSTRUCT {
    ?game <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:First-person_shooters> .
    ?game foaf:name ?title .
}WHERE{
    ?game <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:First-person_shooters> .
    ?game foaf:name ?title .
} LIMIT 1000",http://dbpedia.org/resource/Ecks_vs._Sever http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:First-person_shooters http://dbpedia.org/resource/Counter-Strike http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:First-person_shooters
2,2,"CONSTRUCT {
?director <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Video_games> .
?director foaf:name ?name .
}WHERE{
?director <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Video_games> .
?director foaf:name ?name .
} LIMIT 1000",http://dbpedia.org/resource/Candy_Crush_Saga http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Video_games
3,3,"CONSTRUCT {
?game <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Books> .
?game foaf:name ?name .
}WHERE{
?game <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Books> .
?game foaf:name ?name .
} LIMIT 1000",http://dbpedia.org/resource/Book_TV http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Books
4,4,"CONSTRUCT {
?game <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Books> .
?game foaf:name ?name .
}WHERE{
?game <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Books> .
?game foaf:name ?name .
} LIMIT 1000",http://dbpedia.org/resource/Book_TV http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Books
5,5,"CONSTRUCT {
?game <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Party_games> .
?game foaf:name ?name .
}WHERE{
?game <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Party_games> .
?game foaf:name ?name .
} LIMIT 1000",http://dbpedia.org/resource/Cards_Against_Humanity http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Party_games
6,6,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
CONSTRUCT {
?actor <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Polish_actors> .
?actor foaf:name ?name .


}WHERE{
?actor <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Polish_actors> .
?actor foaf:name ?name .
OPTIONAL {
?actor rdfs:comment ?description_en .
FILTER (LANG(?description_en) = 'en') .
}
OPTIONAL {
?actor rdfs:comment ?description_pl .
FILTER (LANG(?description_pl) = 'pl') .
}
} LIMIT 1000",http://dbpedia.org/resource/Tomasz_Sapryk http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Polish_actors
7,7,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>

CONSTRUCT {
?game <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Party_games> .
?game foaf:name ?name .


}WHERE{
?game <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Party_games> .
?game foaf:name ?name .
OPTIONAL {
?game rdfs:comment ?opis_en .
FILTER (lang(?opis_en) = 'en') .
}
OPTIONAL {
?game rdfs:comment ?opis_pl .
FILTER (lang(?opis_pl) = 'pl') .
}
} LIMIT 1000",http://dbpedia.org/resource/The_Perfect_Present http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Party_games
8,8,"
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

CONSTRUCT {
?game <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Party_games> .
?game foaf:name ?name .


}WHERE{
?game <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Party_games> .
?game foaf:name ?name .
OPTIONAL {
?game rdfs:comment ?opis_en .
FILTER (lang(?opis_en) = 'en') .
}
OPTIONAL {
?game rdfs:comment ?opis_pl .
FILTER (lang(?opis_pl) = 'pl') .
}
} LIMIT 1000",http://dbpedia.org/resource/Twenty_Questions http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Party_games
9,9,"

CONSTRUCT {
?game <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Party_games> .
?game foaf:name ?name .


}WHERE{
?game <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Party_games> .
?game foaf:name ?name .
OPTIONAL {
?game rdfs:comment ?opis_en .
FILTER (lang(?opis_en) = 'en') .
}
OPTIONAL {
?game rdfs:comment ?opis_pl .
FILTER (lang(?opis_pl) = 'pl') .
}
} LIMIT 1000",http://dbpedia.org/resource/Lexiko http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Party_games
