,query
0,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?subject ?label ?released ?abstract WHERE {
?subject rdf:type <http://dbpedia.org/ontology/Film>.
?subject dbpedia2:starring <http://dbpedia.org/resource/Tom_Cruise>.
?subject rdfs:comment ?abstract.
?subject rdfs:label ?label.
FILTER(lang(?abstract) = ""en"" && lang(?label) = ""en"").
?subject <http://dbpedia.org/ontology/releaseDate> ?released.
FILTER(xsd:date(?released) < ""2000-01-01""^^xsd:date).
} ORDER BY ?released
LIMIT 20
"
1,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?subject ?label ?abstract WHERE{
?subject rdf:type <http://dbpedia.org/ontology/Book>.
?subject dbpedia2:author <http://dbpedia.org/resource/Jules_Verne>.
?subject rdfs:comment ?abstract.
FILTER (lang(?abstract) = ""fr"" && lang(?label) = ""fr"").
}
"
2,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?subject ?label ?abstract WHERE{
?subject rdf:type <http://dbpedia.org/ontology/Book>.
?subject dbpedia2:author <http://dbpedia.org/resource/Jules_Verne>.
?subject rdfs:comment ?abstract.
}
"
3,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?subject ?label ?abstract WHERE{
?subject rdf:type <http://dbpedia.org/ontology/Book>.
?subject dbpedia2:author <http://dbpedia.org/resource/Jules_Verne>.
?subject rdfs:label ?label.
?subject rdfs:comment ?abstract.
}
"
4,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?subject ?label ?abstract WHERE{
?subject rdf:type <http://dbpedia.org/ontology/Book>.
?subject dbpedia2:author <http://dbpedia.org/resource/Jules_Verne>.
?subject rdfs:label ?label.
?subject rdfs:comment ?abstract.
FILTER (lang(?abstract) = ""fr"" && lang(?label) = ""fr"").
}
"
5,"SELECT ?property ?hasValue ?isValueOf
WHERE {
  { <http://dbpedia.org/resource/A_Drama_in_Livonia> ?property ?hasValue }
  UNION
  { ?isValueOf ?property <http://dbpedia.org/resource/A_Drama_in_Livonia> }
}"
6,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?label ?released ?abstract ?acteur WHERE {
<http://dbpedia.org/resource/The_Chorus_(2004_film)> rdfs:label ?label.
<http://dbpedia.org/resource/The_Chorus_(2004_film)> rdfs:comment ?abstract.
<http://dbpedia.org/resource/The_Chorus_(2004_film)> <http://dbpedia.org/ontology/releaseDate> ?released.
<http://dbpedia.org/resource/The_Chorus_(2004_film)> dbpedia2:starring ?acteur.
FILTER(lang(?abstract) = ""fr"" && lang(?label) = ""fr"").
} ORDER BY ?released
LIMIT 20
"
7,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?label ?abstract ?genre ?aut ?released ?publisher WHERE {
<http://dbpedia.org/resource/A_Journey_to_the_Center_of_the_Earth> rdfs:label ?label.
<http://dbpedia.org/resource/A_Journey_to_the_Center_of_the_Earth> rdfs:comment ?abstract.
<http://dbpedia.org/resource/A_Journey_to_the_Center_of_the_Earth> dbpedia2:genre ?genre.
<http://dbpedia.org/resource/A_Journey_to_the_Center_of_the_Earth> dbpedia2:author ?aut.
<http://dbpedia.org/resource/A_Journey_to_the_Center_of_the_Earth> dbpedia2:publisher ?publisher.
<http://dbpedia.org/resource/A_Journey_to_the_Center_of_the_Earth> <http://dbpedia.org/ontology/releaseDate> ?released.
FILTER(lang(?abstract) = ""fr"" && lang(?label) = ""fr"").
} ORDER BY ?released
LIMIT 20
"
8,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?label ?abstract ?genre ?aut ?released ?publisher WHERE {
<http://dbpedia.org/resource/A_Journey_to_the_Center_of_the_Earth> rdfs:label ?label.
<http://dbpedia.org/resource/A_Journey_to_the_Center_of_the_Earth> rdfs:comment ?abstract.
<http://dbpedia.org/resource/A_Journey_to_the_Center_of_the_Earth> dbpedia2:genre ?genre.
<http://dbpedia.org/resource/A_Journey_to_the_Center_of_the_Earth> dbpedia2:author ?aut.
<http://dbpedia.org/resource/A_Journey_to_the_Center_of_the_Earth> dbpedia2:publisher ?publisher.
<http://dbpedia.org/resource/A_Journey_to_the_Center_of_the_Earth> <http://dbpedia.org/ontology/releaseDate> ?released.

} ORDER BY ?released
LIMIT 20
"
9,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?label ?abstract ?genre ?aut ?released ?publisher WHERE {
<http://dbpedia.org/resource/A_Journey_to_the_Center_of_the_Earth> rdfs:label ?label.
<http://dbpedia.org/resource/A_Journey_to_the_Center_of_the_Earth> rdfs:comment ?abstract.
<http://dbpedia.org/resource/A_Journey_to_the_Center_of_the_Earth> dbpedia2:genre ?genre.
<http://dbpedia.org/resource/A_Journey_to_the_Center_of_the_Earth> dbpedia2:author ?aut.
<http://dbpedia.org/resource/A_Journey_to_the_Center_of_the_Earth> dbpedia2:publisher ?publisher.
<http://dbpedia.org/resource/A_Journey_to_the_Center_of_the_Earth> <http://dbpedia.org/ontology/releaseDate> ?released.

} ORDER BY ?released
LIMIT 20
"
