,query
0,Select Distinct ?p_1 {?p_1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.w3.org/1999/02/22-rdf-syntax-ns#Property>}  Limit 10& 
1,"Select ?p_1 (Count(Distinct ?o_1) As ?_c_) {?s ?p_1 ?o_1 . Filter((?p_1 In (<http://dbpedia.org/property/!<Image>, <http://dbpedia.org/property/!<divAlign>, <http://dbpedia.org/property/!Author>, <http://dbpedia.org/property/!SeeWikipediaWikiprojectAlbums>Name>, <http://dbpedia.org/property/!bgcolor>, <http://dbpedia.org/property/!imageName>, <http://dbpedia.org/property/!logo>, <http://dbpedia.org/property/!name>, <http://dbpedia.org/property/$11,000,000Architect>, <http://dbpedia.org/property/$free>)))} Group By ?p_1 & "
2,Select (Count(Distinct ?p_1) As ?_c_) {?p_1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.w3.org/1999/02/22-rdf-syntax-ns#Property>} & 
3,Select (Count(Distinct ?fv_1) As ?_c_) {?s <http://dbpedia.org/property/$free> ?fv_1} & 
4,Select Distinct ?fv_1 {?s <http://dbpedia.org/property/$free> ?fv_1}  Limit 10& 
5,"Select (Count(Distinct ?fv_2) As ?_c_) {?s <http://dbpedia.org/property/$11,000,000Architect> ?fv_2} & "
6,"Select Distinct ?fv_2 {?s <http://dbpedia.org/property/$11,000,000Architect> ?fv_2}  Limit 10& "
7,Select (Count(Distinct ?p_1) As ?_c_) {?fv_1 ?p_1 ?o_1 . ?s <http://dbpedia.org/property/$free> ?fv_1} & 
8,Select Distinct ?p_1 {?fv_1 ?p_1 ?o_1 . ?s <http://dbpedia.org/property/$free> ?fv_1}  Limit 10& 
9,Select ?p_1 (Count(Distinct ?o_1) As ?_c_) {?fv_1 ?p_1 ?o_1 . ?s <http://dbpedia.org/property/$free> ?fv_1} Group By ?p_1 & 
10,Select Distinct ?p_1 {?fv_3 ?p_1 ?o_1 . ?s <http://dbpedia.org/property/!name> ?fv_3}  Limit 10& 
11,Select (Count(Distinct ?p_1) As ?_c_) {?fv_3 ?p_1 ?o_1 . ?s <http://dbpedia.org/property/!name> ?fv_3} & 
12,Select ?p_1 (Count(Distinct ?o_1) As ?_c_) {?fv_3 ?p_1 ?o_1 . ?s <http://dbpedia.org/property/!name> ?fv_3} Group By ?p_1 & 
13,Select Distinct ?p_1 {?p_1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.w3.org/1999/02/22-rdf-syntax-ns#Property>}  Limit 10& 
14,Select (Count(Distinct ?p_1) As ?_c_) {?p_1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.w3.org/1999/02/22-rdf-syntax-ns#Property>} & 
15,"Select ?p_1 (Count(Distinct ?o_1) As ?_c_) {?s ?p_1 ?o_1 . Filter((?p_1 In (<http://dbpedia.org/property/!<Image>, <http://dbpedia.org/property/!<divAlign>, <http://dbpedia.org/property/!Author>, <http://dbpedia.org/property/!SeeWikipediaWikiprojectAlbums>Name>, <http://dbpedia.org/property/!bgcolor>, <http://dbpedia.org/property/!imageName>, <http://dbpedia.org/property/!logo>, <http://dbpedia.org/property/!name>, <http://dbpedia.org/property/$11,000,000Architect>, <http://dbpedia.org/property/$free>)))} Group By ?p_1 & "
16,Select (Count(Distinct ?p_1) As ?_c_) {?fv_1 ?p_1 ?o_1 . ?s <http://dbpedia.org/property/!name> ?fv_1} & 
17,Select Distinct ?p_1 {?fv_1 ?p_1 ?o_1 . ?s <http://dbpedia.org/property/!name> ?fv_1}  Limit 10& 
18,Select ?p_1 (Count(Distinct ?o_1) As ?_c_) {?fv_1 ?p_1 ?o_1 . ?s <http://dbpedia.org/property/!name> ?fv_1} Group By ?p_1 & 
19,Select (Count(Distinct ?p_1) As ?_c_) {?fv_1 ?p_1 ?o_1 . ?s <http://dbpedia.org/property/!name> ?fv_1} & 
20,Select Distinct ?p_1 {?fv_1 ?p_1 ?o_1 . ?s <http://dbpedia.org/property/!name> ?fv_1}  Limit 10& 
21,Select ?p_1 (Count(Distinct ?o_1) As ?_c_) {?fv_1 ?p_1 ?o_1 . ?s <http://dbpedia.org/property/!name> ?fv_1} Group By ?p_1 & 
22,Select (Count(Distinct ?fv_1) As ?_c_) {?s <http://dbpedia.org/property/!name> ?fv_1} & 
23,Select Distinct ?fv_1 {?s <http://dbpedia.org/property/!name> ?fv_1}  Limit 10& 
24,Select (Count(Distinct ?fv_2) As ?_c_) {?s <http://dbpedia.org/property/!logo> ?fv_2} & 
25,Select Distinct ?fv_2 {?s <http://dbpedia.org/property/!logo> ?fv_2}  Limit 10& 
26,Select Distinct ?p_1 {?fv_1 ?p_1 ?o_1 . ?s <http://dbpedia.org/property/!bgcolor> ?fv_1}  Limit 10& 
27,Select (Count(Distinct ?p_1) As ?_c_) {?fv_1 ?p_1 ?o_1 . ?s <http://dbpedia.org/property/!bgcolor> ?fv_1} & 
28,Select ?p_1 (Count(Distinct ?o_1) As ?_c_) {?fv_1 ?p_1 ?o_1 . ?s <http://dbpedia.org/property/!bgcolor> ?fv_1} Group By ?p_1 & 
29,Select (Count(Distinct ?p_1) As ?_c_) {?fv_1 ?p_1 ?o_1 . ?s <http://dbpedia.org/property/!imageName> ?fv_1} & 
30,Select Distinct ?p_1 {?fv_1 ?p_1 ?o_1 . ?s <http://dbpedia.org/property/!imageName> ?fv_1}  Limit 10& 
