,query
0,"PREFIX rdf: <http://www.w3.org/1999/02/22­rdf­syntax­ns#>
PREFIX dbpedia: <http://dbpedia.org/>
SELECT ?subject
WHERE {
?subject a <http://dbpedia.org/ontology/Film>.
}
LIMIT 100
"
1,"PREFIX rdf: <http://www.w3.org/1999/02/22­rdf­syntax­ns#>
PREFIX dbpedia: <http://dbpedia.org/>
SELECT ?subject
WHERE {
?subject a <http://dbpedia.org/ontology/Film>.
}
"
2,"PREFIX rdf: <http://www.w3.org/1999/02/22rdfsyntaxns#>
PREFIX dbpedia: <http://dbpedia.org/>
SELECT ?subject ?starring
WHERE {
?subject rdf:type <http://dbpedia.org/ontology/Film>.
?subject dbpediaowl:
starring ?starring.
}
LIMIT 100"
3,"PREFIX rdf: <http://www.w3.org/1999/02/22­rdf­syntax­ns#>
PREFIX dbpedia: <http://dbpedia.org/>
SELECT ?subject
WHERE {
?subject a <http://dbpedia.org/ontology/Film>.
}
LIMIT 100"
4,"SELECT ?subject WHERE { ?subject rdf:type <http://dbpedia.org/ontology/Film>. }
"
5,PREFIX rdf: <http://www.w3.org/1999/02/22­rdf­syntax­ns#> PREFIX dbpedia: <http://dbpedia.org/> SELECT ?subject WHERE { ?subject a <http://dbpedia.org/ontology/Film>. } LIMIT 100
6,"PREFIX rdf: <http://www.w3.org/1999/02/22rdfsyntaxns#>
PREFIX dbpedia: <http://dbpedia.org/>
SELECT ?subject
WHERE {
?subject a <http://dbpedia.org/ontology/Film>.
}
LIMIT 100"
7,"PREFIX rdf: <http://www.w3.org/1999/02/22­rdf­syntax­ns#>
PREFIX dbpedia: <http://dbpedia.org/>
SELECT ?subject
WHERE {
   ?subject a <http://dbpedia.org/ontology/Film>.
}
LIMIT 100"
8,"SELECT ?subject WHERE { ?subject rdf:type <http://dbpedia.org/ontology/Film>. } LIMIT 100
"
9,PREFIX rdf: <http://www.w3.org/1999/02/22­rdf­syntax­ns#> PREFIX dbpedia: <http://dbpedia.org/> SELECT ?subject WHERE { ?subject a <http://dbpedia.org/ontology/Film>. } LIMIT 100
10,"PREFIX rdf: <http://www.w3.org/1999/02/22­rdf­syntax­ns#> 

  PREFIX dbpedia: <http://dbpedia.org/> 



 SELECT ?subject 

 WHERE { 

 ?subject a <http://dbpedia.org/ontology/Film>. 

 } 

  LIMIT 100"
11,"PREFIX rdf: <http://www.w3.org/1999/02/22rdfsyntaxns#>
PREFIX dbpedia: <http://dbpedia.org/>
SELECT ?subject
WHERE {
?subject a <http://dbpedia.org/ontology/Film/Tempo>.
}
LIMIT 100"
12,"PREFIX rdf: <http://www.w3.org/1999/02/22­rdf­syntax­ns#>
 PREFIX dbpedia: <http://dbpedia.org/> 
SELECT ?subject WHERE { 
?subject a <http://dbpedia.org/ontology/Film>. } LIMIT 100"
13,"PREFIX rdf: <http://www.w3.org/1999/02/22rdfsyntaxns#>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
SELECT ?subject, ?film_name
WHERE {
?subject rdf:type <http://dbpedia.org/ontology/Film>.
?subject dbpediaowl:
starring ?starring.
?subject foaf:name ?film_name.
FILTER(?starring = rsc:Tom_Cruise)
}
LIMIT 100"
14,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX dbpedia: <http://dbpedia.org/>

SELECT ?subject 
WHERE {
?subject a <http://dbpedia.org/ontology/Film>.
} 
LIMIT 100"
15,"PREFIX rdf: <http://www.w3.org/1999/02/22rdfsyntaxns#>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>

SELECT ?subject, ?film_name
WHERE {
?subject rdf:type <http://dbpedia.org/ontology/Film>.
?subject dbpediaowl:
starring ?starring.
?subject foaf:name ?film_name.
FILTER(?starring = rsc:Tom_Cruise)
}
LIMIT 100"
16,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX dbpedia: <http://dbpedia.org/>

SELECT ?subject 
WHERE {
?subject a <http://dbpedia.org/ontology/Film>.
} 
LIMIT 100"
17,PREFIX rdf: <http://www.w3.org/1999/02/22­rdf­syntax­ns#> PREFIX dbpedia: <http://dbpedia.org/> SELECT ?subject WHERE { ?subject a <http://dbpedia.org/ontology/Film>. } LIMIT 100
18,PREFIX rdf: <http://www.w3.org/1999/02/22­rdf­syntax­ns#> PREFIX dbpedia: <http://dbpedia.org/> SELECT ?subject WHERE { ?subject a <http://dbpedia.org/ontology/Film>. } LIMIT 100
19,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX dbpedia: <http://dbpedia.org/>

SELECT ?subject
WHERE {?subject rdf:type <http://dbpedia.org/ontology/Film>}"
20,"PREFIX rdf: <http://www.w3.org/1999/02/22rdfsyntaxns#>
PREFIX dbpedia: <http://dbpedia.org/>
SELECT ?subject ?starring
WHERE {
?subject rdf:type <http://dbpedia.org/ontology/Film>.
?subject dbpediaowl:
starring ?starring.
}
LIMIT 100"
21,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX dbpedia: <http://dbpedia.org/>

SELECT ?subject
WHERE {?subject rdf:type <http://dbpedia.org/ontology/Film>}"
22,"PREFIX rdf: <http://www.w3.org/1999/02/22rdfsyntaxns#>
PREFIX dbpedia: <http://dbpedia.org/>

SELECT ?subject ?starring
WHERE {
?subject rdf:type <http://dbpedia.org/ontology/Film>.
?subject dbpediaowl:
starring ?starring.
}
LIMIT 100"
23,"PREFIX rdf: <http://www.w3.org/1999/02/22­rdf­syntax­ns#>
 PREFIX dbpedia: <http://dbpedia.org/> 
SELECT ?subject WHERE { 
?subject a <http://dbpedia.org/ontology/Film>. } LIMIT 100"
