,query
0,"PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX :<http://dbpedia.org/resource/>
PREFIX dbpedia2:<http://dbpedia.org/property>
PREFIX dbpedia:<http://dbpedia.org/>
PREFIX dbpedia3:<http://dbpedia.org/ontology>

SELECT distinct
?name ?birth ?person WHERE 
{?person dbpedia2:birthPlace <http://dbpedia.org/resource/Berlin>.
?person dbpedia2:birth ?birth. 
?person faof: name ? name
} ORDER BY ?name"
1,"PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX :<http://dbpedia.org/resource/>
PREFIX dbpedia2:<http://dbpedia.org/property>
PREFIX dbpedia:<http://dbpedia.org/>
PREFIX dbpedia3:<http://dbpedia.org/ontology>

SELECT distinct
?name ?birth ?person WHERE 
{?person dbpedia2:birthPlace <http://dbpedia.org/resource/Berlin>.
?person dbpedia2:birth ?birth. 
?person faof: name ? name.
} ORDER BY ?name"
2,"PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX :<http://dbpedia.org/resource/>
PREFIX dbpedia2:<http://dbpedia.org/property>
PREFIX dbpedia:<http://dbpedia.org/>
PREFIX dbpedia3:<http://dbpedia.org/ontology>

SELECT distinct
?name ?birth ?person WHERE 
{?person dbpedia2:birthPlace <http://dbpedia.org/resource/Berlin>.
?person dbpedia2:birth ?birth. 
?person foaf: name ?name.
} ORDER BY ?name"
3,"PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX :<http://dbpedia.org/resource/>
PREFIX dbpedia2:<http://dbpedia.org/property>
PREFIX dbpedia:<http://dbpedia.org/>
PREFIX dbpedia3:<http://dbpedia.org/ontology>

SELECT distinct
?name ?birth ?person WHERE 
{?person dbpedia2:birthPlace <http://dbpedia.org/resource/Berlin>.
?person dbpedia2:birth ?birth. 
?person foaf:name ?name.
} ORDER BY ?name"
4,"PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX :<http://dbpedia.org/resource/>
PREFIX dbpedia2:<http://dbpedia.org/property>
PREFIX dbpedia:<http://dbpedia.org/>
PREFIX dbpedia3:<http://dbpedia.org/ontology>

SELECT distinct
?name ?birth ?person WHERE 
{?person dbpedia2:birthPlace <http://dbpedia.org/resource/Berlin>.
?person dbpedia2:birth ?birth. 
?person foaf:name ?name.
} ORDER BY ?name"
5,"PREFIX :<http://dbpedia.org/resource/>
PREFIX dbpedia2:<http://dbpedia.org/property>
PREFIX dbpedia:<http://dbpedia.org/>
PREFIX dbpedia3:<http://dbpedia.org/ontology>

SELECT distinct
?name ?birth ?person WHERE 
{?person dbpedia2:birthPlace <http://dbpedia.org/resource/Berlin>.
?person dbpedia2:birth ?birth. 
?person foaf: name ?name.
} ORDER BY ?name

SELECT ?name
WHERE {
?name a do:Person.
?person dbpedia2:birthPlace <http://dbpedia.org/resource/Berlin>.
?name do:plays ?instrument.
?instrument dbpedia:guitare.
}
"
6,"PREFIX :<http://dbpedia.org/resource/>
PREFIX dbpedia2:<http://dbpedia.org/property>
PREFIX dbpedia:<http://dbpedia.org/>
PREFIX dbpedia3:<http://dbpedia.org/ontology>


SELECT ?name
WHERE {
?name a do:Person.
?person dbpedia2:birthPlace <http://dbpedia.org/resource/Berlin>.
?name do:plays ?instrument.
?instrument dbpedia:guitare.
}
"
7,"PREFIX :<http://dbpedia.org/resource/>
PREFIX dbpedia2:<http://dbpedia.org/property>
PREFIX dbpedia:<http://dbpedia.org/>
PREFIX dbpedia3:<http://dbpedia.org/ontology>



SELECT ?name
WHERE {
?name a do:Person.
?person dbpedia2:birthPlace <http://dbpedia.org/resource/Berlin>.

}
"
8,"PREFIX :<http://dbpedia.org/resource/>
PREFIX dbpedia2:<http://dbpedia.org/property>
PREFIX dbpedia:<http://dbpedia.org/>
PREFIX dbpedia3:<http://dbpedia.org/ontology>



SELECT ?name
WHERE {
?name a dbpedia-owl:Person.
?person dbpedia2:birthPlace <http://dbpedia.org/resource/Berlin>.

}
"
9,"PREFIX :<http://dbpedia.org/resource/>
PREFIX dbpedia2:<http://dbpedia.org/property>
PREFIX dbpedia:<http://dbpedia.org/>
PREFIX dbpedia3:<http://dbpedia.org/ontology>



SELECT ?name
WHERE {
?name a dbpedia-owl:Person.
?person dbpedia2:birthPlace <http://dbpedia.org/resource/Berlin>.

}
"
