,query,results,error
0,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Roman_Urdu> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
1,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Cognitive_linguistics> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
2,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Typed_lambda_calculus> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
3,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/GNU_Lesser_General_Public_License> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
4,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Weak_generative_capacity> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
5,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Airbag> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
6,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic4_16440_8>},0.0,
7,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Multilevel_model> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
8,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Stationary_distribution> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
9,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Access_network> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
10,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic4_17772_8>},0.0,
11,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic4_18956_8>},0.0,
