,query
0,PREFIX dbprop:       <http://dbpedia.org/property/>            PREFIX dbpedia-owl:  <http://dbpedia.org/ontology/>            PREFIX foaf:         <http://xmlns.com/foaf/0.1/>            PREFIX rdfs:         <http://www.w3.org/2000/01/rdf-schema#>            SELECT ?label WHERE {             {               { <http://dbpedia.org/resource/Scotland> rdfs:label ?label .                 FILTER(lang(?label) = 'en') . }               UNION               {                 OPTIONAL {                   <http://dbpedia.org/resource/Scotland> rdfs:label ?noLabelInThatLang .                   FILTER(lang(?noLabelInThatLang) = 'en') .                 }                 FILTER(!bound(?noLabelInThatLang)) .                 <http://dbpedia.org/resource/Scotland> rdfs:label ?label .                 FILTER(lang(?label) = 'en') .               }             }             <http://dbpedia.org/resource/Scotland> a dbpedia-owl:Agent .           }
1,PREFIX dbpedia-owl:  <http://dbpedia.org/ontology/>            PREFIX rdfs:         <http://www.w3.org/2000/01/rdf-schema#>            SELECT ?label WHERE {             {               { <http://dbpedia.org/resource/Scotland> rdfs:label ?label .                 FILTER(lang(?label) = 'en') . }               UNION               {                 OPTIONAL {                   <http://dbpedia.org/resource/Scotland> rdfs:label ?noLabelInThatLang .                   FILTER(lang(?noLabelInThatLang) = 'en') .                 }                 FILTER(!bound(?noLabelInThatLang)) .                 <http://dbpedia.org/resource/Scotland> rdfs:label ?label .                 FILTER(lang(?label) = 'en') .               }             }             OPTIONAL {               <http://dbpedia.org/resource/Scotland> a ?type .               FILTER(?type = dbpedia-owl:Agent || ?type = dbpedia-owl:Place || ?type = <http://www.opengis.net/gml/_Feature>)             }             FILTER(!bound(?type))           }
2,PREFIX dbprop:       <http://dbpedia.org/property/>            PREFIX dbpedia-owl:  <http://dbpedia.org/ontology/>            PREFIX foaf:         <http://xmlns.com/foaf/0.1/>            PREFIX rdfs:         <http://www.w3.org/2000/01/rdf-schema#>            SELECT ?label WHERE {             {               { <http://dbpedia.org/resource/Hamburger> rdfs:label ?label .                 FILTER(lang(?label) = 'en') . }               UNION               {                 OPTIONAL {                   <http://dbpedia.org/resource/Hamburger> rdfs:label ?noLabelInThatLang .                   FILTER(lang(?noLabelInThatLang) = 'en') .                 }                 FILTER(!bound(?noLabelInThatLang)) .                 <http://dbpedia.org/resource/Hamburger> rdfs:label ?label .                 FILTER(lang(?label) = 'en') .               }             }             <http://dbpedia.org/resource/Hamburger> a dbpedia-owl:Agent .           }
3,PREFIX dbpedia-owl:  <http://dbpedia.org/ontology/>            PREFIX rdfs:         <http://www.w3.org/2000/01/rdf-schema#>            SELECT ?label WHERE {             {               { <http://dbpedia.org/resource/Hamburger> rdfs:label ?label .                 FILTER(lang(?label) = 'en') . }               UNION               {                 OPTIONAL {                   <http://dbpedia.org/resource/Hamburger> rdfs:label ?noLabelInThatLang .                   FILTER(lang(?noLabelInThatLang) = 'en') .                 }                 FILTER(!bound(?noLabelInThatLang)) .                 <http://dbpedia.org/resource/Hamburger> rdfs:label ?label .                 FILTER(lang(?label) = 'en') .               }             }             OPTIONAL {               <http://dbpedia.org/resource/Hamburger> a ?type .               FILTER(?type = dbpedia-owl:Agent || ?type = dbpedia-owl:Place || ?type = <http://www.opengis.net/gml/_Feature>)             }             FILTER(!bound(?type))           }
4,PREFIX dbprop:       <http://dbpedia.org/property/>            PREFIX dbpedia-owl:  <http://dbpedia.org/ontology/>            PREFIX foaf:         <http://xmlns.com/foaf/0.1/>            PREFIX rdfs:         <http://www.w3.org/2000/01/rdf-schema#>            SELECT ?label WHERE {             {               { <http://dbpedia.org/resource/North_Lanarkshire> rdfs:label ?label .                 FILTER(lang(?label) = 'en') . }               UNION               {                 OPTIONAL {                   <http://dbpedia.org/resource/North_Lanarkshire> rdfs:label ?noLabelInThatLang .                   FILTER(lang(?noLabelInThatLang) = 'en') .                 }                 FILTER(!bound(?noLabelInThatLang)) .                 <http://dbpedia.org/resource/North_Lanarkshire> rdfs:label ?label .                 FILTER(lang(?label) = 'en') .               }             }             <http://dbpedia.org/resource/North_Lanarkshire> a dbpedia-owl:Agent .           }
5,PREFIX dbpedia-owl:  <http://dbpedia.org/ontology/>            PREFIX rdfs:         <http://www.w3.org/2000/01/rdf-schema#>            SELECT ?label WHERE {             {               { <http://dbpedia.org/resource/North_Lanarkshire> rdfs:label ?label .                 FILTER(lang(?label) = 'en') . }               UNION               {                 OPTIONAL {                   <http://dbpedia.org/resource/North_Lanarkshire> rdfs:label ?noLabelInThatLang .                   FILTER(lang(?noLabelInThatLang) = 'en') .                 }                 FILTER(!bound(?noLabelInThatLang)) .                 <http://dbpedia.org/resource/North_Lanarkshire> rdfs:label ?label .                 FILTER(lang(?label) = 'en') .               }             }             OPTIONAL {               <http://dbpedia.org/resource/North_Lanarkshire> a ?type .               FILTER(?type = dbpedia-owl:Agent || ?type = dbpedia-owl:Place || ?type = <http://www.opengis.net/gml/_Feature>)             }             FILTER(!bound(?type))          %
6,PREFIX dbprop:       <http://dbpedia.org/property/>            PREFIX dbpedia-owl:  <http://dbpedia.org/ontology/>            PREFIX foaf:         <http://xmlns.com/foaf/0.1/>            PREFIX rdfs:         <http://www.w3.org/2000/01/rdf-schema#>            SELECT ?label WHERE {             {               { <http://dbpedia.org/resource/DNA> rdfs:label ?label .                 FILTER(lang(?label) = 'en') . }               UNION               {                 OPTIONAL {                   <http://dbpedia.org/resource/DNA> rdfs:label ?noLabelInThatLang .                   FILTER(lang(?noLabelInThatLang) = 'en') .                 }                 FILTER(!bound(?noLabelInThatLang)) .                 <http://dbpedia.org/resource/DNA> rdfs:label ?label .                 FILTER(lang(?label) = 'en') .               }             }             <http://dbpedia.org/resource/DNA> a dbpedia-owl:Agent .           }
7,PREFIX dbpedia-owl:  <http://dbpedia.org/ontology/>            PREFIX rdfs:         <http://www.w3.org/2000/01/rdf-schema#>            SELECT ?label WHERE {             {               { <http://dbpedia.org/resource/DNA> rdfs:label ?label .                 FILTER(lang(?label) = 'en') . }               UNION               {                 OPTIONAL {                   <http://dbpedia.org/resource/DNA> rdfs:label ?noLabelInThatLang .                   FILTER(lang(?noLabelInThatLang) = 'en') .                 }                 FILTER(!bound(?noLabelInThatLang)) .                 <http://dbpedia.org/resource/DNA> rdfs:label ?label .                 FILTER(lang(?label) = 'en') .               }             }             OPTIONAL {               <http://dbpedia.org/resource/DNA> a ?type .               FILTER(?type = dbpedia-owl:Agent || ?type = dbpedia-owl:Place || ?type = <http://www.opengis.net/gml/_Feature>)             }             FILTER(!bound(?type))           }
8,PREFIX dbprop:       <http://dbpedia.org/property/>            PREFIX dbpedia-owl:  <http://dbpedia.org/ontology/>            PREFIX foaf:         <http://xmlns.com/foaf/0.1/>            PREFIX rdfs:         <http://www.w3.org/2000/01/rdf-schema#>            SELECT ?label WHERE {             {               { <http://dbpedia.org/resource/Birds_Eye> rdfs:label ?label .                 FILTER(lang(?label) = 'en') . }               UNION               {                 OPTIONAL {                   <http://dbpedia.org/resource/Birds_Eye> rdfs:label ?noLabelInThatLang .                   FILTER(lang(?noLabelInThatLang) = 'en') .                 }                 FILTER(!bound(?noLabelInThatLang)) .                 <http://dbpedia.org/resource/Birds_Eye> rdfs:label ?label .                 FILTER(lang(?label) = 'en') .               }             }             <http://dbpedia.org/resource/Birds_Eye> a dbpedia-owl:Agent .           }
9,PREFIX dbpedia-owl:  <http://dbpedia.org/ontology/>            PREFIX rdfs:         <http://www.w3.org/2000/01/rdf-schema#>            SELECT ?label WHERE {             {               { <http://dbpedia.org/resource/Birds_Eye> rdfs:label ?label .                 FILTER(lang(?label) = 'en') . }               UNION               {                 OPTIONAL {                   <http://dbpedia.org/resource/Birds_Eye> rdfs:label ?noLabelInThatLang .                   FILTER(lang(?noLabelInThatLang) = 'en') .                 }                 FILTER(!bound(?noLabelInThatLang)) .                 <http://dbpedia.org/resource/Birds_Eye> rdfs:label ?label .                 FILTER(lang(?label) = 'en') .               }             }             OPTIONAL {               <http://dbpedia.org/resource/Birds_Eye> a ?type .               FILTER(?type = dbpedia-owl:Agent || ?type = dbpedia-owl:Place || ?type = <http://www.opengis.net/gml/_Feature>)             }             FILTER(!bound(?type))           }
