,query
0,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX rif: <http://www.w3.org/2007/rif#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dbpedia: <http://dbpedia.org/resource/>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>
PREFIX dbpprop: <http://dbpedia.org/property/>
PREFIX geo: <http://www.w3.org/2003/01/geo/wgs84_pos#>
PREFIX dc: <http://purl.org/dc/terms/>

                SELECT ?name ?long ?lat
                WHERE {
                  ?c a          yago:CapitalsInEurope ;
                     rdfs:label ?name ;
                     geo:long   ?long ;
                     geo:lat    ?lat .
                     FILTER( lang(?name)=""en"" )
                }
             "
1,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX rif: <http://www.w3.org/2007/rif#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dbpedia: <http://dbpedia.org/resource/>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>
PREFIX dbpprop: <http://dbpedia.org/property/>
PREFIX geo: <http://www.w3.org/2003/01/geo/wgs84_pos#>
PREFIX dc: <http://purl.org/dc/terms/>

                SELECT ?name ?long ?lat
                WHERE {
                  ?c a          yago:CapitalsInEurope ;
                     rdfs:label ?name ;
                     geo:long   ?long ;
                     geo:lat    ?lat .
                     FILTER( lang(?name)=""en"" )
                }
               "
2,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?film
WHERE { ?film <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:French_films> }"
3,"SELECT ?property ?hasValue ?isValueOf
WHERE {
  { <http://dbpedia.org/resource/Sarah's_Key> ?property ?hasValue }
  UNION
  { ?isValueOf ?property <http://dbpedia.org/resource/Sarah's_Key> }
}"
4,"SELECT ?property ?hasValue ?isValueOf
WHERE {
  { <http://dbpedia.org/class/yago/French-languageFilms> ?property ?hasValue }
  UNION
  { ?isValueOf ?property <http://dbpedia.org/class/yago/French-languageFilms> }
}"
5,"PREFIX : <http://dbpedia.org/resource/>
PREFIX dbp: <http://dbpedia.org/ontology/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX wgs: <http://www.w3.org/2003/01/geo/wgs84_pos#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT DISTINCT ?label ?sub ?date ?place ?lat ?lon
WHERE {
?sub rdf:type dbp:LawFirm;
rdfs:label ?label;
?pred_place ?place;
dbp:foundingDate ?date;
dbp:headquarter ?place.
?place rdf:type ?class ;
wgs:lat ?lat ;
wgs:long ?lon. 
?class rdfs:subClassOf* dbp:PopulatedPlace .
FILTER ( ?date >= '2013-01-01'^^xsd:date && ?date <= ""2014-01-01""^^xsd:date )
FILTER ( ?lat >= ""49.955269""^^xsd:float && ?lat <= ""60.6311""^^xsd:float && ?lon <= ""1.7425""^^xsd:float && ?lon >= ""-8.164723""^^xsd:float )
FILTER ( langMatches(lang(?label), ""EN""))
}
ORDER BY ASC(?date)"
6,"PREFIX : <http://dbpedia.org/resource/>
PREFIX dbp: <http://dbpedia.org/ontology/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX wgs: <http://www.w3.org/2003/01/geo/wgs84_pos#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT DISTINCT ?label ?sub ?date ?place ?lat ?lon
WHERE {
?sub rdf:type dbp:Artist;
rdfs:label ?label;
?pred_place ?place;
dbp:birthDate ?date;
dbp:birthPlace ?place.
?place rdf:type ?class ;
wgs:lat ?lat ;
wgs:long ?lon. 
?class rdfs:subClassOf* dbp:PopulatedPlace .
FILTER ( ?date >= '1985-01-01'^^xsd:date && ?date <= ""2014-01-01""^^xsd:date )
FILTER ( ?lat >= ""41.366379""^^xsd:float && ?lat <= ""51.091099""^^xsd:float && ?lon <= ""9.543055""^^xsd:float && ?lon >= ""-4.790556""^^xsd:float )
FILTER ( langMatches(lang(?label), ""EN""))
}
ORDER BY ASC(?date)"
7,"SELECT ?abstract
WHERE {
<http://dbpedia.org/resource/Lorena_(singer)> <http://dbpedia.org/ontology/abstract> ?abstract .
FILTER ( langMatches(lang(?abstract), ""en""))
}"
8,"SELECT DISTINCT lang(?abstract) as ?lang
WHERE {
<http://dbpedia.org/resource/Lorena_(singer)> <http://dbpedia.org/ontology/abstract> ?abstract .
}"
9,"SELECT ?abstract
WHERE {
<http://dbpedia.org/resource/C-Sick> <http://dbpedia.org/ontology/abstract> ?abstract .
FILTER ( langMatches(lang(?abstract), ""en""))
}"
10,"SELECT DISTINCT lang(?abstract) as ?lang
WHERE {
<http://dbpedia.org/resource/C-Sick> <http://dbpedia.org/ontology/abstract> ?abstract .
}"
11,"SELECT ?abstract
WHERE {
<http://dbpedia.org/resource/Leslie_(singer)> <http://dbpedia.org/ontology/abstract> ?abstract .
FILTER ( langMatches(lang(?abstract), ""en""))
}"
12,"SELECT DISTINCT lang(?abstract) as ?lang
WHERE {
<http://dbpedia.org/resource/Leslie_(singer)> <http://dbpedia.org/ontology/abstract> ?abstract .
}"
13,"SELECT ?abstract
WHERE {
<http://dbpedia.org/resource/Jacopo_Sarno> <http://dbpedia.org/ontology/abstract> ?abstract .
FILTER ( langMatches(lang(?abstract), ""en""))
}"
14,"SELECT DISTINCT lang(?abstract) as ?lang
WHERE {
<http://dbpedia.org/resource/Jacopo_Sarno> <http://dbpedia.org/ontology/abstract> ?abstract .
}"
15,"SELECT ?abstract
WHERE {
<http://dbpedia.org/resource/Jérémy_Amelin> <http://dbpedia.org/ontology/abstract> ?abstract .
FILTER ( langMatches(lang(?abstract), ""en""))
}"
16,"SELECT DISTINCT lang(?abstract) as ?lang
WHERE {
<http://dbpedia.org/resource/Jérémy_Amelin> <http://dbpedia.org/ontology/abstract> ?abstract .
}"
17,"SELECT ?abstract
WHERE {
<http://dbpedia.org/resource/Fortesa_Hoti_(singer)> <http://dbpedia.org/ontology/abstract> ?abstract .
FILTER ( langMatches(lang(?abstract), ""en""))
}"
18,"SELECT DISTINCT lang(?abstract) as ?lang
WHERE {
<http://dbpedia.org/resource/Fortesa_Hoti_(singer)> <http://dbpedia.org/ontology/abstract> ?abstract .
}"
19,"SELECT ?abstract
WHERE {
<http://dbpedia.org/resource/Luce_(singer)> <http://dbpedia.org/ontology/abstract> ?abstract .
FILTER ( langMatches(lang(?abstract), ""en""))
}"
20,"SELECT DISTINCT lang(?abstract) as ?lang
WHERE {
<http://dbpedia.org/resource/Luce_(singer)> <http://dbpedia.org/ontology/abstract> ?abstract .
}"
21,"SELECT ?abstract
WHERE {
<http://dbpedia.org/resource/Leslie_(singer)> <http://dbpedia.org/ontology/abstract> ?abstract .
FILTER ( langMatches(lang(?abstract), ""en""))
}"
22,"SELECT DISTINCT lang(?abstract) as ?lang
WHERE {
<http://dbpedia.org/resource/Leslie_(singer)> <http://dbpedia.org/ontology/abstract> ?abstract .
}"
23,"PREFIX : <http://dbpedia.org/resource/>
PREFIX dbp: <http://dbpedia.org/ontology/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX wgs: <http://www.w3.org/2003/01/geo/wgs84_pos#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT DISTINCT ?label ?sub ?date ?place ?lat ?lon
WHERE {
?sub rdf:type dbp:Politician;
rdfs:label ?label;
?pred_place ?place;
dbp:activeYearsStartDate ?date;
dbp:nationality ?place.
?place rdf:type ?class ;
wgs:lat ?lat ;
wgs:long ?lon. 
?class rdfs:subClassOf* dbp:PopulatedPlace .
FILTER ( ?date >= '1954-01-01'^^xsd:date && ?date <= ""2014-01-01""^^xsd:date )
FILTER ( ?lat >= ""41.366379""^^xsd:float && ?lat <= ""51.091099""^^xsd:float && ?lon <= ""9.543055""^^xsd:float && ?lon >= ""-4.790556""^^xsd:float )
FILTER ( langMatches(lang(?label), ""EN""))
}
ORDER BY ASC(?date)"
24,"SELECT ?abstract
WHERE {
<http://dbpedia.org/resource/Bart_De_Wever> <http://dbpedia.org/ontology/abstract> ?abstract .
FILTER ( langMatches(lang(?abstract), ""en""))
}"
25,"SELECT DISTINCT lang(?abstract) as ?lang
WHERE {
<http://dbpedia.org/resource/Bart_De_Wever> <http://dbpedia.org/ontology/abstract> ?abstract .
}"
26,"SELECT ?abstract
WHERE {
<http://dbpedia.org/resource/Rémy_Pagani> <http://dbpedia.org/ontology/abstract> ?abstract .
FILTER ( langMatches(lang(?abstract), ""en""))
}"
27,"SELECT DISTINCT lang(?abstract) as ?lang
WHERE {
<http://dbpedia.org/resource/Rémy_Pagani> <http://dbpedia.org/ontology/abstract> ?abstract .
}"
28,"SELECT ?abstract
WHERE {
<http://dbpedia.org/resource/Eduardo_Frei_Ruiz-Tagle> <http://dbpedia.org/ontology/abstract> ?abstract .
FILTER ( langMatches(lang(?abstract), ""en""))
}"
29,"SELECT DISTINCT lang(?abstract) as ?lang
WHERE {
<http://dbpedia.org/resource/Eduardo_Frei_Ruiz-Tagle> <http://dbpedia.org/ontology/abstract> ?abstract .
}"
30,"SELECT ?abstract
WHERE {
<http://dbpedia.org/resource/Alain_Joyandet> <http://dbpedia.org/ontology/abstract> ?abstract .
FILTER ( langMatches(lang(?abstract), ""en""))
}"
31,"SELECT DISTINCT lang(?abstract) as ?lang
WHERE {
<http://dbpedia.org/resource/Alain_Joyandet> <http://dbpedia.org/ontology/abstract> ?abstract .
}"
32,"SELECT ?abstract
WHERE {
<http://dbpedia.org/resource/Marie-Guite_Dufay> <http://dbpedia.org/ontology/abstract> ?abstract .
FILTER ( langMatches(lang(?abstract), ""en""))
}"
33,"SELECT DISTINCT lang(?abstract) as ?lang
WHERE {
<http://dbpedia.org/resource/Marie-Guite_Dufay> <http://dbpedia.org/ontology/abstract> ?abstract .
}"
