,query
0,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT distinct ?x FROM <http://dbpedia.org>
WHERE {
?x rdfs:label ?y.
?y bif:contains ""Pertti Pasanen"" .
FILTER (regex(?x, ""http://dbpedia.org/resource/""))
FILTER (!regex(?x, ""http://dbpedia.org/resource/Category:""))
FILTER (lang(?y)=""fi"")
LIMIT 10"
1,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT distinct ?x FROM <http://dbpedia.org>
WHERE {
?x rdfs:label ?y.
?y bif:contains ""Pertti Pasanen"" .
FILTER (regex(?x, ""http://dbpedia.org/resource/""))
FILTER (!regex(?x, ""http://dbpedia.org/resource/Category:""))
FILTER (lang(?y)=""fi"")
} LIMIT 10"
2,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT distinct ?x FROM <http://dbpedia.org>
WHERE {
?x rdfs:label ?y.
?y bif:contains '""Pertti Pasanen""' .
FILTER (regex(?x, ""http://dbpedia.org/resource/""))
FILTER (!regex(?x, ""http://dbpedia.org/resource/Category:""))
FILTER (lang(?y)=""fi"")
} LIMIT 10"
3,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT distinct ?x FROM <http://dbpedia.org>
WHERE {
?x rdfs:label ?y.
?y bif:contains '""Spede Pasanen""' .
FILTER (regex(?x, ""http://dbpedia.org/resource/""))
FILTER (!regex(?x, ""http://dbpedia.org/resource/Category:""))
FILTER (lang(?y)=""fi"")
} LIMIT 10"
4,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT distinct ?x FROM <http://dbpedia.org>
WHERE {
?x rdfs:label ?y.
?y bif:contains '""Liisa Kauppinen""' .
FILTER (regex(?x, ""http://dbpedia.org/resource/""))
FILTER (!regex(?x, ""http://dbpedia.org/resource/Category:""))
FILTER (lang(?y)=""fi"")
} LIMIT 10"
5,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT distinct ?x FROM <http://dbpedia.org>
WHERE {
?x rdfs:label ?y.
?y bif:contains '""Liisa Kauppinen""' .
FILTER (regex(?x, ""http://dbpedia.org/resource/""))
FILTER (!regex(?x, ""http://dbpedia.org/resource/Category:""))
} LIMIT 10"
6,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT distinct ?x FROM <http://dbpedia.org>
WHERE {
?x rdfs:label ?y.
?y bif:contains '""Nelson Mandela""' .
FILTER (regex(?x, ""http://dbpedia.org/resource/""))
FILTER (!regex(?x, ""http://dbpedia.org/resource/Category:""))
} LIMIT 10"
7,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT distinct ?x FROM <http://dbpedia.org>
WHERE {
?x rdfs:label ?y.
?y bif:contains '""Nelson Mandela""' .
FILTER (regex(?x, ""http://dbpedia.org/resource/""))
FILTER (!regex(?x, ""http://dbpedia.org/resource/Category:""))
FILTER (lang(?y)=""fi"")
} LIMIT 10"
8,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT distinct ?x FROM <http://dbpedia.org>
WHERE {
?x rdfs:label ?y.
?y bif:contains '""Spede Pasanen""' .
FILTER (regex(?x, ""http://dbpedia.org/resource/""))
FILTER (!regex(?x, ""http://dbpedia.org/resource/Category:""))
} LIMIT 10"
9,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT distinct ?x FROM <http://dbpedia.org>
WHERE {
?x rdfs:label ?y.
?y bif:contains '""Liisa Kauppinen""' .
FILTER (regex(?x, ""http://dbpedia.org/resource/""))
FILTER (!regex(?x, ""http://dbpedia.org/resource/Category:""))
} LIMIT 10"
