,query,results,error
0,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX w: <http://sws.ifi.uio.no/ont/world.owl#>
PREFIX dbpo: <http://dbpedia.org/ontology/>
PREFIX geo: <http://www.w3.org/2003/01/geo/wgs84_pos#>
PREFIX dct: <http://purl.org/dc/terms/>
PREFIX fn: <http://www.w3.org/2005/xpath-functions#>
PREFIX afn: <http://jena.hpl.hp.com/ARQ/function#>
PREFIX npdv: <http://sws.ifi.uio.no/vocab/npd#>
PREFIX npdv2: <http://sws.ifi.uio.no/vocab/npd-v2#>
PREFIX geos: <http://www.opengis.net/ont/geosparql#>

	SELECT ?name ?lat ?long ?text
	{ ?url a dbpo:AdministrativeRegion ;
	       dct:subject <http://dbpedia.org/resource/Category:Municipalities_of_Rogaland> ;
	       rdfs:label ?name ;
	       geo:lat ?lat ;
	       geo:long ?long ;
	       rdfs:comment ?text .
	       FILTER(lang(?text)=""en"")
	       FILTER(lang(?name)=""en"") }",28.0,
1,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX w: <http://sws.ifi.uio.no/ont/world.owl#>
PREFIX dbpo: <http://dbpedia.org/ontology/>
PREFIX geo: <http://www.w3.org/2003/01/geo/wgs84_pos#>
PREFIX dct: <http://purl.org/dc/terms/>
PREFIX fn: <http://www.w3.org/2005/xpath-functions#>
PREFIX afn: <http://jena.hpl.hp.com/ARQ/function#>
PREFIX npdv: <http://sws.ifi.uio.no/vocab/npd#>
PREFIX npdv2: <http://sws.ifi.uio.no/vocab/npd-v2#>
PREFIX geos: <http://www.opengis.net/ont/geosparql#>

	SELECT ?name ?lat ?long ?text
	{ ?url a dbpo:AdministrativeRegion ;
	       dct:subject <http://dbpedia.org/resource/Category:Municipalities_of_Rogaland> ;
	       rdfs:label ?name ;
	       geo:lat ?lat ;
	       geo:long ?long ;
	       rdfs:comment ?text .
	       FILTER(lang(?text)=""en"")
	       FILTER(lang(?name)=""en"") }",28.0,
2,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX w: <http://sws.ifi.uio.no/ont/world.owl#>
PREFIX dbpo: <http://dbpedia.org/ontology/>
PREFIX geo: <http://www.w3.org/2003/01/geo/wgs84_pos#>
PREFIX dct: <http://purl.org/dc/terms/>
PREFIX fn: <http://www.w3.org/2005/xpath-functions#>
PREFIX afn: <http://jena.hpl.hp.com/ARQ/function#>
PREFIX npdv: <http://sws.ifi.uio.no/vocab/npd#>
PREFIX npdv2: <http://sws.ifi.uio.no/vocab/npd-v2#>
PREFIX geos: <http://www.opengis.net/ont/geosparql#>

	SELECT ?name ?lat ?long ?text
	{ ?url a dbpo:AdministrativeRegion ;
	       dct:subject <http://dbpedia.org/resource/Category:Municipalities_of_Rogaland> ;
	       rdfs:label ?name ;
	       geo:lat ?lat ;
	       geo:long ?long ;
	       rdfs:comment ?text .
	       FILTER(lang(?text)=""en"")
	       FILTER(lang(?name)=""en"") }",28.0,
3,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX w: <http://sws.ifi.uio.no/ont/world.owl#>
PREFIX dbpo: <http://dbpedia.org/ontology/>
PREFIX geo: <http://www.w3.org/2003/01/geo/wgs84_pos#>
PREFIX dct: <http://purl.org/dc/terms/>
PREFIX fn: <http://www.w3.org/2005/xpath-functions#>
PREFIX afn: <http://jena.hpl.hp.com/ARQ/function#>
PREFIX npdv: <http://sws.ifi.uio.no/vocab/npd#>
PREFIX npdv2: <http://sws.ifi.uio.no/vocab/npd-v2#>
PREFIX geos: <http://www.opengis.net/ont/geosparql#>

	SELECT ?name ?lat ?long ?text
	{ ?url a dbpo:AdministrativeRegion ;
	       dct:subject <http://dbpedia.org/resource/Category:Municipalities_of_Rogaland> ;
	       rdfs:label ?name ;
	       geo:lat ?lat ;
	       geo:long ?long ;
	       rdfs:comment ?text .
	       FILTER(lang(?text)=""en"")
	       FILTER(lang(?name)=""en"") }",28.0,
4,"PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  owl: <http://www.w3.org/2002/07/owl#>
PREFIX  dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
SELECT DISTINCT ?iri WHERE {
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Wärtsilä"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Wärtsilä""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Wärtsilä""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Wärtsilä"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Wärtsilä""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Wärtsilä""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Wärtsilä"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Wärtsilä""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Wärtsilä""@fi }
 { ?iri a/rdfs:subClassOf dbo:Agent }
 UNION
 { ?iri a/rdfs:subClassOf dbo:Place }
} ",,timed out
5,"PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  owl: <http://www.w3.org/2002/07/owl#>
PREFIX  dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
SELECT DISTINCT ?iri WHERE {
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""tukeminen"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""tukeminen""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""tukeminen""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Tukeminen"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Tukeminen""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Tukeminen""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Tukeminen"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Tukeminen""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Tukeminen""@fi }
 { ?iri a/rdfs:subClassOf dbo:Agent }
 UNION
 { ?iri a/rdfs:subClassOf dbo:Place }
} ",,timed out
6,"PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  owl: <http://www.w3.org/2002/07/owl#>
PREFIX  dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
SELECT DISTINCT ?iri WHERE {
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Wärtsilä tukeminen"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Wärtsilä tukeminen""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Wärtsilä tukeminen""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Wärtsilä Tukeminen"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Wärtsilä Tukeminen""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Wärtsilä Tukeminen""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Wärtsilä tukeminen"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Wärtsilä tukeminen""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Wärtsilä tukeminen""@fi }
 { ?iri a/rdfs:subClassOf dbo:Agent }
 UNION
 { ?iri a/rdfs:subClassOf dbo:Place }
} ",,timed out
7,"PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  owl: <http://www.w3.org/2002/07/owl#>
PREFIX  dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
SELECT DISTINCT ?iri WHERE {
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""asiakas"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""asiakas""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""asiakas""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Asiakas"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Asiakas""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Asiakas""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Asiakas"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Asiakas""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Asiakas""@fi }
 { ?iri a/rdfs:subClassOf dbo:Agent }
 UNION
 { ?iri a/rdfs:subClassOf dbo:Place }
} ",,timed out
8,"PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  owl: <http://www.w3.org/2002/07/owl#>
PREFIX  dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
SELECT DISTINCT ?iri WHERE {
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""tukeminen asiakas"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""tukeminen asiakas""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""tukeminen asiakas""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Tukeminen Asiakas"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Tukeminen Asiakas""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Tukeminen Asiakas""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Tukeminen asiakas"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Tukeminen asiakas""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Tukeminen asiakas""@fi }
 { ?iri a/rdfs:subClassOf dbo:Agent }
 UNION
 { ?iri a/rdfs:subClassOf dbo:Place }
} ",,timed out
9,"PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  owl: <http://www.w3.org/2002/07/owl#>
PREFIX  dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
SELECT DISTINCT ?iri WHERE {
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""tukee asiakas"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""tukee asiakas""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""tukee asiakas""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Tukee Asiakas"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Tukee Asiakas""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Tukee Asiakas""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Tukee asiakas"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Tukee asiakas""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Tukee asiakas""@fi }
 { ?iri a/rdfs:subClassOf dbo:Agent }
 UNION
 { ?iri a/rdfs:subClassOf dbo:Place }
} ",,timed out
