,query
0,select ?Concept where {[] a ?Concept} LIMIT 100
1,"select ?name
where
{
  ?name dbpedia-owl:birthname.
}"
2,"select ?name
where
{
  ?name dbpedia-owl:birthname.
}"
3,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen>

SELECT ?name
WHERE
{
  ?name dbpedia-owl:birthname.
}"
4,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen>

SELECT ?name
WHERE
{
  ?name dbpedia-owl:birthname.
}"
5,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen>

SELECT ?name
WHERE
{
  ?name dbpedia-owl:birthname.
}"
6,"PREFIX dbpedia: <http://dbpedia.org/resource/Woody_Allen>

SELECT ?name
FROM http://dbpedia.org/resource/Woody_Allen
WHERE
{
  ?name dbpedia-owl:birthName.
}"
7,"SELECT ?name
FROM http://dbpedia.org/resource/Woody_Allen
WHERE
{
  ?name dbpedia-owl:birthName.
}"
8,"SELECT ?name
FROM http://dbpedia.org/resource/Woody_Allen
WHERE
{
  ?name dbpedia-owl:birthName.
}"
9,"SELECT ?name
FROM http://dbpedia.org/resource/Woody_Allen
WHERE
{
  ?name dbpedia-owl:birthName.
}"
10,"SELECT ?name
FROM http://dbpedia.org/resource/Woody_Allen
WHERE
{
  ?x dbpedia-owl:birthName  ?name.
}"
11,"SELECT ?name
WHERE
{
  ?x dbpedia-owl:birthName  ?name.
}"
12,"SELECT ?name
WHERE
{
  ?x http://dbpedia.org/ontology/birthName:birthName ?name.
}"
13,"PREFIX dbpedia-owl:birthName <http://dbpedia.org/ontology/birthName>

SELECT ?name
WHERE
{
  ?x dbpedia-owl:birthname ?name.
}"
14,"PREFIX dbpedia-owl:birthName <http://dbpedia.org/ontology/birthName>
SELECT ?name
WHERE
{
  ?x dbpedia-owl:birthname ?name.
}"
15,"PREFIX dbpedia-owl:birthName <http://dbpedia.org/ontology/birthName>
SELECT ?name
WHERE
{
  ?x dbpedia-owl:birthname ?name.
}"
16,"PREFIX dbpedia-owl:birthName <http://dbpedia.org/ontology/birthName>
SELECT ?name
WHERE
{
  ?x dbpedia-owl:birthName ?name.
}"
17,"
SELECT ?name
WHERE
{
  ?x dbpedia-owl:birthName ?name.
}"
18,"SELECT ?name
WHERE
{
  ?x dbpedia-owl:birthName ?name.
}"
19,"SELECT ?name
FROM http://dbpedia.org/page/Woody_Allen
WHERE
{
  ?x dbpedia-owl:birthName ?name.
}"
20,"SELECT ?name
FROM http://dbpedia.org/resource/Woody_Allen
WHERE
{
  ?x dbpedia-owl:birthName ?name.
}"
21,"SELECT ?name
FROM dbpedia.org/resource/Woody_Allen
WHERE
{
  ?x dbpedia-owl:birthName ?name.
}"
22,"SELECT ?name
FROM dbpedia:Woody_Allen
WHERE
{
  ?x dbpedia-owl:birthName ?name.
}"
23,"SELECT ?name
FROM dbpedia:Woody_Allen
WHERE
{
  ?x dbpedia-owl:birthName ?name.
}"
24,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?name
FROM dbpedia:Woody_Allen
WHERE
{
  ?x dbpedia-owl:birthName ?name.
}"
25,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?name
FROM dbpedia:Woody_Allen
WHERE
{
  ?x dbpedia-owl:birthName ?name.
  FILTER (?x ?name).
}"
26,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?name
FROM dbpedia:Woody_Allen
WHERE
{
  ?x dbpedia-owl:birthName ?name.
  FILTER (?x = ?name).
}"
