,id,answers
0,0,http://www.w3.org/2002/07/owl#Thing http://dbpedia.org/ontology/Work http://dbpedia.org/ontology/MusicalWork http://schema.org/CreativeWork http://schema.org/MusicRecording http://dbpedia.org/ontology/Song http://dbpedia.org/ontology/EurovisionSongContestEntry http://dbpedia.org/ontology/Person http://xmlns.com/foaf/0.1/Person http://dbpedia.org/ontology/Agent http://schema.org/Person http://dbpedia.org/ontology/Athlete http://dbpedia.org/ontology/SoccerPlayer http://dbpedia.org/ontology/BaseballPlayer http://schema.org/Organization http://dbpedia.org/ontology/Company http://dbpedia.org/ontology/Organisation http://dbpedia.org/ontology/Place http://www.opengis.net/gml/_Feature http://schema.org/Place http://dbpedia.org/ontology/ArchitecturalStructure http://dbpedia.org/ontology/Infrastructure http://dbpedia.org/ontology/Station http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/Architect http://dbpedia.org/ontology/Single http://dbpedia.org/ontology/Artist http://dbpedia.org/ontology/Village http://dbpedia.org/ontology/PowerStation http://dbpedia.org/ontology/Lake http://schema.org/BodyOfWater http://schema.org/LakeBodyOfWater http://dbpedia.org/ontology/BodyOfWater http://dbpedia.org/ontology/NaturalPlace http://dbpedia.org/ontology/BasketballPlayer http://dbpedia.org/ontology/RailwayStation http://dbpedia.org/ontology/TelevisionShow http://dbpedia.org/ontology/Eukaryote http://dbpedia.org/ontology/FloweringPlant http://dbpedia.org/ontology/Grape http://dbpedia.org/ontology/Plant http://dbpedia.org/ontology/Species http://dbpedia.org/ontology/Mountain http://schema.org/Mountain http://dbpedia.org/ontology/Scientist http://www.w3.org/2004/02/skos/core#Concept http://schema.org/SportsTeam http://dbpedia.org/ontology/SoccerClub http://dbpedia.org/ontology/SportsTeam http://dbpedia.org/ontology/Album http://schema.org/MusicAlbum http://dbpedia.org/ontology/MilitaryUnit http://dbpedia.org/ontology/Film http://schema.org/Movie http://schema.org/Event http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SoccerClubSeason http://dbpedia.org/ontology/SportsSeason http://dbpedia.org/ontology/SportsTeamSeason http://schema.org/SportsEvent http://dbpedia.org/ontology/SportsEvent http://dbpedia.org/ontology/GrandPrix http://dbpedia.org/ontology/FootballMatch http://dbpedia.org/ontology/NCAATeamSeason http://dbpedia.org/ontology/FootballLeagueSeason http://dbpedia.org/ontology/MotorsportSeason http://dbpedia.org/ontology/NationalFootballLeagueSeason http://dbpedia.org/ontology/TennisTournament http://dbpedia.org/ontology/CelestialBody http://dbpedia.org/ontology/Planet http://dbpedia.org/ontology/Building http://dbpedia.org/ontology/OrganisationMember http://dbpedia.org/ontology/SportsTeamMember http://schema.org/RadioStation http://dbpedia.org/ontology/Broadcaster http://dbpedia.org/ontology/RadioStation http://dbpedia.org/ontology/Band http://schema.org/MusicGroup http://dbpedia.org/ontology/Software http://dbpedia.org/ontology/VideoGame http://dbpedia.org/ontology/ChemicalCompound http://dbpedia.org/ontology/ChemicalSubstance http://dbpedia.org/ontology/Comics http://dbpedia.org/ontology/WrittenWork http://dbpedia.org/ontology/TelevisionSeason http://dbpedia.org/ontology/Device http://dbpedia.org/ontology/Drug http://dbpedia.org/ontology/Star http://dbpedia.org/ontology/Magazine http://dbpedia.org/ontology/PeriodicalLiterature http://dbpedia.org/ontology/Cricketer http://dbpedia.org/ontology/MilitaryPerson http://dbpedia.org/ontology/Road http://dbpedia.org/ontology/RouteOfTransportation http://dbpedia.org/ontology/SportsLeague http://dbpedia.org/ontology/PoloLeague http://dbpedia.org/ontology/AcademicJournal http://schema.org/Product
1,3,http://www.w3.org/2002/07/owl#Thing http://dbpedia.org/ontology/Work http://dbpedia.org/ontology/MusicalWork http://schema.org/CreativeWork http://schema.org/MusicRecording http://dbpedia.org/ontology/Song http://dbpedia.org/ontology/EurovisionSongContestEntry http://dbpedia.org/ontology/Person http://xmlns.com/foaf/0.1/Person http://dbpedia.org/ontology/Agent http://schema.org/Person http://dbpedia.org/ontology/Athlete http://dbpedia.org/ontology/SoccerPlayer http://dbpedia.org/ontology/BaseballPlayer http://schema.org/Organization http://dbpedia.org/ontology/Company http://dbpedia.org/ontology/Organisation http://dbpedia.org/ontology/Place http://www.opengis.net/gml/_Feature http://schema.org/Place http://dbpedia.org/ontology/ArchitecturalStructure http://dbpedia.org/ontology/Infrastructure http://dbpedia.org/ontology/Station http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/Architect http://dbpedia.org/ontology/Single http://dbpedia.org/ontology/Artist http://dbpedia.org/ontology/Village http://dbpedia.org/ontology/PowerStation http://dbpedia.org/ontology/Lake http://schema.org/BodyOfWater http://schema.org/LakeBodyOfWater http://dbpedia.org/ontology/BodyOfWater http://dbpedia.org/ontology/NaturalPlace http://dbpedia.org/ontology/BasketballPlayer http://dbpedia.org/ontology/RailwayStation http://dbpedia.org/ontology/TelevisionShow http://dbpedia.org/ontology/Eukaryote http://dbpedia.org/ontology/FloweringPlant http://dbpedia.org/ontology/Grape http://dbpedia.org/ontology/Plant http://dbpedia.org/ontology/Species http://dbpedia.org/ontology/Mountain http://schema.org/Mountain http://dbpedia.org/ontology/Scientist http://www.w3.org/2004/02/skos/core#Concept http://schema.org/SportsTeam http://dbpedia.org/ontology/SoccerClub http://dbpedia.org/ontology/SportsTeam http://dbpedia.org/ontology/Album http://schema.org/MusicAlbum http://dbpedia.org/ontology/MilitaryUnit http://dbpedia.org/ontology/Film http://schema.org/Movie http://schema.org/Event http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SoccerClubSeason http://dbpedia.org/ontology/SportsSeason http://dbpedia.org/ontology/SportsTeamSeason http://schema.org/SportsEvent http://dbpedia.org/ontology/SportsEvent http://dbpedia.org/ontology/GrandPrix http://dbpedia.org/ontology/FootballMatch http://dbpedia.org/ontology/NCAATeamSeason http://dbpedia.org/ontology/FootballLeagueSeason http://dbpedia.org/ontology/MotorsportSeason http://dbpedia.org/ontology/NationalFootballLeagueSeason http://dbpedia.org/ontology/TennisTournament http://dbpedia.org/ontology/CelestialBody http://dbpedia.org/ontology/Planet http://dbpedia.org/ontology/Building http://dbpedia.org/ontology/OrganisationMember http://dbpedia.org/ontology/SportsTeamMember http://schema.org/RadioStation http://dbpedia.org/ontology/Broadcaster http://dbpedia.org/ontology/RadioStation http://dbpedia.org/ontology/Band http://schema.org/MusicGroup http://dbpedia.org/ontology/Software http://dbpedia.org/ontology/VideoGame http://dbpedia.org/ontology/ChemicalCompound http://dbpedia.org/ontology/ChemicalSubstance http://dbpedia.org/ontology/Comics http://dbpedia.org/ontology/WrittenWork http://dbpedia.org/ontology/TelevisionSeason http://dbpedia.org/ontology/Device http://dbpedia.org/ontology/Drug http://dbpedia.org/ontology/Star http://dbpedia.org/ontology/Magazine http://dbpedia.org/ontology/PeriodicalLiterature http://dbpedia.org/ontology/Cricketer http://dbpedia.org/ontology/MilitaryPerson http://dbpedia.org/ontology/Road http://dbpedia.org/ontology/RouteOfTransportation http://dbpedia.org/ontology/SportsLeague http://dbpedia.org/ontology/PoloLeague http://dbpedia.org/ontology/AcademicJournal http://schema.org/Product
2,4,http://dbpedia.org/resource/Category:Article_Feedback_5_Additional_Articles http://dbpedia.org/resource/Category:Bicontinental_countries http://dbpedia.org/resource/Category:Constitutional_monarchies http://dbpedia.org/resource/Category:Countries_bordering_the_Atlantic_Ocean http://dbpedia.org/resource/Category:Countries_in_Europe http://dbpedia.org/resource/Category:Countries_of_the_Mediterranean_Sea http://dbpedia.org/resource/Category:Liberal_democracies http://dbpedia.org/resource/Category:Member_states_of_NATO http://dbpedia.org/resource/Category:Member_states_of_the_European_Union http://dbpedia.org/resource/Category:Member_states_of_the_Union_for_the_Mediterranean http://dbpedia.org/resource/Category:Member_states_of_the_United_Nations http://dbpedia.org/resource/Category:Spain http://dbpedia.org/resource/Category:Spanish-speaking_countries http://dbpedia.org/resource/Category:Western_Europe
3,5,http://dbpedia.org/resource/Category:Article_Feedback_5_Additional_Articles http://dbpedia.org/resource/Category:Bicontinental_countries http://dbpedia.org/resource/Category:Constitutional_monarchies http://dbpedia.org/resource/Category:Countries_bordering_the_Atlantic_Ocean http://dbpedia.org/resource/Category:Countries_in_Europe http://dbpedia.org/resource/Category:Countries_of_the_Mediterranean_Sea http://dbpedia.org/resource/Category:Liberal_democracies http://dbpedia.org/resource/Category:Member_states_of_NATO http://dbpedia.org/resource/Category:Member_states_of_the_European_Union http://dbpedia.org/resource/Category:Member_states_of_the_Union_for_the_Mediterranean http://dbpedia.org/resource/Category:Member_states_of_the_United_Nations http://dbpedia.org/resource/Category:Spain http://dbpedia.org/resource/Category:Spanish-speaking_countries http://dbpedia.org/resource/Category:Western_Europe
4,9,http://dbpedia.org/resource/Category:Article_Feedback_5_Additional_Articles http://dbpedia.org/resource/Category:Bicontinental_countries http://dbpedia.org/resource/Category:Constitutional_monarchies http://dbpedia.org/resource/Category:Countries_bordering_the_Atlantic_Ocean http://dbpedia.org/resource/Category:Countries_in_Europe http://dbpedia.org/resource/Category:Countries_of_the_Mediterranean_Sea http://dbpedia.org/resource/Category:Liberal_democracies http://dbpedia.org/resource/Category:Member_states_of_NATO http://dbpedia.org/resource/Category:Member_states_of_the_European_Union http://dbpedia.org/resource/Category:Member_states_of_the_Union_for_the_Mediterranean http://dbpedia.org/resource/Category:Member_states_of_the_United_Nations http://dbpedia.org/resource/Category:Spain http://dbpedia.org/resource/Category:Spanish-speaking_countries http://dbpedia.org/resource/Category:Western_Europe
5,18,http://dbpedia.org/resource/Category:Boeing_747 http://dbpedia.org/resource/Category:Quadjets http://dbpedia.org/resource/Category:United_States_airliners_1960%E2%80%931969
6,19,http://dbpedia.org/resource/Category:Moon
7,20,http://dbpedia.org/resource/Category:1969
8,27,http://www.w3.org/2002/07/owl#Thing http://dbpedia.org/ontology/Work http://dbpedia.org/ontology/MusicalWork http://schema.org/CreativeWork http://schema.org/MusicRecording http://dbpedia.org/ontology/Song http://dbpedia.org/ontology/EurovisionSongContestEntry http://dbpedia.org/ontology/Person http://xmlns.com/foaf/0.1/Person http://dbpedia.org/ontology/Agent http://schema.org/Person http://dbpedia.org/ontology/Athlete http://dbpedia.org/ontology/SoccerPlayer http://dbpedia.org/ontology/BaseballPlayer http://schema.org/Organization http://dbpedia.org/ontology/Company http://dbpedia.org/ontology/Organisation http://dbpedia.org/ontology/Place http://www.opengis.net/gml/_Feature http://schema.org/Place http://dbpedia.org/ontology/ArchitecturalStructure http://dbpedia.org/ontology/Infrastructure http://dbpedia.org/ontology/Station http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/Architect http://dbpedia.org/ontology/Single http://dbpedia.org/ontology/Artist http://dbpedia.org/ontology/Village http://dbpedia.org/ontology/PowerStation http://dbpedia.org/ontology/Lake http://schema.org/BodyOfWater http://schema.org/LakeBodyOfWater http://dbpedia.org/ontology/BodyOfWater http://dbpedia.org/ontology/NaturalPlace http://dbpedia.org/ontology/BasketballPlayer http://dbpedia.org/ontology/RailwayStation http://dbpedia.org/ontology/TelevisionShow http://dbpedia.org/ontology/Eukaryote http://dbpedia.org/ontology/FloweringPlant http://dbpedia.org/ontology/Grape http://dbpedia.org/ontology/Plant http://dbpedia.org/ontology/Species http://dbpedia.org/ontology/Mountain http://schema.org/Mountain http://dbpedia.org/ontology/Scientist http://www.w3.org/2004/02/skos/core#Concept http://schema.org/SportsTeam http://dbpedia.org/ontology/SoccerClub http://dbpedia.org/ontology/SportsTeam http://dbpedia.org/ontology/Album http://schema.org/MusicAlbum http://dbpedia.org/ontology/MilitaryUnit http://dbpedia.org/ontology/Film http://schema.org/Movie http://schema.org/Event http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SoccerClubSeason http://dbpedia.org/ontology/SportsSeason http://dbpedia.org/ontology/SportsTeamSeason http://schema.org/SportsEvent http://dbpedia.org/ontology/SportsEvent http://dbpedia.org/ontology/GrandPrix http://dbpedia.org/ontology/FootballMatch http://dbpedia.org/ontology/NCAATeamSeason http://dbpedia.org/ontology/FootballLeagueSeason http://dbpedia.org/ontology/MotorsportSeason http://dbpedia.org/ontology/NationalFootballLeagueSeason http://dbpedia.org/ontology/TennisTournament http://dbpedia.org/ontology/CelestialBody http://dbpedia.org/ontology/Planet http://dbpedia.org/ontology/Building http://dbpedia.org/ontology/OrganisationMember http://dbpedia.org/ontology/SportsTeamMember http://schema.org/RadioStation http://dbpedia.org/ontology/Broadcaster http://dbpedia.org/ontology/RadioStation http://dbpedia.org/ontology/Band http://schema.org/MusicGroup http://dbpedia.org/ontology/Software http://dbpedia.org/ontology/VideoGame http://dbpedia.org/ontology/ChemicalCompound http://dbpedia.org/ontology/ChemicalSubstance http://dbpedia.org/ontology/Comics http://dbpedia.org/ontology/WrittenWork http://dbpedia.org/ontology/TelevisionSeason http://dbpedia.org/ontology/Device http://dbpedia.org/ontology/Drug http://dbpedia.org/ontology/Star http://dbpedia.org/ontology/Magazine http://dbpedia.org/ontology/PeriodicalLiterature http://dbpedia.org/ontology/Cricketer http://dbpedia.org/ontology/MilitaryPerson http://dbpedia.org/ontology/Road http://dbpedia.org/ontology/RouteOfTransportation http://dbpedia.org/ontology/SportsLeague http://dbpedia.org/ontology/PoloLeague http://dbpedia.org/ontology/AcademicJournal http://schema.org/Product
9,28,http://www.w3.org/2002/07/owl#Thing http://dbpedia.org/ontology/Work http://dbpedia.org/ontology/MusicalWork http://schema.org/CreativeWork http://schema.org/MusicRecording http://dbpedia.org/ontology/Song http://dbpedia.org/ontology/EurovisionSongContestEntry http://dbpedia.org/ontology/Person http://xmlns.com/foaf/0.1/Person http://dbpedia.org/ontology/Agent http://schema.org/Person http://dbpedia.org/ontology/Athlete http://dbpedia.org/ontology/SoccerPlayer http://dbpedia.org/ontology/BaseballPlayer http://schema.org/Organization http://dbpedia.org/ontology/Company http://dbpedia.org/ontology/Organisation http://dbpedia.org/ontology/Place http://www.opengis.net/gml/_Feature http://schema.org/Place http://dbpedia.org/ontology/ArchitecturalStructure http://dbpedia.org/ontology/Infrastructure http://dbpedia.org/ontology/Station http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/Architect http://dbpedia.org/ontology/Single http://dbpedia.org/ontology/Artist http://dbpedia.org/ontology/Village http://dbpedia.org/ontology/PowerStation http://dbpedia.org/ontology/Lake http://schema.org/BodyOfWater http://schema.org/LakeBodyOfWater http://dbpedia.org/ontology/BodyOfWater http://dbpedia.org/ontology/NaturalPlace http://dbpedia.org/ontology/BasketballPlayer http://dbpedia.org/ontology/RailwayStation http://dbpedia.org/ontology/TelevisionShow http://dbpedia.org/ontology/Eukaryote http://dbpedia.org/ontology/FloweringPlant http://dbpedia.org/ontology/Grape http://dbpedia.org/ontology/Plant http://dbpedia.org/ontology/Species http://dbpedia.org/ontology/Mountain http://schema.org/Mountain http://dbpedia.org/ontology/Scientist http://www.w3.org/2004/02/skos/core#Concept http://schema.org/SportsTeam http://dbpedia.org/ontology/SoccerClub http://dbpedia.org/ontology/SportsTeam http://dbpedia.org/ontology/Album http://schema.org/MusicAlbum http://dbpedia.org/ontology/MilitaryUnit http://dbpedia.org/ontology/Film http://schema.org/Movie http://schema.org/Event http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SoccerClubSeason http://dbpedia.org/ontology/SportsSeason http://dbpedia.org/ontology/SportsTeamSeason http://schema.org/SportsEvent http://dbpedia.org/ontology/SportsEvent http://dbpedia.org/ontology/GrandPrix http://dbpedia.org/ontology/FootballMatch http://dbpedia.org/ontology/NCAATeamSeason http://dbpedia.org/ontology/FootballLeagueSeason http://dbpedia.org/ontology/MotorsportSeason http://dbpedia.org/ontology/NationalFootballLeagueSeason http://dbpedia.org/ontology/TennisTournament http://dbpedia.org/ontology/CelestialBody http://dbpedia.org/ontology/Planet http://dbpedia.org/ontology/Building http://dbpedia.org/ontology/OrganisationMember http://dbpedia.org/ontology/SportsTeamMember http://schema.org/RadioStation http://dbpedia.org/ontology/Broadcaster http://dbpedia.org/ontology/RadioStation http://dbpedia.org/ontology/Band http://schema.org/MusicGroup http://dbpedia.org/ontology/Software http://dbpedia.org/ontology/VideoGame http://dbpedia.org/ontology/ChemicalCompound http://dbpedia.org/ontology/ChemicalSubstance http://dbpedia.org/ontology/Comics http://dbpedia.org/ontology/WrittenWork http://dbpedia.org/ontology/TelevisionSeason http://dbpedia.org/ontology/Device http://dbpedia.org/ontology/Drug http://dbpedia.org/ontology/Star http://dbpedia.org/ontology/Magazine http://dbpedia.org/ontology/PeriodicalLiterature http://dbpedia.org/ontology/Cricketer http://dbpedia.org/ontology/MilitaryPerson http://dbpedia.org/ontology/Road http://dbpedia.org/ontology/RouteOfTransportation http://dbpedia.org/ontology/SportsLeague http://dbpedia.org/ontology/PoloLeague http://dbpedia.org/ontology/AcademicJournal http://schema.org/Product
