,id,query,answers
0,0,"CONSTRUCT {?subjectURI ?verbURI ?objectURI . }WHERE{?subjectURI ?verbURI ?objectURI . FILTER(?subjectURI=<http://dbpedia.org/resource/Quentin_Tarantino>)FILTER( regex(?objectURI,""http:/"") || langmatches(lang(?objectURI),""en"") || datatype(?objectURI) != """" ) } LIMIT 1000",http://dbpedia.org/resource/Quentin_Tarantino http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:CAS_Filmmaker_Award_honorees http://dbpedia.org/resource/Quentin_Tarantino http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://xmlns.com/foaf/0.1/Person http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/ontology/parent http://dbpedia.org/resource/Tony_Tarantino
1,1,"CONSTRUCT {?subjectURI ?verbURI ?objectURI . }WHERE{?subjectURI ?verbURI ?objectURI . FILTER(?objectURI=<http://dbpedia.org/resource/Quentin_Tarantino>)FILTER( regex(?objectURI,""http:/"") || langmatches(lang(?objectURI),""en"") || datatype(?objectURI) != """" ) } LIMIT 1000",http://dbpedia.org/resource/My_Best_Friend's_Birthday http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/My_Best_Friend's_Birthday http://dbpedia.org/ontology/producer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/David_Mamet http://dbpedia.org/ontology/influenced http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Sukiyaki_Western_Django http://dbpedia.org/ontology/starring http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Pulp_Fiction http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Beatrix_Kiddo http://dbpedia.org/ontology/creator http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/From_Dusk_Till_Dawn_2:_Texas_Blood_Money http://dbpedia.org/ontology/producer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Raymond_Chandler http://dbpedia.org/ontology/influenced http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Hans_Landa http://dbpedia.org/ontology/creator http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Kill_Bill_Volume_1 http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Reservoir_Dogs http://dbpedia.org/ontology/director http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Desperado_(film) http://dbpedia.org/ontology/starring http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Past_Midnight http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Kill_Bill_Vol._1_Original_Soundtrack http://dbpedia.org/ontology/producer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Bill_(Kill_Bill) http://dbpedia.org/ontology/creator http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Grindhouse_(film) http://dbpedia.org/ontology/director http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/From_Dusk_till_Dawn http://dbpedia.org/ontology/starring http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Curdled_(film) http://dbpedia.org/ontology/producer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/My_Best_Friend's_Birthday http://dbpedia.org/ontology/starring http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Grave_Danger http://dbpedia.org/ontology/director http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/BaadAsssss_Cinema http://dbpedia.org/ontology/starring http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Death_Proof http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Killing_Zoe http://dbpedia.org/ontology/producer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/True_Romance http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Edward_Bunker http://dbpedia.org/ontology/influenced http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Jackie_Brown:_Music_from_the_Miramax_Motion_Picture http://dbpedia.org/ontology/producer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Pauline_Kael http://dbpedia.org/ontology/influenced http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Z_Channel:_A_Magnificent_Obsession http://dbpedia.org/ontology/starring http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Kill_Bill_Volume_2 http://dbpedia.org/ontology/director http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Elmore_Leonard http://dbpedia.org/ontology/influenced http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Death_Proof http://dbpedia.org/ontology/director http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/List_of_Alias_characters http://dbpedia.org/ontology/portrayer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Dragon_Dynasty http://dbpedia.org/ontology/keyPerson http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Full_Tilt_Boogie_(documentary) http://dbpedia.org/ontology/starring http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Jackie_Brown_(film) http://dbpedia.org/ontology/director http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/The_Cutting_Edge:_The_Magic_of_Movie_Editing http://dbpedia.org/ontology/starring http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/It's_Pat http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Grave_Danger http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Kill_Bill_Vol._2_Original_Soundtrack http://dbpedia.org/ontology/producer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Destiny_Turns_on_the_Radio http://dbpedia.org/ontology/starring http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Django_Unchained http://dbpedia.org/ontology/director http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Hostel_(2005_film) http://dbpedia.org/ontology/producer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Didem_Erol http://dbpedia.org/ontology/partner http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Kill_Bill_Volume_2 http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/From_Dusk_till_Dawn http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Planet_Terror http://dbpedia.org/ontology/producer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Death_Proof http://dbpedia.org/ontology/producer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Grindhouse_(film) http://dbpedia.org/ontology/cinematography http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Four_Rooms http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Reservoir_Dogs http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Martin_McDonagh http://dbpedia.org/ontology/influencedBy http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Hell_Ride http://dbpedia.org/ontology/producer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/From_Dusk_Till_Dawn_3:_The_Hangman's_Daughter http://dbpedia.org/ontology/producer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Grindhouse_(film) http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Kill_Bill http://dbpedia.org/ontology/director http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Inglourious_Basterds http://dbpedia.org/ontology/director http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/My_Best_Friend's_Birthday http://dbpedia.org/ontology/director http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Pulp_Fiction http://dbpedia.org/ontology/director http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Kill_Bill http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/My_Best_Friend's_Birthday http://dbpedia.org/ontology/editing http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Inglourious_Basterds http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Kill_Bill_Volume_1 http://dbpedia.org/ontology/director http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Grindhouse_(film) http://dbpedia.org/ontology/producer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/The_Lords_of_Salem_(film) http://dbpedia.org/ontology/producer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/My_Name_Is_Modesty http://dbpedia.org/ontology/producer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Girl_6 http://dbpedia.org/ontology/starring http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Tony_Tarantino http://dbpedia.org/ontology/child http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Dead_On:_The_Life_and_Cinema_of_George_A._Romero http://dbpedia.org/ontology/starring http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Jackie_Brown_(film) http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Four_Rooms http://dbpedia.org/ontology/director http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Django_Unchained http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Earl_and_Edgar_McGraw http://dbpedia.org/ontology/creator http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/The_Rock_(film) http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino
2,2,"CONSTRUCT {?subjectURI ?verbURI ?objectURI . }WHERE{?subjectURI ?verbURI ?objectURI . FILTER(?objectURI=<http://dbpedia.org/resource/Quentin_Tarantino>)FILTER( regex(?objectURI,""http:/"") || langmatches(lang(?objectURI),""en"") || datatype(?objectURI) != """" ) } LIMIT 1000",http://dbpedia.org/resource/Z_Channel:_A_Magnificent_Obsession http://dbpedia.org/ontology/starring http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Kill_Bill http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Earl_and_Edgar_McGraw http://dbpedia.org/ontology/creator http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Elmore_Leonard http://dbpedia.org/ontology/influenced http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/My_Best_Friend's_Birthday http://dbpedia.org/ontology/producer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/From_Dusk_Till_Dawn_3:_The_Hangman's_Daughter http://dbpedia.org/ontology/producer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Grave_Danger http://dbpedia.org/ontology/director http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Reservoir_Dogs http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Reservoir_Dogs http://dbpedia.org/ontology/director http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Death_Proof http://dbpedia.org/ontology/director http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/David_Mamet http://dbpedia.org/ontology/influenced http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Django_Unchained http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/My_Name_Is_Modesty http://dbpedia.org/ontology/producer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Pulp_Fiction http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Raymond_Chandler http://dbpedia.org/ontology/influenced http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Edward_Bunker http://dbpedia.org/ontology/influenced http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Full_Tilt_Boogie_(documentary) http://dbpedia.org/ontology/starring http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Planet_Terror http://dbpedia.org/ontology/producer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Kill_Bill_Vol._1_Original_Soundtrack http://dbpedia.org/ontology/producer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Grindhouse_(film) http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Kill_Bill_Vol._2_Original_Soundtrack http://dbpedia.org/ontology/producer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Kill_Bill_Volume_2 http://dbpedia.org/ontology/director http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Grindhouse_(film) http://dbpedia.org/ontology/cinematography http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/It's_Pat http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Grindhouse_(film) http://dbpedia.org/ontology/producer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Martin_McDonagh http://dbpedia.org/ontology/influencedBy http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Curdled_(film) http://dbpedia.org/ontology/producer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/My_Best_Friend's_Birthday http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/My_Best_Friend's_Birthday http://dbpedia.org/ontology/starring http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/From_Dusk_Till_Dawn_2:_Texas_Blood_Money http://dbpedia.org/ontology/producer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Dead_On:_The_Life_and_Cinema_of_George_A._Romero http://dbpedia.org/ontology/starring http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Inglourious_Basterds http://dbpedia.org/ontology/director http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Inglourious_Basterds http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Kill_Bill_Volume_2 http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/From_Dusk_till_Dawn http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Grindhouse_(film) http://dbpedia.org/ontology/director http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Hostel_(2005_film) http://dbpedia.org/ontology/producer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Four_Rooms http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/List_of_Alias_characters http://dbpedia.org/ontology/portrayer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Jackie_Brown_(film) http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Killing_Zoe http://dbpedia.org/ontology/producer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/True_Romance http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/My_Best_Friend's_Birthday http://dbpedia.org/ontology/editing http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Desperado_(film) http://dbpedia.org/ontology/starring http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Destiny_Turns_on_the_Radio http://dbpedia.org/ontology/starring http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Dragon_Dynasty http://dbpedia.org/ontology/keyPerson http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Jackie_Brown:_Music_from_the_Miramax_Motion_Picture http://dbpedia.org/ontology/producer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Jackie_Brown_(film) http://dbpedia.org/ontology/director http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Django_Unchained http://dbpedia.org/ontology/director http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Four_Rooms http://dbpedia.org/ontology/director http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Pauline_Kael http://dbpedia.org/ontology/influenced http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Pulp_Fiction http://dbpedia.org/ontology/director http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/The_Cutting_Edge:_The_Magic_of_Movie_Editing http://dbpedia.org/ontology/starring http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Kill_Bill_Volume_1 http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Kill_Bill_Volume_1 http://dbpedia.org/ontology/director http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/The_Rock_(film) http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Beatrix_Kiddo http://dbpedia.org/ontology/creator http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Kill_Bill http://dbpedia.org/ontology/director http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Tony_Tarantino http://dbpedia.org/ontology/child http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/From_Dusk_till_Dawn http://dbpedia.org/ontology/starring http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/The_Lords_of_Salem_(film) http://dbpedia.org/ontology/producer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Grave_Danger http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Death_Proof http://dbpedia.org/ontology/producer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Didem_Erol http://dbpedia.org/ontology/partner http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Bill_(Kill_Bill) http://dbpedia.org/ontology/creator http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/My_Best_Friend's_Birthday http://dbpedia.org/ontology/director http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/BaadAsssss_Cinema http://dbpedia.org/ontology/starring http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Hell_Ride http://dbpedia.org/ontology/producer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Sukiyaki_Western_Django http://dbpedia.org/ontology/starring http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Past_Midnight http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Hans_Landa http://dbpedia.org/ontology/creator http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Girl_6 http://dbpedia.org/ontology/starring http://dbpedia.org/resource/Quentin_Tarantino http://dbpedia.org/resource/Death_Proof http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Quentin_Tarantino
3,3,CONSTRUCT {<http://dbpedia.org/resource/Quentin_Tarantino> ?verb ?object}WHERE{<http://dbpedia.org/resource/Quentin_Tarantino> ?verb ?object} LIMIT 1000,http://dbpedia.org/resource/Quentin_Tarantino http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:CAS_Filmmaker_Award_honorees
4,4,CONSTRUCT {<http://dbpedia.org/resource/Quentin_Tarantino> ?verb ?object}WHERE{<http://dbpedia.org/resource/Quentin_Tarantino> ?verb ?object} LIMIT 1000,http://dbpedia.org/resource/Quentin_Tarantino http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:CAS_Filmmaker_Award_honorees http://dbpedia.org/resource/Quentin_Tarantino http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2002/07/owl#Thing http://dbpedia.org/resource/Quentin_Tarantino http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:BAFTA_winners_(people)
