,uid,answers,errors,queries,no answer
0,0126ace40b97576faafdc04d352bf2e2,161,26,206,19
1,c2466a68ac155707715f6ed31470da70,4,45,110,61
2,85f6ae498251781623477c6772be3dd8,0,34,113,79
3,cdd5a53277177861c00f9a2c94337b26,44,7,113,62
4,2898dabaa77d56a3b5276028ca875d90,54,118,302,130
5,d0e1d796c308100bd2eef558311f8eae,35,57,142,50
6,96f68ebde5acc55d134ce29752bfafba,14,23,152,115
7,c1065e0ce541801df42f864ce5c0da31,19,355,470,96
8,87cba2ed3604f1385e2ca85c001258ea,3,146,168,19
9,bed99a462ce49f280a819fa0cd5e5de4,0,92,107,15
10,d936a43387bad69a70f2adf35a7c80e4,99,0,109,10
11,0aaede4399c7c43314bdf08c813e0ad5,0,94,124,30
12,c20224a01f60fa3e2886e1e3576f8465,0,78,153,75
13,cadf29402982974bb591d17918dcc0b4,0,131,131,0
14,a03817d1be204d509cbe91e3755cd4cd,12,97,129,20
15,1bcc725b5aa8434106eb388f5bd4b4d1,2,44,110,64
16,378dd4f3a9d458868878ac14c78770f2,2,120,122,0
17,6695dfbbf1267442808fe9c333413f5b,8,30,106,68
18,4238c4e1d377d0e7cc89aafce46eacb4,8,43,110,59
19,6d418da8de1b4e19787dc71797f22003,63,24,126,39
20,341d8cf8c9c0618120b3f0bfa5f167b9,3,10,105,92
21,b0d410b26eb0e9f94fe870bffaa6b70f,2,122,143,19
22,b1a0b8720419578e9bffd3653c20786c,8,142,160,10
23,7b7eda7a3299f824a3fcf8f5d75f386e,0,7,179,172
24,f9ec7e55778c684e9ce80464568228bc,1,140,142,1
25,42445c7d0ced86c47e6c4d8951031e0a,14,44,111,53
26,b1a44d0e9e8695320477a4223092b539,10,60,102,32
27,560a09017cc5a33f32fbf8e1612ffaeb,5,29,166,132
28,f3bd1fcd064f2176aa6e7fdbefda9c87,0,116,117,1
29,dcffa43d7b55450fb2382ef6b567f8a9,0,303,303,0
30,e501b61d45deb9937635cacba1c3b87a,37,72,204,95
31,18f54a13a4873b27bd5d3154619ea142,4,1033,1044,7
32,c437c7c6be16e7b5aa0b4fbed3aa3304,26,45,104,33
33,9ef5089a4d924532b2cd6c059de52a04,1,11,111,99
34,6b63401fe7045fbbf104846ac5c6debc,0,149,149,0
35,a21076e41508b996b39188d95b4d630b,0,118,118,0
36,14bd03bd4ce49c81dc98369ff75bf1d9,18,33,139,88
37,682ae55b7aec0b3ade1127151dcee284,11,44,138,83
38,5459e093980e751023cec2b325f14866,86,122,322,114
39,b7f0932b03213ed5af523bce495c882e,24,72,110,14
40,f5a1c1793e4bbf386227a23af86cc580,57,85,225,83
41,3281fc5f2013da01fc918488c5882e2c,27,33,120,60
42,f41737d788ade5cad7a1dcf49259e3d8,0,2,141,139
43,a61a81e4f9d8d569bfeaea6d4075fb8c,34,44,196,118
44,2684119e0a057c3ab67e955c2eccf6de,0,73,117,44
45,39355dd096fa29b79d42e05ef47770da,0,158,158,0
46,fb2d8e9adff13da68641828af103eba5,1,40,107,66
