,id,query,answers
0,0,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX dbo: <http://dbpedia.org/ontology/>

CONSTRUCT {
     ?country dbo:currency :Euro .
     ?country foaf:name ?name .
}WHERE{
     ?country dbo:currency :Euro .
     ?country foaf:name ?name .
} LIMIT 1000",http://dbpedia.org/resource/Spain http://dbpedia.org/ontology/currency http://dbpedia.org/resource/Euro
1,1,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX dbo: <http://dbpedia.org/ontology/>

CONSTRUCT {
     ?country dbo:currency :Euro .
     ?country foaf:name ?name .
}WHERE{
     ?country dbo:currency :Euro .
     ?country foaf:name ?name .
} LIMIT 1000",http://dbpedia.org/resource/Belgium http://dbpedia.org/ontology/currency http://dbpedia.org/resource/Euro
