,query
0,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Roman_Urdu> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
1,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Cognitive_linguistics> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
2,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Typed_lambda_calculus> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
3,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/GNU_Lesser_General_Public_License> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
4,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Weak_generative_capacity> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
5,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Airbag> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
6,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic4_16440_8>}
7,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Multilevel_model> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
8,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Stationary_distribution> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
9,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Access_network> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
10,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic4_17772_8>}
11,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic4_18956_8>}
12,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Romanization_of_Chinese> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
13,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Rockefeller_Foundation> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
14,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Computable_function> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
15,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Deterministic_system> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
16,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Syntagma_(linguistics)> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
17,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://lod.xdams.org/reload/oad/event/P04625>}
18,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Cutting-plane_method> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
19,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic5_00613_12>}
20,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic2_02007_13>}
21,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic4_30617_10>}
22,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic4_19250_8>}
23,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic4_19810_8>}
24,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic9_3630_004_8>}
25,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Science_News> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
26,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic4_12806_14>}
27,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/seduta.rdf/s01_1548>}
28,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic4_16536_11>}
29,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/deputato.rdf/dr1760_23>}
30,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Data_entry> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
31,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/dibattito.rdf/Scheda_Tit_185_IdVol1232>}
32,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic4_19965_8>}
33,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic4_09403_9>}
34,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic5_00652_8>}
35,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic5_00058_8>}
36,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Default_rule> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
37,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic5_02313_8>}
38,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic5_01808_8>}
39,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic5_03347_8>}
40,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Database> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
41,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/San_Francisco> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
42,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/attocamera.rdf/ac11_3716>}
43,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/voto.rdf/vd17_040_001_302786>}
44,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic9_1964_001_8>}
45,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Resource_management> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
46,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Video_clip> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
47,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/intervento.rdf/in16_87148>}
48,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/intervento.rdf/in16_87106>}
49,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/NP-complete> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
50,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/False_alarm> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
51,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/intervento.rdf/in16_8922>}
52,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://lod.xdams.org/reload/oad/event/S10851>}
53,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Kevin_Knight> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
54,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Network_interface_controller> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
55,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/intervento.rdf/in16_9034>}
56,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/intervento.rdf/in16_9031>}
57,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/International_System_of_Units> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
58,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Country_code> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
59,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Singles_Day> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
60,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/One_Power> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
61,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/intervento.rdf/in16_91579>}
62,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/intervento.rdf/in16_91564>}
63,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/M-estimator> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
64,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Thermonuclear_weapon> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
65,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/intervento.rdf/in16_9343>}
66,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/attocamera.rdf/ac01_3290>}
67,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Educational_stage> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 "
68,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/intervento.rdf/in16_91397>}
69,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/attocamera.rdf/ac03_3049>}
