,query
0,"SELECT DISTINCT ?Influences WHERE {{?auteur rdfs:label ""Michel Quint""@fr} UNION {?auteur foaf:name ""Michel Quint""@fr}.{{?auteur dbpedia-owl:influenced ?influence} UNION {?auteur dbpprop:influenced ?influence} UNION {?influence dbpedia-owl:influencedBy ?auteur} UNION {?influence dbpprop:influences ?auteur}}{?influence rdfs:label ?Influences}.FILTER (LANG(?Influences) = ""fr"")}"
1,"SELECT DISTINCT ?Influences WHERE {{?auteur rdfs:label ""Michel Quint""@fr} UNION {?auteur foaf:name ""Michel Quint""@fr}.{{?auteur dbpedia-owl:influencedBy ?influence} UNION {?auteur dbpprop:influences ?influence} UNION {?influence dbpedia-owl:influenced ?auteur} UNION {?influence dbpprop:influenced ?auteur.}}.?influence rdf:type dbpedia-owl:Person.?influence dbpedia-owl:birthDate ?influenceDateBirth.{?influence rdfs:label ?Influences }.FILTER (LANG(?Influences ) = ""fr"")}"
2,"SELECT DISTINCT ?Influences WHERE {{?auteur rdfs:label ""Yves Ravey""@fr} UNION {?auteur foaf:name ""Yves Ravey""@fr}.{{?auteur dbpedia-owl:influenced ?influence} UNION {?auteur dbpprop:influenced ?influence} UNION {?influence dbpedia-owl:influencedBy ?auteur} UNION {?influence dbpprop:influences ?auteur}}{?influence rdfs:label ?Influences}.FILTER (LANG(?Influences) = ""fr"")}"
3,"SELECT DISTINCT ?Influences WHERE {{?auteur rdfs:label ""Yves Ravey""@fr} UNION {?auteur foaf:name ""Yves Ravey""@fr}.{{?auteur dbpedia-owl:influencedBy ?influence} UNION {?auteur dbpprop:influences ?influence} UNION {?influence dbpedia-owl:influenced ?auteur} UNION {?influence dbpprop:influenced ?auteur.}}.?influence rdf:type dbpedia-owl:Person.?influence dbpedia-owl:birthDate ?influenceDateBirth.{?influence rdfs:label ?Influences }.FILTER (LANG(?Influences ) = ""fr"")}"
4,"SELECT DISTINCT ?Influences WHERE {{?auteur rdfs:label ""Michèle Lesbre""@fr} UNION {?auteur foaf:name ""Michèle Lesbre""@fr}.{{?auteur dbpedia-owl:influenced ?influence} UNION {?auteur dbpprop:influenced ?influence} UNION {?influence dbpedia-owl:influencedBy ?auteur} UNION {?influence dbpprop:influences ?auteur}}{?influence rdfs:label ?Influences}.FILTER (LANG(?Influences) = ""fr"")}"
5,"SELECT DISTINCT ?Influences WHERE {{?auteur rdfs:label ""Michèle Lesbre""@fr} UNION {?auteur foaf:name ""Michèle Lesbre""@fr}.{{?auteur dbpedia-owl:influencedBy ?influence} UNION {?auteur dbpprop:influences ?influence} UNION {?influence dbpedia-owl:influenced ?auteur} UNION {?influence dbpprop:influenced ?auteur.}}.?influence rdf:type dbpedia-owl:Person.?influence dbpedia-owl:birthDate ?influenceDateBirth.{?influence rdfs:label ?Influences }.FILTER (LANG(?Influences ) = ""fr"")}"
6,"SELECT DISTINCT ?Influences WHERE {{?auteur rdfs:label ""Chantal Pelletier""@fr} UNION {?auteur foaf:name ""Chantal Pelletier""@fr}.{{?auteur dbpedia-owl:influenced ?influence} UNION {?auteur dbpprop:influenced ?influence} UNION {?influence dbpedia-owl:influencedBy ?auteur} UNION {?influence dbpprop:influences ?auteur}}{?influence rdfs:label ?Influences}.FILTER (LANG(?Influences) = ""fr"")}"
7,"SELECT DISTINCT ?Influences WHERE {{?auteur rdfs:label ""Chantal Pelletier""@fr} UNION {?auteur foaf:name ""Chantal Pelletier""@fr}.{{?auteur dbpedia-owl:influencedBy ?influence} UNION {?auteur dbpprop:influences ?influence} UNION {?influence dbpedia-owl:influenced ?auteur} UNION {?influence dbpprop:influenced ?auteur.}}.?influence rdf:type dbpedia-owl:Person.?influence dbpedia-owl:birthDate ?influenceDateBirth.{?influence rdfs:label ?Influences }.FILTER (LANG(?Influences ) = ""fr"")}"
8,"SELECT DISTINCT ?Influences WHERE {{?auteur rdfs:label ""Paule Constant""@fr} UNION {?auteur foaf:name ""Paule Constant""@fr}.{{?auteur dbpedia-owl:influenced ?influence} UNION {?auteur dbpprop:influenced ?influence} UNION {?influence dbpedia-owl:influencedBy ?auteur} UNION {?influence dbpprop:influences ?auteur}}{?influence rdfs:label ?Influences}.FILTER (LANG(?Influences) = ""fr"")}"
9,"SELECT DISTINCT ?Influences WHERE {{?auteur rdfs:label ""Paule Constant""@fr} UNION {?auteur foaf:name ""Paule Constant""@fr}.{{?auteur dbpedia-owl:influencedBy ?influence} UNION {?auteur dbpprop:influences ?influence} UNION {?influence dbpedia-owl:influenced ?auteur} UNION {?influence dbpprop:influenced ?auteur.}}.?influence rdf:type dbpedia-owl:Person.?influence dbpedia-owl:birthDate ?influenceDateBirth.{?influence rdfs:label ?Influences }.FILTER (LANG(?Influences ) = ""fr"")}"
