,query
0,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX dbo: <http://dbpedia.org/ontology/>

SELECT ?name ?birth ?death ?person WHERE {
     ?person dbo:birthPlace :Berlin .
     ?person dbo:birthDate ?birth .
     ?person foaf:name ?name .
     ?person dbo:deathDate ?death .
     FILTER (?birth < ""1900-01-01""^^xsd:date) .
}
ORDER BY ?name"
1,"SELECT ?property ?hasValue ?isValueOf
WHERE {
  { <http://dbpedia.org/resource/Ellen_Franz> ?property ?hasValue }
  UNION
  { ?isValueOf ?property <http://dbpedia.org/resource/Ellen_Franz> }
}"
2,"SELECT ?property ?hasValue ?isValueOf
WHERE {
  { <http://dbpedia.org/resource/sebastian_vettel> ?property ?hasValue }
  UNION
  { ?isValueOf ?property <http://dbpedia.org/resource/sebastian_vettel> }
}"
3,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?property ?hasValue ?isValueOf
WHERE {
  { <http://dbpedia.org/resource/sebastian_vettel> ?property ?hasValue }
  UNION
  { ?isValueOf ?property <http://dbpedia.org/resource/sebastian_vettel> }
}"
4,"SELECT ?property ?hasValue ?isValueOf
WHERE {
  { <http://dbpedia.org/resource/Sebastian_Vettel> ?property ?hasValue }
  UNION
  { ?isValueOf ?property <http://dbpedia.org/resource/Sebastian_Vettel> }
}"
5,"SELECT ?property ?hasValue ?isValueOf
WHERE {
  { <http://dbpedia.org/ontology/FormulaOneRacer> ?property ?hasValue }
  UNION
  { ?isValueOf ?property <http://dbpedia.org/ontology/FormulaOneRacer> }
}"
6,"SELECT ?property ?hasValue ?isValueOf
WHERE {
  { <http://dbpedia.org/resource/André_Simon_(racing_driver)> ?property ?hasValue }
  UNION
  { ?isValueOf ?property <http://dbpedia.org/resource/André_Simon_(racing_driver)> }
}"
7,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?property ?hasValue ?isValueOf
WHERE {
  { <http://dbpedia.org/ontology/FormulaOneRacer> ?property ?hasValue }
  UNION
  { ?isValueOf ?property <http://dbpedia.org/ontology/FormulaOneRacer> }
FILTER (?birth < ""1900-01-01""^^xsd:date) .
}
"
8,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?property ?hasValue ?isValueOf
WHERE {
  { <http://dbpedia.org/ontology/FormulaOneRacer> ?property ?hasValue }
  UNION
  { ?isValueOf ?property <http://dbpedia.org/ontology/FormulaOneRacer> }
FILTER (?birth > ""1900-01-01""^^xsd:date) .
}
"
9,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?property ?hasValue ?isValueOf
WHERE {
  <http://dbpedia.org/ontology/FormulaOneRacer> ?property ?hasValue.
  ?isValueOf ?property <http://dbpedia.org/ontology/FormulaOneRacer.
}
"
10,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?property ?hasValue ?isValueOf
WHERE {
  <http://dbpedia.org/ontology/FormulaOneRacer> ?property ?hasValue.
}
"
11,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?property ?hasValue ?isValueOf
WHERE {
  { <http://dbpedia.org/ontology/FormulaOneRacer> ?property ?hasValue }
  UNION
  { ?isValueOf ?property <http://dbpedia.org/ontology/FormulaOneRacer> }
}
"
12,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?isValueOf
WHERE {
  { ?isValueOf ?property <http://dbpedia.org/ontology/FormulaOneRacer> }
}
"
13,"SELECT ?property ?hasValue ?isValueOf
WHERE {
  { <http://dbpedia.org/resource/Charles_Pic> ?property ?hasValue }
  UNION
  { ?isValueOf ?property <http://dbpedia.org/resource/Charles_Pic> }
}"
14,"SELECT ?resource ?value
WHERE { ?resource <http://dbpedia.org/ontology/championships> ?value }
ORDER BY ?resource ?value"
15,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?isValueOf, ?property
WHERE {
  ?isValueOf ?property <http://dbpedia.org/ontology/FormulaOneRacer>.
}"
