,query
0,"PREFIX  dbpedia:  <http://dbpedia.org/ontology/> 
PREFIX  resource:  <http://nl.dbpedia.org/resource/>  
SELECT  ?price ?title 
WHERE   { ?price dbpedia:birthPlace resource:Amsterdam }"
1,"PREFIX  dbpedia:  <http://dbpedia.org/ontology/> 
PREFIX  resource:  <http://nl.dbpedia.org/resource/>  
SELECT  ?price
WHERE   { ?price dbpedia:birthPlace resource:Amsterdam }"
2,"PREFIX  dbpedia:  <http://dbpedia.org/ontology/> 
PREFIX  resource:  <http://us.dbpedia.org/resource/>  
SELECT  ?price
WHERE   { ?price dbpedia:birthPlace resource:Amsterdam }"
3,"PREFIX  dbpedia:  <http://dbpedia.org/ontology/> 
PREFIX  resource:  <http://dbpedia.org/resource/>  
SELECT  ?price
WHERE   { ?price dbpedia:birthPlace resource:Amsterdam }"
4," SELECT ?page ?lat ?long (bif:st_distance(?geo, bif:st_point(42.883, -72.8981)))
    WHERE{
    ?m foaf:page ?page.
    ?m geo:geometry ?geo.
    ?m geo:lat ?lat.
    ?m geo:long ?long.
    FILTER (bif:st_intersects (?geo, bif:st_point(42.883, -72.8981), 300))
    }
    ORDER BY ASC 4 LIMIT 5"
5," SELECT ?page ?lat ?long (bif:st_distance(?geo, bif:st_point(42.883, -72.8981)))
    WHERE{
   
    ?m geo:geometry ?geo.
    ?m geo:lat ?lat.
    ?m geo:long ?long.
    FILTER (bif:st_intersects (?geo, bif:st_point(42.883, -72.8981), 300))
    }
    ORDER BY ASC 4 LIMIT 5"
6," SELECT ?lat ?long (bif:st_distance(?geo, bif:st_point(42.883, -72.8981)))
    WHERE{
   
    ?m geo:geometry ?geo.
    ?m geo:lat ?lat.
    ?m geo:long ?long.
    FILTER (bif:st_intersects (?geo, bif:st_point(42.883, -72.8981), 300))
    }
    ORDER BY ASC 4 LIMIT 5"
7," SELECT ?lat ?long (bif:st_distance(?geo, bif:st_point(42.883, -72.8981)))
    WHERE{
   
    ?m geo:geometry ?geo.
    ?m geo:lat ?lat.
    ?m geo:long ?long.
    FILTER (bif:st_intersects (?geo, bif:st_point(42.883, -72.8981), 300))
    }
    LIMIT 5"
8," SELECT ?m ?lat ?long (bif:st_distance(?geo, bif:st_point(42.883, -72.8981)))
    WHERE{
   
    ?m geo:geometry ?geo.
    ?m geo:lat ?lat.
    ?m geo:long ?long.
    FILTER (bif:st_intersects (?geo, bif:st_point(42.883, -72.8981), 300))
    }
    LIMIT 5"
9," SELECT ?m ?lat ?long (bif:st_distance(?geo, bif:st_point(42.883, -72.8981)))
    WHERE{
   
    ?m geo:geometry ?geo.
    ?m geo:lat ?lat.
    ?m geo:long ?long.
    FILTER (bif:st_intersects (?geo, bif:st_point(42.883, -72.8981), 300))
    }
    LIMIT 5"
10," SELECT ?m ?lat ?long (bif:st_distance(?geo, bif:st_point(42.883, -72.8981)))
    WHERE{
   
    ?m geo:geometry ?geo.
    ?m geo:lat ?lat.
    ?m geo:long ?long.
    FILTER (bif:st_intersects (?geo, bif:st_point(42.883, -72.8981), 3000))
    }
    LIMIT 5"
11," SELECT ?m ?lat ?long (bif:st_distance(?geo, bif:st_point(42.883, -72.8981)))
    WHERE{
   
    ?m geo:geometry ?geo.
    ?m geo:lat ?lat.
    ?m geo:long ?long.
    FILTER (bif:st_intersects (?geo, bif:st_point(42.883, -72.8981), 3000))
    }
    LIMIT 500"
12," SELECT ?m ?lat ?long (bif:st_distance(?geo, bif:st_point(42.883, -72.8981)))
    WHERE{
   
    ?m geo:geometry ?geo.
    ?m geo:lat ?lat.
    ?m geo:long ?long.
    FILTER (bif:st_intersects (?geo, bif:st_point(42.883, -72.8981), 3000))
    }
    LIMIT 500"
13," SELECT ?m ?lat ?long (bif:st_distance(?geo, bif:st_point(42.883, -72.8981)))
    WHERE{
   
    ?m geo:geometry ?geo.
    ?m geo:lat ?lat.
    ?m geo:long ?long.
    FILTER (bif:st_intersects (?geo, bif:st_point(42.883, -72.8981), 300))
    }
    LIMIT 500"
14," SELECT ?m ?lat ?long (bif:st_distance(?geo, bif:st_point(42.883, -72.8981)))
    WHERE{
   
    ?m geo:geometry ?geo.
    ?m geo:lat ?lat.
    ?m geo:long ?long.
    FILTER (bif:st_intersects (?geo, bif:st_point(52.0749, 4.297), 300))
    }
    LIMIT 500"
15," SELECT ?m ?lat ?long (bif:st_distance(?geo, bif:st_point(42.883, -72.8981)))
    WHERE{
   
    ?m geo:geometry ?geo.
    ?m geo:lat ?lat.
    ?m geo:long ?long.
    FILTER (bif:st_intersects (?geo, bif:st_point(4.297,52.0749), 300))
    }
    LIMIT 500"
16," SELECT ?m ?lat ?long (bif:st_distance(?geo, bif:st_point(52.0749,4.297)))
    WHERE{
   
    ?m geo:geometry ?geo.
    ?m geo:lat ?lat.
    ?m geo:long ?long.
    FILTER (bif:st_intersects (?geo, bif:st_point(52.0749,4.297), 300))
    }
    LIMIT 500"
17," SELECT ?m ?lat ?long (bif:st_distance(?geo, bif:st_point(4.297,52.0749)))
    WHERE{
   
    ?m geo:geometry ?geo.
    ?m geo:lat ?lat.
    ?m geo:long ?long.
    FILTER (bif:st_intersects (?geo, bif:st_point(4.297,52.0749), 300))
    }
    LIMIT 500"
18," SELECT ?m ?lat ?long (bif:st_distance(?geo, bif:st_point(4.297,52.0749)))
    WHERE{
   
    ?m geo:geometry ?geo.
    ?m geo:lat ?lat.
    ?m geo:long ?long.
    FILTER (bif:st_intersects (?geo, bif:st_point(4.297,52.0749), 30))
    }
    LIMIT 500"
19," SELECT ?m ?lat ?long (bif:st_distance(?geo, bif:st_point(4.297,52.0749)))
    WHERE{
   
    ?m geo:geometry ?geo.
    ?m geo:lat ?lat.
    ?m geo:long ?long.
    FILTER (bif:st_intersects (?geo, bif:st_point(4.297,52.0749), 3))
    }
    LIMIT 500"
20,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX rif: <http://www.w3.org/2007/rif#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dbpedia: <http://dbpedia.org/resource/>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>
PREFIX dbpprop: <http://dbpedia.org/property/>
PREFIX geo: <http://www.w3.org/2003/01/geo/wgs84_pos#>
PREFIX dc: <http://purl.org/dc/terms/>

                SELECT ?name ?long ?lat
                WHERE {
                  ?c a          yago:CapitalsInEurope ;
                     rdfs:label ?name ;
                     geo:long   ?long ;
                     geo:lat    ?lat .
                     FILTER( lang(?name)=""en"" )
                }
               "
21,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX rif: <http://www.w3.org/2007/rif#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dbpedia: <http://dbpedia.org/resource/>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>
PREFIX dbpprop: <http://dbpedia.org/property/>
PREFIX geo: <http://www.w3.org/2003/01/geo/wgs84_pos#>
PREFIX dc: <http://purl.org/dc/terms/>

                SELECT ?name ?long ?lat
                WHERE {
                  ?c a          yago:CapitalsInEurope ;
                     rdfs:label ?name ;
                     geo:long   ?long ;
                     geo:lat    ?lat .
                     FILTER( lang(?name)=""en"" )
                }
             "
22," SELECT ?m ?lat ?long (bif:st_distance(?geo, bif:st_point(4.297,52.0749)))
    WHERE{
   
    ?m geo:geometry ?geo.
?m a          yago:CapitalsInEurope ;
    ?m geo:lat ?lat.
    ?m geo:long ?long.
    FILTER (bif:st_intersects (?geo, bif:st_point(4.297,52.0749), 300))
    }
    LIMIT 500"
23," SELECT ?m ?lat ?long (bif:st_distance(?geo, bif:st_point(4.297,52.0749)))
    WHERE{
   
    ?m geo:geometry ?geo.
?m a          yago:CapitalsInEurope
    ?m geo:lat ?lat.
    ?m geo:long ?long.
    FILTER (bif:st_intersects (?geo, bif:st_point(4.297,52.0749), 300))
    }
    LIMIT 500"
24," SELECT ?m ?lat ?long (bif:st_distance(?geo, bif:st_point(4.297,52.0749)))
    WHERE{
   
    ?m geo:geometry ?geo.
?m a          yago:CapitalsInEurope.
    ?m geo:lat ?lat.
    ?m geo:long ?long.
    FILTER (bif:st_intersects (?geo, bif:st_point(4.297,52.0749), 300))
    }
    LIMIT 500"
