,query
0,select distinct ?Concept where {[] a ?Concept} LIMIT 100
1,"PREFIX rdfs: <http://dbpedia.org/ontology/Band#>
SELECT ?subject ?label
WHERE { ?subject rdfs:label ?label } LIMIT 100"
2,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX bc: <http://www.base22.com/ontologies/2010/5/bc.owl#>
SELECT *
WHERE {
  ?subject bc:hasEmployer <http://www.base22.com/ontologies/2010/5/my-contacts.owl#IBM> .
           ?subject bc:hasBusinessEmail ?email .
}"
3,"SELECT *
WHERE {
  ?subject bc:hasEmployer <http://www.base22.com/ontologies/2010/5/my-contacts.owl#IBM> .
           ?subject bc:hasBusinessEmail ?email .
}"
4,"SELECT *
WHERE {
  ?subject hasEmployer <http://dbpedia.org/ontology/Band> .
           ?subject
}"
5,"SELECT *
WHERE {
  ?subject <http://dbpedia.org/ontology/Band> .
           ?subject
}"
6,"SELECT subject
WHERE {
  ?subject <http://dbpedia.org/ontology/Band> ?subject
}"
7,"SELECT subject
WHERE {
  ?subject <http://dbpedia.org/ontology/Band> ?subject
}"
8,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>

SELECT ?name ?birth ?death ?person WHERE {
     ?person dbo:birthPlace :Berlin .
     ?person dbo:birthDate ?birth .
     ?person foaf:name ?name .
     ?person dbo:deathDate ?death .
     FILTER (?birth < ""1900-01-01""^^xsd:date) .
}
ORDER BY ?name"
9,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>

SELECT ?birth WHERE {
     ?person dbo:birthDate ?birth .
     FILTER (?person = :Kevin_Bacon)
}"
